,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0533454163917613,0,0,0,0,0,0,0,0,0.235423149654546,0,0,0,0,0,0,0,0,0,0.253430735126327,0.124602332261197,0.186006762665789,0,0.132087118450154,0,0,0,0,0,0,0,0,0,0,0.0155062586850062,0,0,0,0,0,0
X601881.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0948475584927061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292316989000816,0,0.290865851783695,0.0289123365792124,0,0.0089550562019404,0.168719499782054,0.140525711435021,0.142476974511114,0,0,0,0,0.166358448716257,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.114835305557222,0,0,0,-0.000760689084400859,0,0,-0.0890863727305728,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18169821172266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160989658980556,0,0,0.0975516380970467,0,0.26644194827938,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.188503686378875,0,0,0.217410713832773,0,0,0,0,0.0131029254701015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175100877094473,0,0,0,0.129463656326713,0.0587860365022194,0,1.73472347597681e-18,0,0,0.100390168853822,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0127496337879468,0,0,0,0,0,0,0.221283902689996,0,0,0,0,0,0.0128994137118303,0,0,0,0.16831531441721,0,0,0,0,0.110674554836636,0,0.260882370939605,-0.0897239797422287,1.38777878078145e-17,0,0.0536100384897492,0,0,0,0,0.0302844512473318,0,0,0.0729207084112951,0.0416674800848667,0
X601336.CH.EQUITY,0.203355538792759,0.0552730650325746,0,0,0,0.00509183157277919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266294504280322,0,0,0,0,0,0,0,0,0,0,0,0,0.117416423845305,0,0,0,0,0,0.185760467588001,0.0204397314821221,0,0,0,0.377396430027171,0.113911845049974,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614692556501106,0,0,0,0,-0.0799780482311836,0,0,0,0,0,0,0.121816592315602,0,0,0,0,0,0,0,0,0,0,0.0194118611701787,0,0,0,0,0.550463647562036,0,0.0568369512392728,0,0.126135242466985,0,0,0,0,0
X601628.CH.EQUITY,0,0.00725330934002989,0,0,0,0.0815117486449784,0,-0.015337197142811,0,0,0.0258423656512445,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160521325726829,0,0,0,0,0,0,0,0,0.0837909179389951,0,0,0.0567378223832286,0,0,0,-0.166948499141495,0,0,0.239444786192717,0.273569103995208,0,0,0,0,0,0.0828242141452495
X1299.HK.EQUITY,0.164055745533025,0,0,0,0,0,0,0,0,0,0,0,0.325155518582321,0,0,0,0,0,0,0,0.0416220936382473,0.417677951862341,0.114872890033029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558880352134981,0,0,0.156058158030697
X2881.TT.EQUITY,0,0,6.93889390390723e-18,0,0,0,0,0.0786349073480869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272080609954939,0,0,0,0,0,0,0,0,0,0,0,0,-0.126674545018883,0,0,0,0,0,0,0,0,0.105037809898007,0,0.502782605132714,0,0.0874599782411861
X2882.TT.EQUITY,-0.0520242328071639,0,0,0,0,0,0,0,0,0.111146699792762,0,0,0,0.0326126414610782,0,0,0,0,0,0,0,0,0,0,0,0.11711549269601,0.175818777322775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02414644057197,0.547013684924694,0,-0.0418124355214554,0
X267.HK.EQUITY,0,0.0347378798574743,0,0,0.328301248980686,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.315996270266339,0,0.243884873396355,0,0.16359124129722,0,0,0,0,0,-6.93889390390723e-18,0.078144820796566,0,-0.0425179325790895,0.056336371363678,0,0,0,0.225038577106423,0,0,0,0,0,0,0,0.0514117257604866,0,0.146785252513295,0,0,0,0.0369203867313904
macro_return_add,0,0.172923904266775,0,0,0,0,0,0,0,0.3722487931448,0,-0.153734351839869,0,0,0,-0.128833196884025,0,0,0,0,-0.360077590993076,0,0,0,0,0,0,0.320956930466274,0,0,0,0,0,0,0,0,0,0.044927069602058,0,0,0,0,0,0,0,0.368827546898791,-0.0169552959026167,0,0,0,0
