,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X601336.CH.EQUITY,0,0.155767183991776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335706657589306,0,0,0,0.0610837683694586,0,0.107752985629878,0,0.0431424977531053,0,0,0,-0.297850391752743,0,-0.0503104879657812,0,-0.17296761038209,0.222367064757391,0.00247706038421928,0,0,0,0,0,0.113616698203781,0,0.0806970524220709,0,0.0701075691457647,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.0718124576602908,0,0,0.130879179652792,0.125451174905908,0,0,0,0,0.0384435910387957,0,-0.0442751069109472,0,-0.0465989049310441,0,0,0,0,0,0,0,0.113975858940674,0,0,0,0,0,0,0,0,0.0386796312246719,0,0,0,0,0,0,0,0.0524117463003294,0.378298671069747,0,0,0.0655717818270788,0.00960898105414116,0,-0.0635477841382976,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,-0.058073912091591,0,0,0,0,0.0430470013216941,0,0,0,0,0,0.332263045154194,0,0,0,0,0,0,0,-0.0143452764862946,-0.26484601893902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134509520327084,0,0,-0.147077266883697,0,0,0,0,0,-0.100906150970959
X1299.HK.EQUITY,0,0,0,0.206064459943229,0,0,0.035401262786849,0,0,0,0,0,-0.138639873035761,0,-0.0248785864601457,0,0,0,0,0,0,0,0,0,0,0.0596169569258872,0,0,0,0,0,0,-0.163660809547261,0,0,0.149436147329793,0,0,0,0.266107756549525,0,0,0.331291534554512,-0.0277985377943025,0,0,0,0,0,0,0,-0.06818680368396
X2881.TT.EQUITY,0,0,0,0,0,0,0.0914559766376172,0,0,0,0,0,0,0,0,-0.181861360638449,0,0,-0.078712094401245,0,0,0,-0.134301092097253,0,0,0,0.179572068029782,0,0,0,0,0.248947225784225,0,0,0,0.0221381284138266,0,0,0.21464471295798,0,0,0,0,0,0.0266564630768064,0,0.312737073647211,0,0,0,0.00692796191300846,-0.036814850870491
X2882.TT.EQUITY,0,0,0,0,0,0,0,0.166777579497731,0,0,-0.101426155333154,0,0,0,0.0124654595851644,0,-0.324548402083522,0,0,0,6.93889390390723e-18,0,0,0,0,0.096319333307329,0,0,0,0,0,0,0,0,0,0,0,0,-0.0995254434310774,0.25485408457408,-0.111212516616621,0,0,0,0.0927603301899807,0.422100085005317,0,0.637077285749207,0,0,0.0358971401775452,0
X2883.TT.EQUITY,0,0,0,0,0.0949376059310166,0,0,0,0,0,0,0,0,0.0367349142601706,0,0,0,0,-0.131468381597953,0,0,0,0,0.125816132135799,0,0,-0.109301470179377,0,0,0.0300633731332958,0,0,0.266962145888665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404607528848673,0,0.432819355648366,0,-0.0482719135635538,0
X2888.TT.EQUITY,0,-0.0294602766473345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0184798111426262,0,0,0,0,0,0,0,0,0,0.0531833185698929,0,0.0229418299217091,0,0,0.262697148920764,0,0,0,0,0,0,0,0,0,0,0,0,0.0614361453859524,0,0,0.403898339908312,0,0.041008996556907,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.102980058353529,0,0.053176705635798,0.202187992809285,0,0.205196754304079,0,0,0.0816869676092398,0,0,0,0,0,0,0.482708158246964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0381972560668742
TED,0,0,0,0,0,0,0,0.171788985759942,0,0,0,0,0,0,0.120908494235862,0,0,0,0,-0.10658806188631,0,0,0,0,0,0.142806744925096,0,0,0,0,0.015523568504763,-0.255579653631487,0.130340975872068,0,0,-0.0181627233975216,0,0,0,0,0,0,0,0,0,-0.105027963211754,0,0,0,0,0,0
RealEstateDiff,0,0,0,0,0,0,0,0,-0.462141140573185,0,0,0,0,-0.0316987787586205,0.226665429151421,-0.0573462161793493,0.0969880366039503,0,0,-0.0175842307606328,0,0,8.67361737988404e-19,0,0.245313889066373,0,0,0,0,0,0,0,0.1274569965975,0.256109400777055,0,0,0,0,0,-0.0120402748783789,0,0,0,-0.146006970493731,0,0,0,0,0,0,0,0
