,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X601077.CH.Equity,0,0,0,0.197501442618291,0,0,0,0,0.0993789348665848,0,0.313935839911007,0.0415257662242788,0,0,0,0.0578349239792884,0,0,0,0,0,0,0,0,0,-0.00708830563219271,0,0,-0.00335696200970421,0,0,0,0,0,0,0,0.159348514992641,-2.77555756156289e-17,0,0,0.121104827188074,0,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0.0667758034481067,0,0,0,0,0,0,0.0525286367601011,0,0,0.104095773736748,0,0,0.0366612856852445,0,0,0,0,-0.0259462800774006,0,0,0,0,0,0.493995562424584,0.30729892767566,0,0.0266358261528336,0,-0.176315898115445,0.135667808398925,0,0,0,-0.104919362591467,0,0,0,0,0,0,-0.00983928722189613,0.23369601252264,0,0,0,0,0,0.050233280326954,0.168405017972413,0.02641308731485
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0.119652578294483,-0.0144424839491186,0,0,0,0,0,-0.00350103537257537,-0.0251920933601866,0,0,0.35917876477527,0,0,2.71050543121376e-20,0,0,0.220812434628346,0,0,-0.0592230479246845,0,0,-0.151223037197487,0,0,0,0,0,0,0,0,0,0,-0.00926359492212591,0,0.0181893818918694,0.318467308085231,0
X5.HK.EQUITY,0,0,0,0,0,0,-0.169956540192217,0,0,0,0,0,0,0,0,-0.150192782120561,0.409035165813407,0,-0.0602658952031836,0,0,0.0743526623509681,0.163656288250906,0,0.503711489906579,0,0,0,0,0.0236140129409119,0,0,0,0,0,0,0,0.0517052653205935,0,0,0,0,0,-0.295978113529117,0,0.0816538342858188,0,0,0,0.34038882684591,-0.11576705073915,0
X2801.TT.EQUITY,0,0,0,0,0,0,0,0,0.0975754078420135,0,0,0,0,0,0,0,-0.0566162099684235,0,-0.0679792788821349,-0.103253231317957,0,0,0,0,0,0,0,0,0.356505654064758,0,0.417081230396457,0.148433938746961,0,0,0,0,0,0,0,0.033399583577893,0.0370595464331849,0,0,-0.000888358170462135,0,0,0.00573854439546396,0,0,0.101273464929362,0,0
X2880.TT.EQUITY,0,0,0,0,0,0,0.0820160817096856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384544874046651,0,0.169331937145783,0.098911158705672,0,0,0.349633450578485,0,0,0,0,0,0,-0.056999691262234,0,0,-0.121606316631877,0,0,0,0.112900142987083,0,0,0,0.00849299252530761
X2884.TT.EQUITY,0,0.0560554577655666,0,0,0,0,0,0,0,0,0,0,0,-0.127912394541595,0,0,0,0.138547545236515,0,0,0,0,0,0,0,0,0,0.0202816851269338,0.282722919645334,0,0.0719361622558618,0,0,0,0,0,0,0,0.297529034895246,0,0,0,0,0,0,-0.0164182887064503,0,0.265908383959992,0.00972780292884762,-0.09144058737055,0,0
X2886.TT.EQUITY,0,0,0,0,0,-0.175951564928437,0,0,0,0,0,0.0956568235537934,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.293536307781993,0,0,0.238258463748059,0,0.151889135753509,0.374594250412865,0.498176615161101,0,0.115868145364258,-0.0551447183471056,0,0,0,0,0,0,0,0,0,0,-0.0567561299452073,0,0,0,0,0,0,0.0733262776605026,0
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0.195090919195217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.258051963740842,0,0,0,0,0.0655305164782126,0.118279782226628,0,0,0,0,0,0,0,0.0534951227355999,0,0,0,0,0,0.110319664803647,0.0803063328003833,0.0399496784414229,0,0.0279025016526993,0,0,-0.033625077129831
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,-0.184648359424576,0,0,0,-0.196451254973503,0.13603291174997,-0.0485437320677106,0,0.179328832063052,-0.03121139309344,0,0,0.0816160888678895,0,0,0,0,0,0,0.222041095181061,0.263153045517052,0,0.15345357668757,0,0,0,0,0,0,0,0,0,0,-0.0845949524231334,0,0,-0.23867472663678,0,0,0,0,0,-0.274989282351815,0.0798359734039624
