date,IND & COMM BK OF CHINA-A,PING AN INSURANCE GROUP CO-A,CHINA CONSTRUCTION BANK-A,AGRICULTURAL BANK OF CHINA-A,HSBC HOLDINGS PLC,BANK OF CHINA LTD-A,CHINA MERCHANTS BANK-A,AIA GROUP LTD,CHINA LIFE INSURANCE CO-A,POSTAL SAVINGS BANK OF CHI-A,INDUSTRIAL BANK CO LTD -A,BANK OF COMMUNICATIONS CO-A,SHANGHAI PUDONG DEVEL BANK-A,CHINA VANKE CO LTD -A,PING AN BANK CO LTD-A,SUN HUNG KAI PROPERTIES,HONG KONG EXCHANGES & CLEAR,CHINA PACIFIC INSURANCE GR-A,PICC HOLDING CO-A,CITIC SECURITIES CO-A,HANG SENG BANK LTD,CHINA OVERSEAS LAND & INVEST,CHINA MINSHENG BANKING-A,BOC HONG KONG HOLDINGS LTD,CHINA CITIC BANK CORP LTD-A,CITIC LTD,CHINA RESOURCES LAND LTD,COUNTRY GARDEN HOLDINGS CO,CSC FINANCIAL CO LTD-A,CHINA EVERBRIGHT BANK CO-A,POLY DEVELOPMENTS AND HOLD-A,CK ASSET HOLDINGS LTD,HUATAI SECURITIES CO LTD-A,HENDERSON LAND DEVELOPMENT,GUOTAI JUNAN SECURITIES CO-A,BANK OF NINGBO CO LTD -A,LINK REIT,HAITONG SECURITIES CO LTD-A,CHINA MERCHANTS SHEKOU IND-A,NEW CHINA LIFE INSURANCE C-A,BANK OF SHANGHAI CO LTD-A,CATHAY FINANCIAL HOLDING CO,WHARF REAL ESTATE INVESTMENT,CHINA MERCHANTS SECURITIES-A,SHENWAN HONGYUAN GROUP CO-A,BANK OF BEIJING CO LTD -A,HUAXIA BANK CO LTD-A,FUBON FINANCIAL HOLDING CO,EAST MONEY INFORMATION CO-A,GF SECURITIES CO LTD-A,FXI.US.EQUITY,VXFXI.INDEX,CN2YR,CN210SLOPE
CHINA PACIFIC INSURANCE GR-A,0,0,-6.93889390390723e-18,0,0,0,0,0,0.383820577219653,0,0.161795927831283,0,0,0,0.023380811796836,0,0.0430143473080909,0,0,0,0,0,0,0,0,0.107429180271375,0.0923000635355224,0,0,0,0,0,0,0,0.153363528967206,0,0,0,0.130110142967287,0.17768259769189,0,0.0658927498692658,0,0,0,0.0346594679995244,0,0,0,0,0,0,0,0
PICC HOLDING CO-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336415770464673,0.187050711181066,-0.075361465337477,0,0,0,0,0,0,0,0,0,0,0,0,0.0176522096133997,-0.154357972289621,0,0,0.163042830007978,-0.0539409814048299,-3.46944695195361e-18,-0.0890669289822041,0,0,0.213832657358794,0.406214091450643,0,0,0,0,0,0,0,0,0,0,0,0,0.0738393426305502,0
CITIC SECURITIES CO-A,0,0.00197333977519069,0,0,0,0,0.0104744986821391,0,0,0,0,0,0,0,0,0,0,0.00333219689874657,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0863746235009166,0,0,0,0.0283826986438044,0,0.103780199256443,0,0,0,0,0.0770404393121072,0.25294341895264,0,0,0,0
HANG SENG BANK LTD,0,0,0,0,0.109132477199766,0,0,0.12474090021615,-0.0326894058552962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489815720563151,0,0,8.67361737988404e-19,0,0,-0.0173496291064299,0,0.0096636104188417,0,0,0,0,0,0,0,0,0,0,0.0268247094861641,0,0,0,0,0,0,0,0,0,0,-0.0289274656576135
CHINA OVERSEAS LAND & INVEST,0,0,0,0.102144924676618,0,-0.258773918611407,0,3.46944695195361e-18,0.108045357310316,0,0,0,0,0.240963092262364,0,0.270657403802229,0,0,0,0,0,0,0,0,0,0,0,0.424042776458245,0.0528831106188937,0,0,0,0.00983296043022053,0,0,0,-0.176974413433877,0,0,0,0,0.134963005754214,0,0,0,0,0,0,0,0,0,0,-0.0935565345104416,0
CHINA MINSHENG BANKING-A,0,0.10744226893693,0,0,0,0.127738846088197,0,0,0,0.10189564691529,0,0.226764509446293,0,0.069929772647074,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0775533713328167,0,0,3.46944695195361e-18,0,0.151425906662854,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.130728292398717,0,0,0,0,0,0,0
BOC HONG KONG HOLDINGS LTD,0,0,0,0,0,0,0,0.159325899362142,0,0,0,0,0,0,0,0.201104589151649,0,0,0,0,0.318546772367862,0,0,0,0,0,0,0,0,0,0,0.0418369985246213,0,0,0,0,0,0,0,0,0,0.147788658083412,0,0,0,0,0,0,0,0,0,0,0,0
CHINA CITIC BANK CORP LTD-A,0,0,0,-0.0198934666964053,0,0,0,-0.0818949658191595,0,0,0,0,0.124807624210895,0,0,0,0,0,0,0,0,-0.0600587952838545,0.56564807562024,0,0,-0.037194452670135,0,0,0,0,0,0,0,0,0,0,0,0,0.0350975687883401,0.166624717666117,0,0,-0.134028226327014,0,0,0,0.194052403259129,0,0,0,0,0,0,0
CITIC LTD,0,0,0,0,0,0,0,0.126489206958488,0,0,0,0,0,0,0,0,0,0,0,0,0.04899835492546,0.192064568926271,0,0.19315492345871,0,0,0,0.13324614352668,0,0,0,0.152385555130426,0,0,0,0,0.175312309948896,0,0,0,0,0,0.015788409049029,0,0,0,0,0,0,0,0.0326123895102075,0,0.0214089450647485,0
CHINA RESOURCES LAND LTD,0,0,0,0,0,0,0,0,0,-0.239391086521485,0,0,0,0,0,0,0,0,0,0,0,0.198733756649877,-0.0737498484563228,0,0,0,0,0.592312082534204,0,0,0.202583805669528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.218408724508546,0,0,0,0,0,0,0
COUNTRY GARDEN HOLDINGS CO,0,0,0,0.0196773497685049,0.163476694900776,0.149614155965614,0,0.0827450828884455,0,0.00643665093162477,0,0,0,0.0309815808542585,0,0,0,0,0,0,0,0.135564855813844,0,0,0,0,0.383226344541385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0593174815020071,0,0,0,0,0,0,0,0,0,0,-0.0777841456076785,0,0
CSC FINANCIAL CO LTD-A,0,0,0,0,0,0,0.0886879477999692,0,0.100644128877154,-0.0182883240597585,0,0,0,0,0,0,0,0,0,0,0,0.0447115962671949,0,0,0,0,3.46944695195361e-18,0.00995531248851557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108975600213781,0.0532464217102059,0,0,0,0.0961321973589076,0.308096040721973,3.46944695195361e-18,0.173527930534402,0,0.0202313703710219
CHINA EVERBRIGHT BANK CO-A,0,0,0,0,0,-0.0595287032829334,0,0,-0.120100444657013,0,0,0,0,0,0.392868309072663,-0.0541425350126696,-0.0190581548806385,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538215351288009,0,0,-0.0972232409540687,0,0,0,0,0.10444308905112,3.46944695195361e-18,0,-0.13420406094772,0,0,0,0,0.494450865764597,0,0,0,0,0,-0.0125236525344557,0
POLY DEVELOPMENTS AND HOLD-A,0,0,0,-0.0234155110166889,0.247690041146086,-0.0429095749313396,0,-0.164757798029117,0,0,0,0,0.313461427309229,0.103165384786675,0,0,0,0,0,0,0,0.237207109309491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247824301571379,0,0.0599407518614801,-0.100592081637862,0,0,0,0,0,0,0,0,0,0,0,-0.121051931998169
CK ASSET HOLDINGS LTD,0,0,0,0,0,0,1.73472347597681e-18,0.166635743232055,0,0,0,0,0,0.175810361423272,0,0,0,0,0,0,0,0,0,0,0,0.0199852577645237,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.100048111643229,0,0,0,-0.0851391377871902,0,0.253748036287569,0,0,0,0,0.0868791724506578,0,0,0,-0.0434435508379732,-0.257756177561354,0
HUATAI SECURITIES CO LTD-A,0,0,0,0,0,0,0,0,0.0924094352292777,0,0,0,0,0,0,0,0,0,0,0.106739956324477,0,0.0313965227291817,0,0,0,0,0,0,0,0,0.185828167658787,0,0,0,0,0,0,0,0,0,0.0265042193838587,0,0,0.092741059927392,0,0,0,0,0,0.364811908974657,0,0,0,0
HENDERSON LAND DEVELOPMENT,0,0,0.182261648277369,0,0,0,0,0.142660206407609,0,0,0,0,0,0,0,0.446399108322203,0,0,0,0,0.232841213976216,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263423309252852,0,0.170721023491293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUOTAI JUNAN SECURITIES CO-A,0,0,0,0,0,0,0,0,0,0.0392919879149702,0,0,0,0,0,0,0,0,0,0,0,0,0.146780505038901,0,0,0,0,0,0,0,0,0,0.155638990459313,0.141236705839816,0,0,0,0.323926645459327,0,0,-1.73472347597681e-18,0,0,0.247653351259767,0.0667497270456082,0,0,-0.00360691983387496,0.0845413658894048,0,0,0,0,0
BANK OF NINGBO CO LTD -A,0,0.241807583753762,0,0,0,0,0.377791628129987,0,0,0,0,0,0,0,0.0419692274749291,0,0.0715474940473329,0,0,0,0,0,0,-0.150692096051578,0,0,0,0,0,0,0,0.123940896593841,0,0,0,0,0,0,-0.0786377337967333,0,0,-0.0356038376691728,0,-0.0178602386733002,0,0,0,0,0,0,0,0,-0.0820741721235328,0.127822052692098
LINK REIT,0,-0.00919599384991424,0,0,0,0.176145206482354,0,0,-0.0587554962024684,-0.0410151649907865,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.172103894293446,-0.0876768644165572,0,0,-0.108093568805534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612189688871659,0,0,0,0,0,0,0,0,0,-0.0686736405800074,0
HAITONG SECURITIES CO LTD-A,0,0,0.135574873143283,0,0,0,0.0383117631448657,0,0,0,0,0,0,-0.0239561476855324,0.00517574185285463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108250946422062,0.131961031973744,0.272290789315487,0,0,0,0,0,0,0,0,0,0.233005875998353,0,0,0,0,0.124451595606216,0,0,-0.00174786700038476,0
CHINA MERCHANTS SHEKOU IND-A,0,0,0,0,-0.0507985814015854,0,-8.67361737988404e-19,0,-0.095818131528281,0,0,0,0,0.263747693531802,0.032454077386914,0,0,0,0.0494820520289619,0,0,0,0,0,0.271944651914328,-1.73472347597681e-18,0.190994167658179,0,0,0,0,0,0,0,0,-0.047309268859004,0,0,0,0,0,0,0,0,0,0,0.11294333984286,0,0,0.379992060703948,0,0,0,-0.0178935361954355
NEW CHINA LIFE INSURANCE C-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.199103252901936,0,-0.00159474430727605,0.102262825324914,0,0,0,0,0,0,0,0.0897455973314502,0,0,0,-0.00387787547387928,0,0,0,0,0,0,0,0,0,0,0.181437670716867,0,0.42077603016718,0.0149133926904393,0,0,0,0,-0.15268335111153,0
BANK OF SHANGHAI CO LTD-A,0,0,0,0.0793951621906644,0.22743876053184,0,0,0,0,0.245423971989799,0,0,0,0,0,0,0,0.0812649622625045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,-0.297776321377107,0,0,0,0,0.016049498924791,0,0.536001768296434,0,0,0,-0.10190041114136,0
CATHAY FINANCIAL HOLDING CO,0,0,0,0,0,-0.0565427374677138,0.0137267348917202,2.16840434497101e-19,0.0148770813255895,0,0,0,0,0,0,0,0,0.0728251578861888,0,0,0,0.0521755241170234,0,0,0,0,0,0,0.0358308340355303,0,0,0.126700281395825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368049575251205,0,0,0,0,0,0
WHARF REAL ESTATE INVESTMENT,0,0.0988250384017263,0.0544514944333616,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,-0.0109934643514206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22224565115055,0,0.557326552546041,-0.15018447072052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0257211917795818,-0.0609869112589944
CHINA MERCHANTS SECURITIES-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136878001463506,0,0,0,0,0.406714891910831,0,-0.0863437022566166,0,0.261259871118312,0,0,0.0061975323204063,0,0,0.21083884152533,0,0,0,0,0,0,0,0,0
SHENWAN HONGYUAN GROUP CO-A,0,0,0,0,0,0,0,0,0,0,0,0.0131052628411171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772303180696425,0,0,0,0,0.111419959938069,0,0,0,0.0239716594483493,0,0.094171980100233,0,0,0,0.447146439171797,0,0,0.0391699064147182,0
BANK OF BEIJING CO LTD -A,0,0.0472086560717626,0,0,0,0.179379876748506,0,0,0,0,0,0.412695213575436,0.394900909046521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.159649020416564,0,0,0,0
HUAXIA BANK CO LTD-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272879887596908,0,0.00631461516682381,0,0,0,0,0.226197662180886,0,0,0,0,0,-0.0741475755964436,0,0.000472482700594992,0.0232099820019203,0.193915049721078,0,0.0110482508827675,0,0,0,0.140625118346862,0,0.0923047416735014,0.0910265239714025,0,0,0,-0.0223768109564291,0
FUBON FINANCIAL HOLDING CO,0.247937926034255,0,0.143176271923877,0,0,0,0,-0.018744979625805,0,-0.0159091680231322,0,0,0,-0.0417545191289978,0,0,-0.0191162135905077,0,0,0,0,0,0,0,0,0,0,0,0,0.162949726876656,0,0,-0.124226309687438,0,0,0,-1.73472347597681e-18,0,0,0.0648983665728508,0,0.270089177145462,0.0991905079073285,0,0,0,0,0,0,0,0,0,-0.203677310158433,0
EAST MONEY INFORMATION CO-A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121478107198106,0,0,0,0,0,0,0,-0.0642918716377051,0.485763541292263,0,0,0.0719260367674462,-0.0785975354910355,0,0,0,0,0,-0.0194329106922667,0,0.116829253338449,0,0,-0.20154210082446,0.143375373748902
GF SECURITIES CO LTD-A,0,0,0,0,-0.0580432361519388,0,0,0,-0.0127634565326451,0,0,0,0,0,0,0.0552594170298067,0,0,0,0.316220752589425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125996044802292,0.0756927718048746,0,0,0,0,0.219439312813662,0,0.20849875909859,0.125600988521242,-0.0478837898017055,0,0,-0.0904737427499073,0,0,0
FXI.US.EQUITY,0,0,0,0.0951587603071388,0,0,0,0,0,-0.0172214185101199,-0.0355177037462861,0,0,-0.120212238259878,0,0,0,0.00971312233301549,0.0193075502467752,0,0,0,0,0,0,0,0,0,0,0,0,0.0378488342695772,0,0,-0.0297230323128606,0,0,0,0,0,-0.0308735758945286,0,0,0,0,0,0,0.0749548720468491,0,0,0,-0.855779202033322,0,0
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114475147469038,0,0.0105275986859345,0,0,0.000989376251456023,0,0,-0.0387511207487781,0,0,0,0,0,0,0,-0.0023412486424861,0,0,-0.0552394485478357,0,0,0,0,0,0,0,0,0,0,-0.013474098970777,0,0,0,0.0908153012190264,0,0,-1.03384085307283,0,0,0
CN2YR,0,0,0,0,0,0,0,0,0.0845293762070915,0,0,0,0,0.079258022540034,0,0,-0.0777294502376962,0.101465238666891,0,0,-0.194810150540343,0,0.181282449995069,0,0,0.172232469714172,-0.0613505104736589,0,0,0.0145062392830532,0,0,0,0,0,-0.125013812423749,0,0,0,0,0,0,0.0588537045795386,0,0,0,0,0.00150691277309855,-0.0613827977304565,0,0,0,0,0
CN210SLOPE,0,-0.134744543726307,0,0,0,0,0,0,0.118337489877646,-0.0241770554457446,0,0,0,-0.474801258094089,0,0,0,0,0,0,-0.126576148233976,0,0,0,0,0,0,0,0,0.0736067976318321,0,-0.0553845548704092,0,0,0,0,-0.120852881435919,0,-0.195590318849923,0.111107041038983,0,0,-3.46944695195361e-18,0,0,0,0,0,0.617880038452327,0,0.0327753430646156,0,0.125127882521544,0
