,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X600030.CH.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X267.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601066.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X2882.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN210SLOPE
X600016.CH.EQUITY,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.015625351387431,0.196985823142433,0.20997027871968,0,0,0,0,-0.0104737519922894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0838015535500312,0.0337192743710215,0,0,0,0.0350983635427455,0,0.139184921463484,0,0,0,0,0.147369450787351,0.356025795323693,0,0,0,0,0
X267.HK.EQUITY,0,0,0.0725173216189918,0,0.0879793309782869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114443352824732,0,0.330121167135468,0,0,0,0.110014617151333,0,0.0950040453161428,0.0387219096178885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177975599544969,0,-0.00427317657371741,0,0,0,0,0,0.128614240752539,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0.129855419210591,0,0,0,0,0,0,0,0,0,0.130018977948251,0,0.0828510962380739,0,0.319742898539083,0,0,0,0,0,0,0,0,0.0549630281619149,0.0727008653495786,0,0,0,0,0,0,0,0,0,0.149755437087001,0,0,0,0,0,0,0,0,0,0
X1109.HK.EQUITY,-0.117536681206199,0,0,0,0,0,0,0,0,-0.263892158837112,0,0,0,0,0.19195558122456,0.179646921469352,0,0,0,0.0382580934519021,0,0,0,0,0,0,0,0.549592004711328,0,0,0,0,-0.224856444446638,0,0,0,0,0,0,0,0,0,0,0,0,-0.0835862266985307,0,0,0,0,0,-0.0838489860326096
X2007.HK.EQUITY,0,0,0,0.100585360314853,0,0.137844484472423,0,0.202452097730103,0,0,0,0,-0.0690193495995215,0.0574883678860744,0,-0.0843261266068699,0,0,0,0.0595499883450482,0,0,0,0,0.132442472790291,0,0.349183471564245,0,0,0,0,0,0.125625826231249,0,0,0,0,0,0.142893342603898,0,0,0,0,0,0,0,0,0,0,0,0.0364014328455049,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,0,-0.110512264195879,0,0.00120575235290397,0,0,0,0.409197440644967,0,-0.0196041647647551,-0.0856781891570743,0,0,0,0,0.0682526147221625,0,0,0,0,0,0,0,0.0736321351978261,0,0,0,-0.0672294020061305,0,0.0468875685613407,0,0,0,0,-0.103463673048704,0,0,0,0.441155579721667,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0.108766590575724,-0.0363563738669451,0,0,0,0,0,0,0,-0.0119423473867425,0,0,0.201059118587334,0,0,0,0.0488717744845256,0,0,0,0,0,0,0,0.0891748197186727,0.0171974369020896,0,0,0,0,-0.26012617448751,0,0.0623373448632954,0,0,0,0,0,0,0,0.29537392336,0.0693284334699644,-0.126034908996251,0
X600048.CH.EQUITY,0,0,0,0,0.348188886406112,0,0,0,-0.170956632188623,0,0,0,0,0.285349271864637,0,0,0,0.00462617864881485,0,0,0,0,0,0,-0.21984920810737,0,0,0,0,0,0,0,0,0.0461126177179729,0,0,0.0588189572186364,0,0.0449219708304644,0,0,-0.0589280046759245,0,0,0,0,0,0,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0.0367335167715588,0,0,0,0,0,0,0,0,0.0198046443015161,0,0,0,0,0,0,0,0,0,0,0.0790072533197769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282831722586574,0,-0.0770276736318414,0,0.503897600133476,0,0,0,0,0,0,0,3.46944695195361e-18,0
X601688.CH.EQUITY,0,0,0,0,0,0,0.0890011583578322,0,-0.123465231817595,0,0,0,0,0,0,0,-0.0545147315545605,0,0,0,0.514428952407493,0,-0.525629268777445,0,0,0,0,0,0,0,0,0,0,0,0,0.480634286894056,0.0554371183320797,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0173338375697577,0,-0.169091334935342
