,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601236.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106610947173435,0,0,0,0,0,0,0,0,0,0.232179305062264,0,0.0762134326437201,0,0,0.0249751644964774,0,0,0,6.93889390390723e-18,-6.93889390390723e-18,0,0,0,0.216386584508141,0,0,0.00111989580148214,0,0,0,0,0,0,0.22942815202042,0,0,0
X000166.CH.EQUITY,0,0,0.0944097703826662,0,0,0,0,0,0,0,0.0325485821875874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0813336877964201,0.420552397476848,0.137362969741477,0,0.0822688803759279,0.0870909677562638,0.0218274885639692,0.0887184597438282,0,0,0,0,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0.326527878800731,0.107988547086543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562613445695652,0,0,0.0554658546913142,0,0.0162652379811187,0.186038138033082,0.0950773281140787,8.67361737988404e-19,0.116881836278282,0,0,0.0478705232489495,0,0,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0.09242132281937,0,0,0,0,0,0,0,0,0.23304465163344,0,0,0,0,0,0,0,0,0.0105438443878478,0,0,0,0.00363860099911632,0,0,0.0152994211141888,0.394741097233265,0.0196219779177946,0,0.155284182681749,0,0,0,0.05334707490584,0,0,0,0,0,0,0,0.0479687222289049,0,0,0,-0.0190027043273061,0,0,0,-0.0399843087459576
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0610235921878467,0,0.0352305635791975,0,0,0,0.700035987270461,6.93889390390723e-18,0.0811067010692093,0,0,0,0.00199720518191028,0.0212799054396171,0,0,0,0.0565197859810315,0,0,0,0,-0.0246537572293646,0,-0.0334484416728531
X600030.CH.EQUITY,0,0,0.0392220283625788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124140472064292,0,0,0,0,0.0451158673380091,-6.93889390390723e-18,0,0.518025059907344,0,0.142305280967072,0.0174315136803275,0,0,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0218337639744,0,0,0,0.104161930430482,0.0277510047181763,0,0,0,0,0,0,0,0,0,0,0.200807995193279,0.113498002869034,0,0,0,0,0,0,0.14282127071018,0,0.235881017803311,0.132684015404475,0,0,0,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0679777961668285,0,0,0,0,0,0,0,0.103588443894405,0,0,0,-0.0446890676242324,-0.00558655349639217,0,0.0350023067406388,0.105601062298837,0.106862496045977,0,0,0.14808359699387,0.00686088044653611,0,0.0737233622598721,0.397437930369939,0,0,0,0,0,0,0,0,0,0,0,0,-0.0196905101160919,0,0
X601066.CH.EQUITY,0,0.0719610569245296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.066868449568903,0,0,0,0,-0.0528030830494438,0,-0.0137255659890501,0,0.523398823148091,0,0,0,0,0,0,0,0.35558245683938,0,0,0.270586995889972,0,0,-0.0817786486091411,0,0,0.0844010056569101,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0.310880638464681,0,0,0,0,0.104159989108198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123811911308321,0,0,0,0.270847189472845,0,0,0,0.178770458305456,0,0,0,0,0,0,0,0,0,0,0,0,0
X601236.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.262600802117591,0,0,0,0,-0.264493118220214,0,0,0,0.171701271716705,0,0,0,0,0,0,0.0490524365810396,0,0,0.318540677966026,0,0,0,0,0.199929347526816,0,0,0,0.416299740381752,0,0.0504642993408282,0,-0.0143986916234003
X601688.CH.EQUITY,0,0,0,0,0.178536822774556,0,0,0.20342173387062,0,0,0.0421916429348621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388937687737252,0.158393511888328,0,0,0.0667484574136632,0,0.1459355168328,0,0.0728793053900466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601881.CH.EQUITY,0,0,0,0,0,0,0,0,0.288594151374014,0,0,0,0,0,0,0,0,0,-0.0477945916198439,0,0,0,0.294246972544591,-0.127144563017046,0,0,0,0,0,0,0,0.249979845104332,0,0,0.190620814982254,0,0.247132940137749,0,0,0,0,0,0,0,0,0,0,-0.226466079912097,0,0,0
X601901.CH.EQUITY,-0.192673159980694,-6.93889390390723e-18,0,0,0,-0.0845523581901957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00781324832059963,0,0,0,0.0225564185680682,0,0,0.318124705906632,0,0,0.533601965614204,0,0,0,0,0.239146728078292,0,0,0,0,0,0,0,0,0.0250568634733935,0,0,0,0,0
X388.HK.EQUITY,0.100271442853115,0,0,0,0,0,0,0,0,0,0,0.141820844901079,0,0,0,0,0,0,0,0,0.0346631282629848,0.419524352641888,0.0152962178341409,0.0198928576622252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680155118651773,0,0,0,0,0,0,0.141039224031718,0,0.126267923252282,0,0
X601318.CH.EQUITY,0.259748222065641,0.106658848207525,0,0,0,0,0,0,0,0,-0.0830500020825882,0,0,0.304205858517648,0,0,0,0,0,0,0.0615491880786205,0,0,0,0,0.0821309869820292,0,0,0,0,0,0,0,0,0,0,0,0.0687118694359874,0.0305368260372788,0.124016577633384,0,0,0,0,0,0.0793638593502848,0,0.0355945650122461,0,0,0
X601319.CH.EQUITY,0.18154313178898,-0.148584422186207,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452203055749675,0,0,0,0,0,0,0,0,0,0.0252250210846484,-0.0432640018826592,0,-1.38777878078145e-17,0.112912666952594,0,0,0,0,0.179851017234514,0,0,0,0,0,0,0,0,0.518000131704025,0,0,0,0,0,0,0
X601336.CH.EQUITY,0,0.0786745877570704,0,0.212630515788141,0,0,0.157288423596864,0.0323848994590464,0,0.0404129326818514,0,0,0.0374880001463233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162727423806126,0,0,0.181726111533873,0,0,0,0,0,0,0,0,0,0,0.00764114708465628,0,0,0.0305548075246589,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0177795040598118,0,0,0.078895169385603,0.195991558733129,0,0,0,0,0,0,0,0,0,0,0.068889738120375,0,0,0,-0.103937385345622,0,0,0,0,0,0,0,0.446356372964621,0,0.0359837453808521,0,0,0,0,0.147936404673233,0.138299799290382,0,0.0329409511989987,0,0
X601628.CH.EQUITY,0,0.03660633558304,0,0,0.103187787395673,0,0.101513270763345,0,0,0,0,0,-2.77555756156289e-17,0.318322469570903,0.056682014184536,0,0,0,0,0,0,0,0,0.112926903573842,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101913211137191,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0,0.0437441847268142,0,0,0.0913871527123182,0,0,0,0,0,0,0,0,0,0,0,0.0022903359083216,0,0.401745711979938,0,-0.101441893054414,0,-0.13925339781735,0,0,0,0,0,0,-0.164676750361264,0,0,0,0,0,0,0.337390064032324,0,0,0,0.0493834676070495,0,0,0,0,0.395775643582137,0
X2881.TT.EQUITY,0,0.189061311974875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113882990984583,0.120567521549004,0,0,0,0.15332479429386,0,0.182918378808106,0,0,0,0,0,0,0,0,-0.0136525782847831,0,0,0,0,0,0,0.0355900751892216,0,0,0,0,0.134595630699644,0,0.237732742511306,0,0.0265957946309498
X2882.TT.EQUITY,0,0,0,0,0,0.040349330636173,0,0,0.214678288370253,0,0,0,3.46944695195361e-18,0,0,0,0,-0.049724719864609,-0.000945965596376349,0,0.125913599210459,0.0845600209776549,0,0.211585764756436,0.14726704380601,-0.0320431612583542,-0.0824423479439992,0,0,0,0,0,0,0,0,0,0.0880117586534615,0,0,0,0,0,0,0,0,0,0,0.202205109387465,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.261590294404686,0,0,0,0.0256094438555943,0,0,6.90218436058682e-05,0.0601093594857819,0.0278573379549818,0.348653855449842,0.135169145084379,0.00582914407414211,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0753303227607177,0,0.0387027133256266,0,0.0713016252472281
macro_return_add,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.684482982891647,0,0,0,0,0.202611612462135,-0.079174068843543,0,0,-0.323043097591894,0,0,-1.73472347597681e-18,0,0,-0.261253881314372,-0.0612627690466144,2.77555756156289e-17,0,0,0,0,0,0,0.0109428218119761,0,-0.0655657542836784,0.129730982122362,0,0.129284942945824,0,0,0
