,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X601328.CH.EQUITY,0,0,0.131857275317757,0,0.0647550752649981,0.715420299547508,0,0,0,0,0,0,0,0.156504159196176,0,0,0,0,0.0144363578267075,0,0,0,0,0,-0.167993974621543,0,0,0,0,0,0,0,0,0,0,0,0,-0.0760159125243565,0,0,0,0,0,0,-0.133874185437614,0,0.0331559451803961,0,0,0,0
X601398.CH.EQUITY,0.537024999070598,0,0,0,0,0,0,0,0.51387717663153,0,0,0,0,0.0163662225002228,0,0,0,0,0,0,0,0,0,0,-0.210965652998509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185681887487496,0,0,0.0773069941126397,0.0780470527591786
X601818.CH.EQUITY,0,0,0,0,0,0.457070370147432,0,0,0,0.0618151008906308,0.0190000030957026,0,0,0,0,0,0,-0.112704936929343,0,0,0,0,0,-0.138833051488563,0.368407291343679,0,0,0,0,0,0,0,0,0,-0.229760773663776,0,0,0.1859357728819,0,0.0579549861900312,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0.0917546386433679,0,0,0,0,0,0,0,0.59102471366988,0.313005088207125,0,0,0,0.0385333526323248,0,0,0,0,0,0,0,0,0,-0.0247142415267055,0,0,0,0,0,0,0,0,0,0,0.0440360608580456,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0.122496346173524,-0.00515025650688214,0,0
X601988.CH.EQUITY,0,0.131302353134096,0,0,0,0,0,0,0,0,0,0,0,0.0852713426278576,0,0,0,0,0.249753677175769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201508620249377,0,0,0,0,0.0723588572562681,0,0,0,0,0,0,0,0,0,0,-0.122123658140911,0.131001960542765,0
X601998.CH.EQUITY,0.114781250996542,0,0,0,0,0,0.161570779959233,0.113124069552331,0,0,0,0,0,0.0860484889742781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00263766000145504,0.144396929182358,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.12072960168498,0,0,-0.0336091348486368,0
X11.HK.EQUITY,0,0.0152371089628557,0,0,0,0,0,0,0.0455881214102088,0,0,0,0,0.300898700597177,0.185825980436892,0,0,0.0728362764151187,0,0.297251544313672,-0.0858013779443742,0,0,0,-0.0300157462607354,0,0,0,0,0.0295733426449706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483726130462262,0,0
X2388.HK.EQUITY,0,0.227021793323103,0,0,0,0,0,0,0,-0.029396594018554,0,0,0,0,-0.505043981157865,0,0,0,0.364583579648338,0,0,0,0,0,0,0,0,0.694221669651896,0.54492911132098,-0.0876846143512878,0,0,0,0,-0.147565477676332,-0.170766690307211,0,-0.294448738276873,0,0,-0.156415738091387,0,0,0,-0.172273166142901,0.144748517055067,0,0,-0.0931513590483052,0.00518061285780756,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0.304905218557056,0,0,0,0,0,0.138464574118496,0,0.0163026388001147,0,0,0,-0.0931323295052002,0,0,0,0,0,0,0,0.0670325069749527,0,0,0,0,0.348787013797287,0.0470827957497691,0,0,0,0,0,-0.188835485962267,0,0,0,0.120378498724459,0,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0632651490275493,0,0,0,0,0,0,0.186064414228435,0,0,0,0.318699654947766,0.016153592046313,0,0,0.0318698362046671,0.426173390640489,0.026104699082422,0,0,0.282988012854428,0,-0.0994390715712793,0,0,0,0,0,0,0,-0.0631134269196273,0,0,0,0,0,0,0,-0.0767411202347427,0,-0.106347748390285,-0.061481238215427
X002736.CH.EQUITY,0,0,0,0.0433256009174591,0,0,0,0,0,0,-0.125576466115781,0,0.0678604620735484,0,0.0952818615613158,0,0,0,0,0.386542315146727,0,0.464351754987456,0,0,0,0,0,0,0,0,0,0,0,0,0.00516871599559608,0.0866977381375653,0,0,0,0,0,0.0303497068714682,0,0.0360527022382587,-0.0404827214276563,0,0,0.034323917028451,0,0,-0.0446865124984138
X600030.CH.EQUITY,0,0,0,0,0,0,0,-0.0298838956333293,0,0,0,0.045726422928364,0,0,0,0,0,0,0,0.0373401326878487,0,0,0.279241521038331,0,0,0.190558344696404,0.33677283787694,0,0,0.042246644236761,0,0,0,0,0,0.0409282311590595,0.0975340191978103,0,0.072149666472351,0,0,0,0,0,0,0,0,0,0,0,-0.0475970585709067
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00817824290319001,0.0155523008327966,0,0,0,0,0,0,0,0.570740457767556,0,8.67361737988404e-19,0,0.00329259206246626,0.180733590716933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111327906331654,0,0,0,0.0337442278285613,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0234466388398748,0,0.0225531131262954,0.0114799047867592,0.279894254569177,0,0,0.0405954404724434,0.506857836190636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0347304043404772,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,-0.0831576487698409,0,0,0,0,0,0,-0.249667397407996,0.170185370798049,0,0,0,-0.321591063933023,0,-0.0752467967266584,0.224823278490702,0,0,0,0,0,0,0.516490510843963,0,0,0.0693238296092615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00403769438645149,0,0,-0.123136645704306,0.27428330758356,0,0
X601211.CH.EQUITY,0,0,-0.0175403363480583,0,0.0396521826075276,0,0,0,0,0,0,0,0.056665817811803,0,-1.0842021724855e-19,0,0,0,0,0.146821051517934,0,0.442415726708295,0,0.204629861502884,0.0304635597255822,0,0,0,0,0.0711910823038612,0,0,0.0180511299929537,0,0,0.0552112277952174,0,0,0,0,0,0.0473542686889612,0.0395496198812469,0,0,0,0,0.0388982435747872,-0.00872672464583702,0,0.00935885634189607
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0305583074301887,0,0,0,0,0,0,0,0.0478725665184151,0.488920725525022,0.0695862686577188,0,0.0528157684111884,0,0,0,0,0.109649878269424,0,0,0,0,-0.0570464768225169,0,0,0.10210420724006,0,-0.0864178703753964,0,0,0,0,0,0,0,0,-0.0319687136682012,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00828211102186854,0,0.0367353987678309,0.578144907887161,0,0,0,0,0,0,0,0,-0.161362147315103,0,-6.93889390390723e-18,0,0,0.325786225569548,0,0,0,0,0,0,0,0,0.197862185066423,0,0,0,0,0,0.0072548916966805,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0.0503992011943708,0.126976118438819,0,0,0,0,0,0,0,0,0.123027284771908,0,0,0,0,0,0.00390957382676287,0,0,0,0,0,0.143022510582465,0.113321138086592,0.220183024387433,0.0979041487473875,0.145943847919422,0,0.0405232641619776,0,0,0,0,0,0,0,0,0,0.0807995910611843,0,3.46944695195361e-18,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0985790961300339,-0.182514529456964,0.543879941646344,0,0,-0.124005480917626,0,0,0,0,0,0,0,0.169485824387175,0,0,0,0,0,0,0,0,-0.0304857417368699,0,0,0.0189953934450697,0.0276246975716471,0,0,0,0.128466260576989,0,0,-0.0959625589863348
X601336.CH.EQUITY,0.0404268424486064,0.133851261466585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155597100212178,0,0,0,0,0,0,0.0356097514735452,0.16085429078268,0,0.251127844746422,0.00452080753128005,0.129530460947458,0,0,0,0,0.109446479751267,-0.0541470837933453,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.138770463736077,0.0608915448919448,0.0137525554883793,0,0.0302051737934979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0453543215373358,0,0.29936707849838,0,0.242487019407721,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,-0.00868930597431627,0,0.0341218618812649,0,0
