,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2887.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X000002.CH.EQUITY,MKRturn,TED
X601577.CH.EQUITY,0.173117273268933,0,0,0,0,0,0.277587295831001,0.328042634924096,0,0,0,0.290894161144743,0,0.0476141050439717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208577060382617,0,0,0.0456777067388757,0,-0.280280680158784,0,0,0,0.0389712483935784,0,0,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,1.01322221543996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0125507898711118,0,0,0,0,0,0,-0.137824058852926,0,0.087382293552257,0,0,0,0,0,0,-0.0888396465971262,0,0,0,0,0,0.0756152034823797,0
X601838.CH.EQUITY,0,0,0,0.0557760397197218,0,0,0,0.433575395262734,0.0549995335587124,0,0,0.0633459725801154,0.074138296037534,0,0.0448751994249831,0.0506413323028146,0,0,0,0,0,0,0,0,0,0,0,0.131579512644276,0,0.0714717488994239,0,0,0,0,0,0,0,0,0,0,0,0,0.0822622089489165,0.201052235093068,0.0255501903161994,0,0,0,0,0,0,0
X601939.CH.EQUITY,0,0,0,0.0261608227914833,0,0,0,0,0,-0.0338110218080501,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.166528573166526,0,0,-0.265183396468482,0,0.216085572456242,0,0,0,0,0,0.0110679380819854,0,0,0.114035156409002,0,0,0,0,0,0,0,0,-0.466666738319187,-0.22345136134544,0.725452171363558,0,0,-0.135742359188365,0,0,0,-0.0766107452661851
X601988.CH.EQUITY,0,0,0,0,0.312973977066873,0,0,0,0,0,0,0,0.22827955954095,0.0308156698654388,0,0,0,0,0,0,0.0440560503294199,0,0,0.0899549643894063,0.14678648151556,0,0,-0.0168735091878535,0.0340851897171758,0,0,0,0,0,0,0.045434952702812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601997.CH.EQUITY,0.048646433114235,0,0,0,0.219992413855326,0.344748377589407,0,0,0,0,0,0,0,-0.0985033679073373,0,0,0,0,0,0,0,0.0079045927448481,0,0,0.0552306376066649,0,0,0.0273415941552811,0,-0.208509166713403,0,0,0,0,0,0,0,0,0,-0.013569586628741,0,0,0.0555431182246674,0,0.228553235215609,0.0589408298579675,0,0,0,0,0,0.127758966536527
X601998.CH.EQUITY,0,0,0,0,0.153364677142003,0,0,0,0,0,0,0,0,0,0.351421018677489,0,0,0,0.00755493425069337,0,0,0,0.0785185155147491,0,0,0,0,0,0,0,0,0,0,0,0,0.0102453484286717,0,0,0,0,0,0.0714306499592739,0,0,0,0,-0.0925841919240987,-0.0169369398844715,0.378539674818201,0,-0.211402742245688,0
X601658.CH.Equity,0,0,0,0,0,0,0,0,0.305194495635167,0.166970696819987,0,0,0,0,0,0,0,-0.0270118770428826,0,0,0,0,0,0.177558576688484,0.013691690770779,0,-0.149709622264486,0,0,0,0.0205312804117747,0,0,0,0,0,0,0,0,0,0.123535392068829,0,0,0,0,0,0,0,0,0,0,0
X601916.CH.Equity,0,0,0,0,0,0,-0.0435772592182281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267668006929231,0,0,0,0.0775829240720096,0,0,0,0,0,0,0,0,0,0,-0.0812473460139703,0,0,0,1.22968969300758,-0.347769747766583,0,0,0,0,0,0.229596104727291,0,0,-0.220239053679227
X601077.CH.Equity,0,0,0,0,0.0414454780541098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0923556730301854,0.259373223108002,0,0.085296435772418,0,0,0,0,-0.0565936885530142,0,0,0,0,0,0,0.194000052381354,0,0.0316012342187633,0.195532330886404,0,0,0.0446327238585275,0,0,0,0,0,0,0,0,0,0,0
X2801.TT.EQUITY,0,0,0,-0.123347357504911,0,0,0.122114352077626,-0.0844223659040264,0,0,0.0897821646635075,0,0,0,0,-0.0332886678866523,0,0,0,0,0,0,0,0.0325185447132679,0.266495445806623,0,0.172251838605923,0,0,0.0108828493973643,0.032176530175365,0,0,0,-0.577626516738618,0,0,0,0,0,0.0176715657741442,0,0,0,0,0.0760860745463442,0,0.269931984413151,0.041972936538726,0,0,0.157604796050157
X2880.TT.EQUITY,0,0,0.0805683685268836,0,0,0,0,0,0,0,0,0,0.034863295100622,0,0,-0.186685568132233,0,0.025340340845663,0,0,0,0,0,0,0,0,0,0.462446762878658,0.166178097577602,0,0,0.209503794831835,0.129554702355347,0,0,0,0,0,0,0,0,0,0,0,0.164062026677905,0,0,0,0,0,0,0
X2884.TT.EQUITY,0.0678024348492747,0,0.0245700321805505,0,0,0,0,-0.146498043474087,0,0,0,0,0,0.01426629408173,0,0,0,0.147659373178835,0,0,0,-0.023882575962747,0,0,0,-0.0389018516025826,0.752019106411232,0,0,0,0,0,0,-0.057531320713936,0,0,0,0,0,0,0,0,0,0,-0.286980299566843,0,0,0.0794397456765897,1.73472347597681e-18,0,0,0.0431853008604579
X2886.TT.EQUITY,0,0,0,0,0,-0.431767902509294,0,0,0,0,0,0,0.0820115627118482,0,0,0,0,0.177335863851599,0,0,0,0,0,0,0,0,0,-0.0532543580803158,0,0,0,0.0228219616762095,0.510102313737796,0,0,0,0,0,0,-0.18465776385638,0.303827398826074,-0.0948686618502564,0,0,-6.93889390390723e-18,0,0,0.0298028050048205,0,0,0,0
X2887.TT.EQUITY,-0.0215692262838872,0,-0.0497236329534869,0,0,0,0.0273933851073443,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0881435017934883,-0.471964246509738,0,0,0,0,0,0,0,0,0,0,0,0.256666870716597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03529711278794,0.650908442690158,0.419007095404594,0.132110285864037,0.0543103539945658
