,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2801.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED
X601169.CH.EQUITY,0,0,0.0606086628387187,0.321531489399616,0.0185802987359917,0,0.311063081935689,0,0,0,0,0,0,0,0,0.0472867386809718,0,0.0376943989825073,0,0.150054739260474,0,0,0,0,0,0.05816496351478,0,0,0,0,0,-0.0632021154101511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645635813938059,0,0
X601229.CH.EQUITY,0,0,0,0,0.0139167820217195,0,0,0,0,0,0,0,0,0.153933053817168,0,-4.33680868994202e-19,0.129710375525347,0,0.165076234228795,0,0,0,0,0.327267049275125,0,0,0,0,0,0,0,0,0,0,0,0.220269328898767,0,0,0,0.00215704441529292,0,0,0,0,0,0,0,0,-0.0165101514430139,-1.73472347597681e-18,0,0
X601288.CH.EQUITY,0,0,0,0,0,0.00852196627553546,0,0,0,0,0,0,0,0,0.110475125158079,0,0.308976319273039,0,5.42101086242752e-20,0.0575838646563637,0,0,0,0,0,0.111837791538897,0,0,0,0,0,0,0,0,0,0,0,0,-0.125942879234518,0,0,0,0,0,-0.00192689061944847,0,0,0,0,0,-0.269506668085634,0
X601328.CH.EQUITY,0,0.0150523744351762,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0949464262366281,-0.0587355840768971,0,0,0,0.350423708764654,0,0,0,0,-0.0102547427354992,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0.286646058935848,0,0,0,0,0,0,0,0,0,0,0,-0.0293508205972308,0.257137742184956,0,0
X601398.CH.EQUITY,0,0,0,0,0.192367955677445,0,0.0888866916084711,0,-0.0220254801751946,0,0,0,0.0549553627808729,0,0,0,0,0,0.386312408486449,0,0,0,0,0,0,0,-0.000751705979553494,0,0,0.0696529227843738,0,0,0.0366323333277824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00857506394052124,0.111853238830958,0,0,0,-0.410278788828125
X601577.CH.EQUITY,0,0,0,0,0,0,0,0.121579708100043,0,0,0,0.123421724670998,0,0,0,0,0,0,0,0,0,0,0,0,0.461988916014486,0,0,0,0,0,0,0.203240778911652,0,0,0.201944975775198,0,0,0.10503631189203,0,0,0,0,0,0,0,0,0,0,0.0155987093955087,0,0.0733005793882027,0
X601818.CH.EQUITY,0.233105070316049,0,0,0.262120715654148,0,0,0,0.0347162103091549,0,0,0,0.0411331676409113,0.158574681451745,0,0,0,0,0,0,0,0,0.0768738340070091,0,0,0,0,0,0,0,0,0,0,0.0984338613786928,0,0,0,0,0,0,0,0.161186246582433,0,0,0,0,0,0,0,0,0.0965618503125287,0,0
X601838.CH.EQUITY,0,0.332018605436575,0.0734193701557294,0.0243642251736004,0,0,0.0275862655442108,0.41218993447441,0,0,0,0,0,0.253606839507162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113837614151606,-0.337102609622963,-0.0117898283008515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601939.CH.EQUITY,0.0613900552790479,0,0,0,0,-1.73472347597681e-18,0.0116960328002443,0,0.0482463395047575,0,0.0491007592979607,0.119873742833681,0,0.2406912370447,0.339020051027893,0.0380971661852377,0,0,0,0,0,0.159105798387246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0615102820596821,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0744429208932465,0,0.0878133704843293,0,0,0.287250826371272,0,0,0,0.0444401408045261,0.0518752482017011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815302457108543,0,0,0,0,0,0,0,0,0,0.00852133841192284,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0282186156111189,0,0,0,0,0,0,0.252519546327017,0,0,0,0,0,0,0.0175867611114476,0,0,0,0,0,0,0,0,0.438904940365069,0,0,0,0,0,0,0,0,0,-0.219337108818314,0,0,0,0.00143586717559592,0,-0.0181557619101138
X601658.CH.Equity,0.115162976745555,2.71050543121376e-20,0.165191766087731,0,-0.179919527835607,0.710628883487309,0,0.0431376524144512,0,0,0,0,0,0,0,0.143898616171025,0,0.0495137332914043,0,0.0310937513755539,0,0,0,-0.165292481656557,0,0,0,0,0,0,0.137818813867014,0,0,0,0,0,0,0,0.266209608958853,0,0,0,0,0.0336093454970516,-0.17529501425757,0,0,0,0,0,0.0520066596083445,0.0900227214062589
X601916.CH.Equity,0,0,0,0,0.394609210510529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0898090166064258,0,0.069089860521307,0,0,0,0.0377096172950186,0,0,0,0,0.103903149177927,0,0,0,0.405480299214507,0,0,0,0,0,0.0490309510902846,0,0.262923896964957,0.236061846951496
X601077.CH.Equity,0.0214024542941292,0,0,0.157798488396924,0,0,0,8.67361737988404e-19,0,0,0.0935593160616391,0.191308912289455,0,0,0,0.134024715101812,0.0578526502044298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19321073521114,0,0,0,0.0235641655340566,0,0,0,0,0,0.0035225935496721,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0.152406312096856,0,0,0,0,0,0,0.248799474115697,0,0,0,0,0,0,0.0680887290110781,0,0,0.536205447465082,0.04443269500023,0,0,0,-0.128870535704731,0.177793755245134,0,0,-0.0492465212355062,-0.0111802642705082,0,0,0,-0.00557960974448872,0,0,0,0,0,0,0,0.0425078411376288,0.0978056067663576,0.0617709564474861,0,0
X2388.HK.EQUITY,0,0.0528856149978175,0,0,0,0,0,0,0,0,0.0300184137118556,0,0,0,0,0,0,0,0,0,0,-0.0767134621857779,0,0,0.449786555422742,0,0,-0.201250165400361,0,0,0.365123722619847,0.099764898710306,0,-0.108497184681282,0,0,0,0,0,0,0,0,0,0,0.0446137886982464,0,0,0,0,0,0.0131985704244782,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.166798021153757,0,0,0,0,0,0,0,0,0,0.0264955916881168,0,0,0.182993561445379,0.120575706867567,0,0.0683188542458906,0,0,0,0,0,0,0.0145225070005165,0,0,0.216200295853723,0,0,0,0,0,-0.0893887141208066,0.00839109272727189,0,0,0,0.176370113360299,0.554298982590164,0,0
X2801.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119671138180692,0,0,-0.0598010493864625,-0.0308242308797922,0,0,-0.0868001966034573,0,0.0709616996199787,0,0.0156843638451772,0,0.349787196453577,0,0.450018938330403,0,0,0,0,0,0,0,0,0.0743331980843815,0,0,0,0,0,0,0.0353295172264945,0,0,0.0552204053571408,0,0
X2880.TT.EQUITY,0,0.0446412825014396,0,0,0,0,0.0654722102905513,0.0253091836575844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0416818540615936,0,0.353663718735457,0,0.221993567875047,0,0,0,0.403080728950299,0,0,0,0,0,0,-0.0172340337158182,0,0,-0.230036722788569,0,0,0,0.0790700268744883,0,0,0,0
X2884.TT.EQUITY,0,0.160060768097709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286239501905949,0,0,0.0968858783948595,0,0,0,-0.0513159159535131,0,0.456766615798972,0,0.051712589083363,0,0,0.166092315421227,0,0,1.73472347597681e-18,0,0,0,-0.00478292571764952,0,0,0,0,0,0.00252198386448154,0,0,0,0,0
