"","date","Top1_ID","Top1_Name","Top1_Sector","Top1_FRM","Top2_ID","Top2_Name","Top2_Sector","Top2_FRM","Top3_ID","Top3_Name","Top3_Sector","Top3_FRM"
"47",20200226,"X267.HK.EQUITY","CITIC LTD","Capital Goods",6.1,"X600000.CH.EQUITY","SHANGHAI PUDONG DEVEL BANK-A","Banks",5.41,"X388.HK.EQUITY","HONG KONG EXCHANGES & CLEAR","Diversified Financials",5.27
"48",20200227,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",5.89,"X388.HK.EQUITY","HONG KONG EXCHANGES & CLEAR","Diversified Financials",5.09,"X600000.CH.EQUITY","SHANGHAI PUDONG DEVEL BANK-A","Banks",4.84
"49",20200302,"X600030.CH.EQUITY","CITIC SECURITIES CO-A","Diversified Financials",5.5,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",4.5,"X000002.CH.EQUITY","CHINA VANKE CO LTD -A","Real Estate",4.24
"50",20200303,"X601688.CH.EQUITY","HUATAI SECURITIES CO LTD-A","Diversified Financials",6.62,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",6.14,"X600000.CH.EQUITY","SHANGHAI PUDONG DEVEL BANK-A","Banks",5.89
"51",20200304,"X601688.CH.EQUITY","HUATAI SECURITIES CO LTD-A","Diversified Financials",6.57,"X600000.CH.EQUITY","SHANGHAI PUDONG DEVEL BANK-A","Banks",5.75,"X601336.CH.EQUITY","NEW CHINA LIFE INSURANCE C-A","Insurance",4.75
"52",20200305,"X601988.CH.EQUITY","BANK OF CHINA LTD-A","Banks",6.89,"X600000.CH.EQUITY","SHANGHAI PUDONG DEVEL BANK-A","Banks",5.78,"X601336.CH.EQUITY","NEW CHINA LIFE INSURANCE C-A","Insurance",4.58
"53",20200306,"X601688.CH.EQUITY","HUATAI SECURITIES CO LTD-A","Diversified Financials",5.89,"X601988.CH.EQUITY","BANK OF CHINA LTD-A","Banks",5.27,"X601318.CH.EQUITY","PING AN INSURANCE GROUP CO-A","Insurance",5.22
"54",20200309,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",6.75,"X2007.HK.EQUITY","COUNTRY GARDEN HOLDINGS CO","Real Estate",6.36,"X601688.CH.EQUITY","HUATAI SECURITIES CO LTD-A","Diversified Financials",5.89
"55",20200310,"X601688.CH.EQUITY","HUATAI SECURITIES CO LTD-A","Diversified Financials",6.78,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",6.61,"X000001.CH.EQUITY","PING AN BANK CO LTD-A","Banks",5.05
"56",20200311,"X601688.CH.EQUITY","HUATAI SECURITIES CO LTD-A","Diversified Financials",7.44,"X600016.CH.EQUITY","CHINA MINSHENG BANKING-A","Banks",6.5,"X600000.CH.EQUITY","SHANGHAI PUDONG DEVEL BANK-A","Banks",6.13
"57",20200312,"X601688.CH.EQUITY","HUATAI SECURITIES CO LTD-A","Diversified Financials",7.63,"X601318.CH.EQUITY","PING AN INSURANCE GROUP CO-A","Insurance",6.61,"X600000.CH.EQUITY","SHANGHAI PUDONG DEVEL BANK-A","Banks",6.57
"58",20200313,"X601169.CH.EQUITY","BANK OF BEIJING CO LTD -A","Banks",6.54,"X601688.CH.EQUITY","HUATAI SECURITIES CO LTD-A","Diversified Financials",6.49,"X600000.CH.EQUITY","SHANGHAI PUDONG DEVEL BANK-A","Banks",5.72
"59",20200316,"X600000.CH.EQUITY","SHANGHAI PUDONG DEVEL BANK-A","Banks",6.51,"X600999.CH.EQUITY","CHINA MERCHANTS SECURITIES-A","Diversified Financials",6.03,"X2007.HK.EQUITY","COUNTRY GARDEN HOLDINGS CO","Real Estate",5.77
