,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X16.HK.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X688.HK.EQUITY,X000001.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601066.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X300059.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601688.CH.EQUITY,0,0,0,-0.271580606223307,0,0,0,0,0,0,0,0,0,0,0.0178490929455182,-0.107306861305384,0.140606672360899,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0919354028973644,0,0,-6.93889390390723e-18,0.0153714915181859,0,0.46914268551033,0,0,0,0.0795402486005946,0.106710248909692,0,0,0.0658173014257799,0.266207760023229,0,0,-0.0485357054512263,0
X823.HK.EQUITY,0,0,0,0.109383912141097,0,0,0,0,0,0,0,0,0,0,0,0.0733152869696323,0,0.348386239051514,0,0.153152385167792,0,0,0,0,-0.00252334367424401,0,0,0,0.17831515093348,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.157132290158614,0,0.296430871139977,0,0,-0.014343124993671,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0.106785338395825,-0.352846466340816,0,0,0,0,0,0,0.114497833894331,0,0.157836139423043,0,0,0,-0.0421165143562511,0,-0.0789123381216352,0,0.132481899209204,0,0,-0.0424025704813881,0.39089719855281,0,0,0,0,0,0.351413474289975,0,0,0.103404977580851,0,0,0,0,0,0,0,-0.0464334074685147,0,0,-0.0736420309252655,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0.160962300497502,0,0,-0.115696789285474,0,0,0,0,0,0.397007188034334,0,0,0,0,0,0,0.072972520029505,0,0,0,0.0343796791032787,0.0334352048272929,0,0,0.0812953821398967,0,0,0,0,0,-0.0194751363259501,0,0,0.248421916255641,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,-0.0783437978670822,0,0,0,-0.109664882868335,0,0,0,0,-0.142191845484843,0,0,0,0,0,0,0,0,0,0,-0.107665324366131,0,0,-0.0356115590476093,-0.0551986246851949,0,0,0.395127245801016,0,0,0,0,0,0,0,0,0,-0.0445282025430171,0,0,0,0,0,0,0,0,0.142533505418649,0.0675154835781206,0,0
X001979.CH.EQUITY,-0.180723931480037,0,-0.323161279854915,0,0,0,0,0,0,0,0,0,0,-0.222443702543203,0,0,0,0,0,0,0,0,0,0,0.129469783620205,0,0,0,0.167713561603879,0,0,0.333145654105795,0,0,0,0,0,0,0.273325889688209,0,0,0,0,0,0.377831347909767,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.178662742935536,0,0,0,0,0,0,0,0.0323176366377623,0,0,0,0,0,0,0.029272226999082,0.0696044148209628,0,0,0,0,0,0.0824438518549358,0,0,0.24408100340105,0.0268314417381049,0,0,0,0.0280723177464517,0.112760924762133,-0.0422982514491354,0,0,0,0.332170667597843,0,0.078506473189101
X600837.CH.EQUITY,0.0213850891999851,0,0,0,0,0,0,0,0.0951740078656448,0,0,0,0,0,0,0,0,-0.0783792475981706,1.38777878078145e-17,0,0,0,-0.0621266281961473,0,0,0.0770610948419667,0,0,0,0.0883640216884542,0,0,0,0.0471325637362418,0,0.290406379056428,0,0,0.0483452221958157,0,0,0,0,0,0,0.323419075709735,0.157967742001602,0,0.0170637600294893,0
X601336.CH.EQUITY,0.0312442409046465,0,-0.123042794883929,0,0,0,0.27472153569428,-0.0219267202914336,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0578065195617719,0,0.14626518742733,0,0.171929598669565,0,0,0.103798468788981,0.201788069922744,0,0,0,0,0,0.141198263670351,0.0326453733307004,0,0,0,0,0,0.152932643758604,0
X002142.CH.EQUITY,0,0,0.311229455880147,0,0,0,0,0,0,0,0.119132902653491,0,0,0,0.0891821361883062,0,0,0,0,-0.0268779529616023,-0.0323330571013899,0,0,0,0.336099382635221,-0.0854739739387863,0,0,0,0,0,0,0,0,0.0362561431385423,0,0,0.0392243784871789,0,0.0512265686861223,-0.00306708694274147,0,0,0,0,0,0,0,0.15309599062534,0
