,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X000002.CH.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X17.HK.EQUITY,X002736.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,macro_return_add
X823.HK.EQUITY,0,0,-0.0516426498026947,0,0,-0.0957983902500217,0,0,0,0,0,0,0.0430004523201784,-0.166894167686415,0.229512741277206,0,0,0.129689311992615,0,0.153901716661029,0,0,0,0,0,0,0,0,0.0862635864256966,0,0.0725690154995288,0,0,0,0.117738984490383,0,0.161984342480185,0,-0.088786301459073,0,0,-0.036527274836888,0.0841894328362319,0,-0.0602708199753769,0,0,0.20617052664344,0,0
X12.HK.EQUITY,0,0,0,0,0,-0.388708556253015,0,0.385707507927076,0,0,0,0.0755662069276858,0,0,0,0,0,0,0,-0.296361375351754,-0.0935733084239303,0,0,0,0,0,0,0,0.12388554766054,0.296447611733378,0,0.653819548420723,0,0,0,0,0,0.539127367942639,0,0,0,0,0,0,0,0.107111601248587,0.0335360098316586,-0.213900209294533,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0.125756888295244,0,0,0,0,0,0,0.441300010460372,0,0,0,0,0,0,0,0,0.0148728822914387,0.022068636746526,0,0,0,-0.0816191312156971,0.145109221330132,0,0,0,0,0,0,0,0.124083498206879,0,0,0,0,0,0,0,0,0,0,0.00386813131278108
X600048.CH.EQUITY,0,0.099033358911626,0.136027126979748,0.0758682409581625,0,0,0,0,0,0,0.124164375901622,0,0,0,0.0722273637156615,0.00634573633022347,0,0,0,0,0,0,0,0.0617534458184343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436370134441412,0,0,0,8.67361737988404e-19,0.150879494300571
X1997.HK.EQUITY,0,0,0,0.276393115920872,0.0485280743943249,0,-0.0600586623350008,0,0,0,0,0,0,0,0.282638759892445,0,0,0,0,0,0,0,0,0.0332781193677988,0,0,0.0416569750217825,0,0.0449055440386683,0.347591809929572,0.139040630342763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0469878424231702,-0.262682430446061,0,0
X601066.CH.EQUITY,0,0,0,0,-0.127684922411613,0,0,0,0,0,0,0.400254541813328,-0.0827538059003253,-0.101200900079064,0,0,0,0,0,0.2677824595099,0,0,0,0,0,0,0,0,0,0,0,0,-0.241532189510792,0,0,0,0,0,0,0,0,0,0,0.209385770313617,0,0,0,-0.00447742424815397,0,0
X601688.CH.EQUITY,0,0,0,0,-0.00850926742710504,0,0,0,-1.73472347597681e-18,0.0546253796939698,0,0,-0.0590582741378352,0,0,0,0,0,0,0,0,0,0,0.662012125909826,0,0,0,0,0,-0.00152385505626056,0,0,0,0,0.117514495177571,0,0,0.0663511444595866,0.0141819733479695,0,0,0,0,0.0816942616475685,0,0,0.017245760173394,-0.0106809811381508,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.153198040856808,-0.0179264165958437,0,0,0,0,0,-0.001441038886662,0,0,0,0,0.118395105461731,0,0,0,0,-0.00303271907518872,0.0353734389880211,0,0,0,0,0.0188039406993484,0,0,0,0.173926459849213,0,0.0894131878381786,0,0.0221920187121838,0,0,0,0.131711361461298,0,0.420640408836733,0
X601336.CH.EQUITY,0,0.138424445925798,0,0,0,0,0,0.0144624065974705,0,0,0,0.190261237140751,0,0,0,0.0495454293134212,0,0.249834869230554,0,0,0,0,0,0,0.171941073176365,0,0,0,0,0,0,0,0,0,0,0.0990423248383315,0,0,0,0,0,0.0370030670341272,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0334677456618229,0.0621699986469804,0,0,0,0,0,0,0.361332384811349,0,-0.00446803913016379,0,0,0,-0.0668611502587446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117698156702396,0,0.168813614909528,0
