,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X601398.CH.EQUITY,0.208009893102621,0.119248769580468,0,0,0.118191200540088,-3.46944695195361e-18,0,0,0,0,0,0,0.219360625949994,0,0,0,0,0,0,0.0434700872216371,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.183142124909125,0,0,0,0,0,0,0,-0.0464898360113921,-0.181626991683973,0,0.221057088616578,0,0,0.0289698981255076
X601818.CH.EQUITY,0,0,0,0,0,0.0432986229414757,0,0,0,0,0,0,0.305070161836277,0,0,0,0,0,0,0.200761336488359,0.161211590379219,0,0.153556102820005,0,0,-0.101618002240955,0,0,0,0.0183097317502909,0,0,0,0,-0.0270136863695179,0,0,0,0,-0.0896430025554798,0,0,0,0,0,0,0,0,0,0,0.130357735380964
X601939.CH.EQUITY,0,0,0.275636219350794,0.0439473556627769,0,0,0,-0.0703719461820138,0.182569986020783,0,0.116322879202718,0,0,0,0.329062345997603,0,0,0,0,0.117515978476595,0,0,0,0,0,0,-0.0337787537171559,0,0,0,0,0,0,0,0,0,0,0,0,-0.0835487926816404,-0.061401082815905,0,0,0,0,0,0,0,0,0,0.0769170741334863
X601988.CH.EQUITY,0.0564253908440559,0,0,0,0,0,0,0,0.234745208725362,0,0.131898859310764,0,0.101777182834026,0,0,0.308054937724412,0,0,0,0,0,0,0,0.212094300766522,0,0,0.137164679473959,0,0,0,0,0,0,0,0,0,0,0,0,-0.584566867135797,0,0.133585123047536,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0.240422502063609,0,0,0,0.134510332778592,0,0.151167144274915,0.0014284293163244,0,0,0.318674553350814,0.0727851750197537,0,0,0,0,0.0775249917661782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0302255102680718,0,0,0,0,0,0,0,0,0,0
X601658.CH.Equity,0,0,0,0,0,0,0,-0.0441743002962794,0.128330257230653,0,0,0,0.099548675730593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370754311460638,0,0,0,0,0,0,0,0.0966490226967315,0,0,0,0.169132878716774,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0.0469642515191937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133152322032108,0.301621099189895,0,0,0,0,0,0.133408342757378,0,0,0,0,0,0,0,0,0,0.250461541788178,0,0,0,0,0,0,0,0.0284053462895876,0,0.106483262337123,0,0,0,0,0,-0.0651657789801368
X2388.HK.EQUITY,0,0.0359519289932983,0,0,0,0,0,0,0,0,0,-0.00967002820176144,0,0,0,0,0.279021356304199,0,0,0,0,0,0,0,0.0172698733480545,0,0,0,0,0.0515076511480117,0,0,0,0,0.0242777013213442,0.144186348543347,0,0,0,0,0,0,0.10313243291796,0,0,0,0,0.0164007431999509,0,0.29720007884456,0
X5.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457437975455413,0,0.811599864192443,-0.598285982723258,0,0,0,0,0,0.0957973981396946,0,0,0.0240389550898873,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0776777322701129,-0.13759244948322,0,0,0,0,0,0,0.0763530241443294,0,0.521790201669235,0,0,0.150054805019531
X2886.TT.EQUITY,0,0,0,0,0,0.205524400980939,0,0,0,0,0.177572221231622,0,0,0,0,0,0.18483615697807,0,0,0,0,0,0.0205905669993226,0,0,0,-0.180480822875639,0,0,0.00326378224310891,0,0,0,0,0,0.0200232763359794,0.504979012444595,0,0,0,0,0,0,0.0304355514474261,0,0,0.104688872554382,0,0,0,0.171328921872128
X000166.CH.EQUITY,0,0,0,0,0,0,0,-0.0143516965794783,0,0,-0.0418204640394765,0,0,0,0,0.0204679744754668,0,0,0,0,0,0,0,0.0705973747591834,0.123493503595771,0,0.0219470770197243,0,0.257582003228951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14462370340016,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01042403560956,0,0.077687656397721,0,0,0.301526645399551,0,0,0.137624718365567,0.24148738965631,0.0224117941601295,0,0,0.22349530626105,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145272790178114,0.0583958389041932,0,0,0,0
X300059.CH.EQUITY,0,0,0,-0.136818635876775,0,0,0,0,0,0,0,0.0426154943750684,0,0,0,0,0,0,0,0,0,0.345330639791132,0,0.679390224976679,0,0,-0.179306717316601,0,0,0.0174828860927689,0,0,0.0462523962365486,0,0,0,0,0,-0.282997325136949,0,0,0,0,0,0,0,0.00595958705094041,0,0,0,0
X600030.CH.EQUITY,0.0609266191125386,0,0,0,0,0,0,0.0353816789158346,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.080189492567872,0,0,0,0.38435179988358,0.0443393062490254,0.232893272288772,0.0445196660961442,0,0,0,0,0,0,0,0,0,0.0827466247408089,0,0,0,0,0,0,0,0,0,0.0538559301125085,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770636884820154,0,0,0.112333813853207,0.08849723510978,0,0,0,0,0.0584273243801881,0.298453391358761,0,-0.093755226649858,0,0,0,0,0,0,-0.0652001803319674,0,0,0,0,0,0,0,0,0.0751042382298949,0,0,0,0.208410823055482,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.123634408022698,0,0,0,0,0.109219794979174,0,0,0,0,0,0,0.129668415944832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178532008881594,0.0490302112846353,0,0,0,8.67361737988404e-19,0,0,0.0376969074383572,0.071302208426595,0,0
X601066.CH.EQUITY,0,0,0,0,-4.33680868994202e-19,0,0,-0.0226397370694441,0,0,0,0.0641747269976575,0,0,-0.0539946390782027,0,0.0352927900931018,0,0.026437190075058,0,0,0,0,0.643270519033494,0.146972633841381,0,0,0,0,0,0,0,0,0,-0.118283181659498,0,0,0,0,0,0,0,0.104268231412422,0,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0.0985085886527109,0,0,0.128748362467318,0,0,0.0370105103307479,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135837673779705,0,0,0,0,0.474301504984467,0,0,0,0,0,0,0,0,0,0,0,0,0.0948651611235356,0,0,0,0,0,0,0.110144931155803,0,-0.12131410164719
X601688.CH.EQUITY,-0.0288421653134521,0,0,0,0,0,0,0.0461881212712128,0,0,0,0,0,-0.0543492083220917,0,0,0.0178352034927695,0,0,0,0.171065707633736,0.388673573212313,0,0.186959953061774,0.215142262205137,0,0,0.119005693724253,0,0,0,0,0,0,0,0,0,0,0.0488186412668125,0,0.0155051781082814,0,-0.146563358580484,0,0,0,0,0,0,0,-0.00767134099732179
X388.HK.EQUITY,0,0,0,0,0,0.0268843819704749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2452725694887,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0736985658580552,0,0.0643386092046875,0,0,0,0.229692246817447,0,-0.0495893611621096
X601318.CH.EQUITY,0,0,0,0,0.0109360181939691,0,0,0,0,0,0,0,0,0.264564867017258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396997781814464,0.0292390329061835,0,0,0,0,0.021736112840099,0,0,0,0,0,0.0226216588369351,0.1454927490385,0,0.0808577007815689,0,-6.93889390390723e-18,0
