,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X600999.CH.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X001979.CH.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0969000586727145,0,0,0,0,0.560173278494258,0,0.0973973499747834,-0.132361122635873,-0.0344293548390987,0,0,0,0,0,0.113753628148347,0.0962158387667399,0,-0.0890418395877891,0,0,0,0,0,0.0991986953173647,0,0,0.234696660200366,0,-0.0630104883894049,0,0,0,0,0,0,0,0,0.213627605259767,0,0,0
X601818.CH.EQUITY,-0.211169582663346,0.0498843797695186,0,0,0,0,0.138576601599369,0,0,0.172315865496432,0,0.0885405277163651,0,0,0,0,0,0,0,0,0,0,0,0,0.334154181360468,0,0.161507542383608,0,0,0,0.0687583431440895,0,0.11357305924781,0,0,0,0,0,0,0,0.0683742274201527,0,0,0,0.0377730202879354,0,0,0.0339486788772046,0,0.104906626922638,0,-0.0932244958631391
X1109.HK.EQUITY,0,-0.0729300862064669,0,0,0,0,0.0488969089535528,0,0,0,0,0,0.0249770688920481,0,0,0,0,0,0,0.131447062207984,0,0,0,0,0,0,0.171064105386367,0,0,0,0,0.20305965876854,0.227463323159548,0,0,0,0,0,0,0,0,0,-0.000692776471266705,0,0,-0.154129263648066,0,0,0,0.00405444716077473,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0.0791849811303084,0,0,0,0,0,0,-0.114528546219079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329755826659691,0,0,0,-0.19448766337727,0.156521955594782,0,0,0,0,0,0,0,-0.0520368738530196,0,0,0.253248768530653,0,0,0.362631425513859
X600999.CH.EQUITY,0.0487931318149099,0,0,0.120766277666386,0,0.0937131159069159,0.0131525254585502,0,0,0,0,0,0,0.365901688117373,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.0961120121426839,0,0,0.0954558224673001,0,0,0,0,0,0,0,0.0499977523568559,0,-8.67361737988404e-19,0,-0.0250153992093589,0,0,0.0948755889864205,0,0,-0.13204735288056,0,0,0,-0.0835078444321312
X688.HK.EQUITY,0,0,0.217181762581622,0.0741382329415077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0473659059822856,0,0,0.142347571209894,0.011246531683629,0,-0.110511765005065,0,0,0,0.522712968405995,0.225658581660634,0,0,0,0,0,0,0,0,0,-0.147049461032543,0,0,-0.0756561884901437,0,0,0,0,-0.202612433470336,0,0,-0.184229081697447
X601688.CH.EQUITY,0,0,0,-0.0595891813742716,0,-0.0692292527274714,0.0108289710377289,0,0,0,0,-0.0923990350357104,0,0.2730560814372,0,0,0,0,0,0,0,0.0352949294816514,0,0,0,0.341197288084982,0,0,0,0.0236368551949502,0,0,0,0,0.128620124496174,0.42336526391296,0,0,0,0,0,0,0,0,0,0,0,-0.0504850854357364,0.0724617696318734,0,0,0.0101071477584215
X601336.CH.EQUITY,0,0,0,0,0,0,0.456886028061801,0,0,0,0.0284703541554073,-0.086240154121488,0,0.0232718213126802,0.199778164659618,0,0,0,0,0,0.215941664306243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123136961370467,0,0.132594986536573,0
X601211.CH.EQUITY,0,0,0,0,0,0.0675006660379658,0,0,0,0,0,0,0,0.305354567348861,0,0,0,0.0968085958320059,0,0,0,0,0,0,0.100587712580213,0.00910271556037574,0,0,0,0.0776494550238374,0,0.0284156397381672,0,0.264946574192344,0,0,0,0,0,0,0,0,0,0.040595639601218,0,0,0.0200171015384715,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,-0.179419889098785,0,0,0,0,0,0,0,0,0,0,0,0.0577822323780397,0,0,0,0,0,-0.0154864814753676,0,0,0,0,0,0,-0.122937369608627,0,0,0.0982921356131201,0.140469002338588,0.0784030105896546,0.0733340993161617,0,0.0882297750713081,0,0,0,0,0.111915293743957,0,0.075524543640326,0.189603478878498,0.191703738718309,0,0,0.106452656508976,0,-0.093314922605189
