,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601166.CH.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601066.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X600016.CH.EQUITY,X2388.HK.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X1109.HK.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X823.HK.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X001979.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,macro_return_add
X16.HK.EQUITY,0,0,0,0,0,0.180136538863476,0,0,0,-0.0403393823497441,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0626900384322787,0.0371979104796797,0,0,0,0,0.356551943072866,0,0,0.0502085846616717,0,0,0,0,0,0,0,0.189645091581118,0,0,0.120588325038914,0,-0.537520191327572,-0.145220722255673,0,-0.0216072147515597,0,0
X300059.CH.EQUITY,0,0,0,0,0,0.01178716271733,0,0,0,0,0.046328833842688,0,0,0.242744090158896,0,0,0,0,0.0974227309411288,0,0,0,-0.0111561224304478,0,0,0,0,0,0,-0.0458542814667292,0,0,0,0,0,0,0,0,0,0,0,0.0591301543060585,0,0,0,0.202786491924352,0.377043145876652,0,0,0,-0.0382226369897219
X11.HK.EQUITY,0,0,0,0.0943455770288829,0,0,0,0.0566378340520168,0.591452383985512,0,0.0533280166288542,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324223798524582,0,-0.0395752213632606,0,0,0,0,0,0.112983212304129,0,0,0,0,0.0969130201868107,0,0,0,0,0,0,0,0,0,-0.0116782003290397,0,0,0
X600016.CH.EQUITY,0,0,0.115504392975684,0,0,0,0,0.0561671791539455,0,0,0,0,0,0,0,0,0.0757922606962313,0.034201261350534,0,0,0.00718200364445022,0,-0.0875995008395257,0,0,0.0717445542377414,0,0.10594824185746,0.0790142478337944,0.110773754667261,0,0.0627371416328079,0,0.615726277909016,0,0,0,0,0,0,0,-0.511966742427566,0,0,0.0634212522636716,0,0,0.141707356155582,0,0,0
X2388.HK.EQUITY,0,-0.0133809491034963,0,0,0,0,0,-0.0161580398838292,0.0240725630190784,0.15128922693524,0,0.104980967674346,0,0,0.120358318244211,0,0,0,0,0,0.152006647303246,0,0.399577515052814,0,0,0,0,0,0,0,0,0,0.0387380390220451,0,-0.278962555322425,0,0,0,0,0,0,0,0.0817936146308713,0,0,0,-0.25535158600146,0.346876617602283,0,0,-0.0441234317637661
X601998.CH.EQUITY,0,0,0,0.175409141492976,0,0,0.191365421456495,0.0691290930551823,0,0,0,0,0,0,0,0.166780986987745,0,0,0.0244710089193308,0,0,0,0,0.351314171470989,0,0,0,0,0.454150266102739,0,0,0,0,0,0,0,0,0,0,0,-0.0834737954356165,0,0,0,0,0,0,-0.00722043232328485,0.0368710918277978,0,0
X002142.CH.EQUITY,0,0,0,0,0.177978891285422,0,0,0,0,0.138963126577204,0,0,0.0306575427638453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0148963113410891,0.083400273815715,0,0,0,0.313503770452843,0,0,0,0,0,-0.0663831032625768,0,0,-0.0235747645840246,0.0355680767230717,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.109378898103672,0,0,0,0,0.591817377320305,0,0.0985619088582305,-0.020488470042233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193009525696476,-0.0749727144075607,0,0.134926389095221,-0.0801838627331934,0,0,0,0,0,0,0,0,0.19936923956795,0,0,0.267838519456601
X601818.CH.EQUITY,-0.0349671661355442,0.068771471148118,0,0,1.38777878078145e-17,0,0,0,0,0.343906990944902,-0.0707308474182541,0,0,0,0.00280405409171706,0,0,0,0,0,0,0,0,0,-0.00248311039982104,0.252820786254913,0.220195692271245,0,0,0,0,0.230787817053672,0,0,0,0,0,0,0,-0.103638868835373,0,0,0,0,0,0,0,0,0.187022969249494,0,0
X1109.HK.EQUITY,0,-0.0985286566736527,0,0,0,0.0132725397792375,0,0.058423348629233,0,0.020928428632525,0,0,0,0,0,0,0,0,0,0,0.240398109760104,0,0,0,-8.67361737988404e-19,0,0.194196360630783,0,0,0,4.33680868994202e-19,0,0.215463969811926,0,0,0.0395096180668067,0,0,0,0.144681519620678,0,0,0,0,0,0,0,0,0,0,0
