,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,macro_return_add
X600030.CH.EQUITY,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174069205849205,0.0732300826187131,0,0,0.0588184531431377,0.23550858320642,0.127325463275575,0.236816521595309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601779798433083,0
X600837.CH.EQUITY,0,0,0,0,0.0490068940816736,0,0,0,-0.181717226928621,0,0,0,0,0,0,0,0,0,0,0,0,-0.0306853668192251,0,0,0.0536012488907176,0,0,0.207326822920911,0.293765461958484,0.304132497604586,0,0,0.0749473835738379,0.106951889512641,0,0,0,0,0,0,0.0333116799665197,0,-0.0213218133615667,0,0,0,0,0,0,0.0212291659052279,0
X600999.CH.EQUITY,0,0,0,0,0,0.0935230872132677,0,0,0,0,0,0,0,0,0.00453681372080312,0,0,0,0,0,0,0,0.166784528714416,0,0.0272750942080873,0,0,0,0.202749014748757,0.285855503055117,-6.93889390390723e-18,0,0,0,0,0,0.0954159591818441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,-0.198564809649477,0,0,0,0,0,0,0,-0.0382689446915395,0,0,0,0,0,0.119153753177353,0.0925239235903219,0,0,0,0,0,0,0.0655310907363295,0.679426595329752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154973134431733,0,-0.0387925038133766,0,0,0,0,0,0,0,0,0,-0.0500787596936053
X601211.CH.EQUITY,0,0,0,0,0,0,0,0.174061703620901,0,0,0.155465988910945,0,0,0,0,0,-0.0565017776303094,0,0,0,0,0,0.0228450392318794,0,0.299211922474358,0.136199369207979,0.0243009837220241,0,0,0,0,0,0.200539055755835,0,0,0,0,0,0,0.00818897432292949,0,0,0,0,0,0,0,0.0238043142536843,0,0,0.0786310880934354
X601688.CH.EQUITY,0,0,0,0,0.0745175296228331,0,0,0,0.0885212373057295,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208052684339609,0.0632111266401805,0.17633687557233,0.341669680459372,0,0,0.0298694444768689,0,0,0,0,0,0.161542592478619,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0.0303722412211836,0,0,0,0.0280705072619163,0,0,0,0,0,0,0,0,0,0,0,0.0326765726208768,0,0,0,0,0,0,0,0.0447948691709698,0,0,0,0,0.368361877107068,0,0,0,0,0,0,0,0,0,0,0,0.07588687380554,0,0.0906925098586391,0,0,0,4.33680868994202e-19,0
X601318.CH.EQUITY,0,0,0,0,0,0.117469268322905,0,0,0,0,0,0,0,0,0.224788711865036,0,0,0,0,0,0,0,0,0,0,0,0.187273519154752,0,0,0,0,0,0,0,0.188867653030786,0,0,0,0,0.0515834085436623,0,0,0,0,0,0,0,0,0,0.0395607537104335,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0.149783899160099,0,0.159736872444381,0,0,0,0,0,0,0,0,0,0,0.00794950166604524,0,0,0,0,0,0,0.269411989978083,0,0,0,0,0,0.156815900269585,0,0,0,0.0509623436383075,0,0,0,0,0,0,0,0,0.0723472957459732,0,0,0
X601336.CH.EQUITY,0.176607450319642,0.00124155179563843,0,0,0,0.202941185987567,0,0,0,0,0,0,0,0,0,0,0.04287687528542,0,0,0,0,0,0,0,0,0.0951206485203508,0.188026746077178,0,0,0,0,0,0,0,0.208522170040686,0,0,0,0,0,0,0.0912416356814185,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0.0388728337617127,0,0,0,0,-0.0985582019729888,0,0,0,0,0.203299292474791,0,0,0,0,0,0,0,0,0,0.677679637757228,0,0.00393309114832072,0,0,0,0,0,0,0,0,0,0,0,0.0785610963679795,0,0,0,0,0
X601628.CH.EQUITY,0.187582781809718,0,0,0,0,0,0,0.0364961870497251,0.208279369310816,0,0,0.0823369688231831,0,0,0,0,0,0,0,0,0,0.151675796162143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168952195707697,0,0,0,0
X1299.HK.EQUITY,0.0437073220585047,0,0.20359273419205,0,0,0,0,0,0,0,0,0,0,0,0.0326544342217599,0,0,0.135672775273339,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47968418060496,0,0,0,0.0864806358846281,0
X2881.TT.EQUITY,0,-0.0120657749336988,0.0111494397909013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0211868286166919,0,0,0.350557760716837,0,0,0,0,0,0,-0.193036024475403,0,0.0205448840770432,0,0,0,0,0.037973478664429,0,0,0,0.586174317081725,0,0.066721935444663,0,0,0,0,0,0,0,0,0,0
X2882.TT.EQUITY,-0.05429832365412,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0203218942536884,0,0.0869393982333545,0,0,0,0.144775311095777,0.0604081620766846,0,0,0,0,0,0,0,0,0,0,0.0458667865743066,0,0.0773586807528906,0,0,0.563528425392834,0,0.0797596770864434,0,0,-0.126579542914922,0,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0.0669681830654434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407381446650899,0.093265605780177,0.065954640475885,0.256438122694721,0,0,-3.46944695195361e-18,0,0,0
