,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X600999.CH.EQUITY,0,-0.127336744480156,0,0,0.116247312212023,0,0,0,0,0,0,0,0,0,-0.0215874847563721,0,0,0,0,0,-8.67361737988404e-19,0,0,0,-0.20036285362144,0.146728623502507,0,0,0,0,0,0,0,0.198858019028786,0,0,0.649403396146459,0,0,0,0,0,0,0,0.0231873793467212,0,0,0,0,0,0.0338554025535395,0.0220721439903528
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.262610417670474,0,0,0,0,0,0,0,-0.0434399127693898,0,0,0,-0.108050710945213,0,0.00111850105759342,0,0,0,0.133459174038995,0,0.339430395662636,0.046856106229052,0,0,0,0,0,0.00127477528774615,0.155166734416872,0.136856957041414,0,0,0,0,0,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0.00718121689059795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596840618494121,0,0,0,0.00206747393486977,0,0,0,-0.0803311468925762,0,0,0,0.0156853496958151,0.0746259306232647,0.239503698720267,0.0900003531389926,0.449265168145544,0,0,0.115868569209988,0,0,0,0,0,0,0,0,0.147812930238652,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.470525378143093,0,0,0,0,0,0,0,0,-0.00505680309473062,0,0,0.367101930879493,0,0,0.30231327360153,0,0,0,0,0,0,0,0,0,0,0,0,-0.0162775775817552,0,0,0,0,0,0.241393605547234
X601881.CH.EQUITY,0,0,0,0,0,0,0,0,0.118892369842658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263686155465762,0.116662626490017,0.193671850800911,0.0612317866223002,0.196306013857635,0,0,0,0.0550568194276041,0,0,-0.0305138460004346,0,0,0,0,0,0,-0.0377870566230618,0,0.0119913379212852,-0.326719058433589,0
X601901.CH.EQUITY,0,0,0,0,0,-0.0587691544203652,0,-0.0190577044067196,0,0,0,0,0,0.0446233773340921,0,0,0,0,0,0,0.011245112041178,0,0,0,-0.0237316930028009,0,-0.140044119325059,0.106637406475822,0.120611107551949,0,0,0,0,0.319559538870324,0,0.0362956734587384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.500721188702337,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.119602412623671,0,0,0,0.127314603481798,0,0,0,0,0,0,0.281397136749112,0,0.00365183800187875,0,0.0218889047786286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769280394515574,0,0.253490709715219,0,0,0,0,0.057490647530394
X601318.CH.EQUITY,0,0.228221962755756,0,0,4.33680868994202e-19,0,0,0,0.0599318561489293,0,-0.294949429383572,0,0,0,0,0,0.0926026835850601,0,0,-0.0856674240977227,0,0,0,0,0,0,0.2775141276375,0,0,-0.0485889026916838,0,0,0,0,0,0,0,0.0466130428950534,0,0,0,0,0,0.46945891324849,0,0.12286169421149,0,0,0,0,0.0815176409725562,0
X601319.CH.EQUITY,0.219109943819065,-0.182576322952984,0,0,0,0,0.121015243403584,0,0,3.46944695195361e-18,0,0,0,0,0,0.0286152604300723,0,0,0,0,0,0,0,0,-0.0327414773584333,0,0,0,0,0.226607006003834,0,0,-0.0279113962280121,0,0,0,0,0,0,0,-0.0579465443127188,0,0,0.411100753366987,0,0,0,0,0,0.0244334662959666,0,0
X601336.CH.EQUITY,0,0,0,0.30407022940746,0,0,0,0,0,0,0,-0.0642734735236737,0,0,0,0,0,0,0,0,0.0772121357927252,0,0,0,-0.191980152086006,0,0,0,0,0,0.0986485660327313,0,0,0.0998245221142145,0,0,0,0,0,0,-0.0842991086262573,0,0.302178633242092,0,0.131823595350477,-0.0885168588746492,0,0.218315129870818,0,0,0.0961146755298864,0
X601601.CH.EQUITY,0,0,0,0,0.0147428266953733,0,0,0,0.146866612541014,0,0.182296096899612,0,0,0,0,0,0,0,-0.0030652686071938,-0.0230493475715244,0,0,0,0,0,0,-0.0241001814916954,0,0,0,0,0,0,0,0,0,0.147488007055473,0,0,0.110046471623524,0,0,0,0.0362940534646613,0,0.218588976330086,0.379062686860762,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.00307526229065318,0,0,0,0.0785959539055967,0,0,0,0,0,0,0,0,0,0.0578189190303378,0.0857176643739559,0,0,0,0,0,0,0,0,0,0.00613798950806918,0,0,0.122291311818094,0,0,0.283312263013908,0,0,0,0,0.0149193837498604,0,0.0594845758729128,0,0,0.160307343207604
X1299.HK.EQUITY,0,0,0,0,0,0,-0.0501668285416054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452593714592484,0.047657341265993,0,0.0457565532991977,0,0,0,0,0,0,0,0,0,0,-0.0941090735770405,0,0.0972893888024531,0.0362028817058601,0,0.425578637081923,0,0,0,0,0,0,0,0.163103849979439,0.169165928252044,0,-0.0117471023112499
X2881.TT.EQUITY,0,0,0,0,0,0,0,0.105122157472196,0,0,-0.149395320521662,0,0,0.0597075986621047,0,0,0,0,-0.060647303948699,0,0,0,0,0,0.0365774867368692,0,0.194305760614433,0,0,0,0,0,0,0,0,-0.175189637173092,0,0,-0.178672939328194,0,0,0,0,0.438898269049594,-0.0191884556288757,0,0,0,0.498201746845302,-0.0281848274926599,0.051111373990946,0
X2882.TT.EQUITY,0,0,0,0,0,0.12936334837417,-0.00683592079600915,0,0,0,0,0,0,0,0,0,-0.18785312184569,0,0,0,0.126333133062177,0,0.271024131588406,0.00393355051891291,0.132123960646344,0.0922776770471345,-0.142052463489841,-0.0333986856457436,0,0,0,0,0,0,0,0.0583671064608147,0,0,0,0,0,0,0,0,0,0,0.0482103433489559,0.307484121899879,0,0,0.081145680003302,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602250375812829,0,0.0430249336899282,0,0,0,0,0.109810340772781,0,0.48269855380809,0,0.0961004602631037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442625625871436,0.362710496891427,0,0,0,-0.0459051873570333,0
TED,0,0,0.0488293716745942,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00266107879234914,-0.00481951131451436,0,0,-0.0253685179720341,0,-0.033475661114324,0,-0.0567644557512888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0129956146037129,0,0,0,0,0,0.104581036770769
RealEstateDiff,0,0.0947852402666211,0,0,0,0,0,0,0,0,-0.326746682321371,0,0,0.000766992466669253,0,0,0,0,0.0287688626355303,0,-0.00970081289851846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0842862035472085,0,0,0,0.105259651052048,0.12967566823219,0,0,0.0831374042160473,0,0.118716555752652,0,0.00204011475984651,0,0,0.186042368467975,0
