,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2887.TT.EQUITY,X5880.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X267.HK.EQUITY,TED,RealEstateDiff
X601169.CH.EQUITY,0,0,0,0,0.213275680744492,0,0,0,0,0,0,0.130765473393428,0,0,0.0893683422280289,0,0.210890921720923,0,0,0,0.0143907449576955,0,0,0,0.376647587242422,0,0,-0.0340258425574367,0,0,-0.0250596782115197,0,0,-0.061858435164945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0331334924995522,0
X601229.CH.EQUITY,0,0,0.327354375270747,0,0,0,0,0,0,0,0.166008434231032,0,0,0.0977730801752787,0,0.0272672992688921,0,0,0,0,0,0,0,0,0.146498667498636,0,0.0394306110560723,0,0,0,0,0,0,0,0,0,0,0.207992211281218,0,0,0,0,0,0,0,0,0,0,0,0,0.0209257021907968,0
X601288.CH.EQUITY,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0366796740267162,0,0,0.408026238283762,0,0,0,0,0.196134118938893,0.14660633834596,0,0,0,0.146415165347775,0,0,-0.0823780668093718,0,0,0.0820704404080859,0,0,0,0.059196887159094,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,-0.01546597014135
X601328.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.449440443344921,0.351346325506852,0,0,0,0.0206399218548227,0,0,0,0,0,0,0.0150238037869096,0,0,0,0,0,0,-0.0115278428667176,0,0.0634707719848588,0,0,0,0,0,0,0,0,0,0,0,0.0102089547557219,0,0,0,-0.0520423995835645,0,0.0671287363727731,-0.0846344309680926
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310175865761822,0.189898103366578,0,0.345956978193415,0,0.0524334768943638,0.130412506055794,0,-1.73472347597681e-18,0,0,0,0,0,0,-0.00266693021464568,0,0,-0.201788105615837,0,0.137335005185077,0,0,0,0,0,0,0,0,0,0,0,0,-0.0739094402250094
X601577.CH.EQUITY,0,0.294074341561674,0,0,0,0,0,0,0,0,0,0.0399875513375092,0,0,0,0,0,0,0,0.103179142922793,0,0,0.0864121930648104,0,0.249440576459946,0,0,0,0,-0.025710711397917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136762711455171,0,0,0
X601818.CH.EQUITY,0,0,0.166541402548774,0,0.454612695332424,0,0,0,0,0,0,0,0,0.0667553801937181,0,0,0,0,0,0,0,0,0,0,0.223621447608458,0,-0.0401940680144089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117850386861504,0,0,0
X601838.CH.EQUITY,0,0.331604092911555,0,0.0960219515027174,0.0196294877774427,0,0,0.124902577527967,0,0,0,0,0,0,0,0,0,0,0.0218727960717369,0,0,0,0,0,0,0,0,-0.000627075164475698,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.172622653713425,0,0,-0.0261971875279698,-0.0221818298017887,0,-0.0287647817403732,0
X601939.CH.EQUITY,0,0,0,0.0228227396810778,8.67361737988404e-19,0,0,0,0,0,0,0,0.316678130298913,0,0.221282479443809,0.0458681313918134,0.148606896375341,0.193329652787457,0,0.114132440457868,0,0,0.0490319892568258,0,0,0,-0.0737903265211373,-0.0430839276646589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034954039907504,0,0,-0.0217763395539661,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0.143289872430241,0,0,0,0.404034741066916,0,0.17663415941128,0,0,0,0.186076654605889,0,-1.38777878078145e-17,0,0,0,0,0,0.156938535440534,0,0,0,0,0,0,-0.0669382065990978,0,0,0,0,0,0,0,0,0.101018400822525,0,0,0,-0.14287205887167,0,0,0,0,0.228416412097429
X601997.CH.EQUITY,0,0,0,0,0.152429440068219,0,0,0,0,0,0.122176485263338,0,0,0,0,0,0,0,0,0.353577264906316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157833459474542,0,0,0,0,0,0.107195625556982,0,0,0,0,0,0,0.0203261565121511,0,0
X601998.CH.EQUITY,0,0.300749352339871,0,0,0,0.0672490717746848,0,0,0,0,0,0,0,0,0.127218308379742,0,0,0,0.0680577788831064,0.0341824872523927,0,0,0,0.206606708405723,0,0.0956072523932304,0,0,0,0,0,0,0,-0.0173676082142189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105604924582596
X601658.CH.Equity,0.202457721507657,0.132867765346598,0,0,0,0,0,0,0,0.123999321719535,0,0,0.0827178209012348,0.10741460496508,0,0,0,0,0,0,0,0,0,0.0604342812856059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0501388511318067,0,0,0,0.0723585162644982,0,0,0,0
X601916.CH.Equity,0,0.155486761928187,0,-0.0329239998680973,0.00968809352029303,0,0,0.0183030332013339,0,0,0,0.419691733324602,0,0,0.0344497671892397,0,0.100483315693364,0,0,-0.122385467143009,0,0,0,0,0,0,0,-0.205654786152078,0,0,0,0,0,0,0,0,0,0,0,0.428633351889442,0,0,0,0,0,0,0,0,0,0,0.153247837302152,-0.231649796743499
X601077.CH.Equity,0,0,0,0.101358426582842,0,0,0,0,0,0,0.510609043046205,0.104769479686886,0,0,0.0486981564595869,0.0308129446859541,-3.46944695195361e-18,0,0,0,0.0113750090488246,0,0,0,0,0,0,0.0460919431487006,0,0,0,-0.042754086870688,0,0,0,0,0,0,0,0,-0.0499952459947589,0,0,0,0,0,0,0,0,0,0.106797731118193,0
X11.HK.EQUITY,0,-0.0355293603393717,0,0,0.115262116480138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182973334407942,0,0,0,0,0,0,0,0,0,-0.138550420765445,0,0,0.138212973667734,0,0,0,0,0,0,0.367344529263712,0,0,0.341791883638355,0,-0.001248701236206
X2388.HK.EQUITY,0,0,0,0,0.419998398902598,0,0,0,0,0,-0.101735076054372,0,0,0,0,0,0,-0.341291820380137,0,0.155880647105152,0,0,0,0,0,0,0,0,0.208052467564463,0,0,0,-0.677213226964346,0,0.115108905368019,0,0,0,0,0,0,0,0,0,0,-0.0100584670433268,0,0,0,0.267561975770993,0.0591190703410545,-0.357283956360959
X5.HK.EQUITY,-6.93889390390723e-18,0,0.0480170285360345,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,-0.0555511510531856,0,0,0,0,0,0.538167512350318,0,0,0,0,0,0,0,-0.298511309745846,0,0,0,-0.0127206770899842,0,0,0,0,-0.176879202235399,0,0.217786307407321,0,0,0,0,0,0.427306578150053,0,0.0956856332299872,-0.198639697509369,-0.0190391859847567
X2880.TT.EQUITY,0,0,0,0,0,0,0,0,-0.118973561089029,0,0,0,0,0.0316433107354491,0,0,0,0,-0.0140450733936139,0,0.187373277237298,0,0,0,0,0,0,0,0,0.294323015651319,0,0.436945849384551,0,1.73472347597681e-18,0,0,0,0,0,-0.0353928978094825,0.0904367446094341,0,0,0,-8.67361737988404e-19,0,0.0424181911015158,0,0,0,-0.01379966831303,0
X2884.TT.EQUITY,0,0,0,0,0,0,-0.0679123553985954,0,0,0,0,0,0,-0.0162875485861096,0,0,-0.123590112715242,0,0.0360944366318022,0,0,0,0,0,0,0,0,0,0.38273108674972,0,0.207829492615794,0,0,0,0,0,0,0,0,0,0.0610783261619611,0,0,0,0,0.0281460643016207,0,0,0.151000052815079,0.166965075599229,0,0
