,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X11.HK.EQUITY,0,0,0,-0.0368348004956168,0,0,0.071709911903505,-0.0873979047098582,0,0,0,0,0.0570532347437101,0,0,0,0,0,0.0734458298060314,0,0,0,-0.0460305748276945,0,0,0.306774413589347,0.50174892007729,0,0,0,0,0,-0.0142472566148066,0,0,0,0,0,0,0,0,0,0,0,0.122899764425606,0,0.10512947005101,0,0.245616146150374,0,-0.00986827083856798,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00451171458905648,0,0,0,0,0,0,0,-0.0755351159678029,0.0170854349117114,0.0572685714673355,0,0.12888801488568,-0.160603688852137,-0.157815968437223,0,0,0,0,0,0,0,0,0,0,0.253676375085549,0,0,0.232708392250432,0,0.137845280159558,0,0,0,0.051041887660882,0.156895401842189,0,0
X5.HK.EQUITY,0,0,0,0,0,0,0.0183499416547018,0,0.0350373233866601,0,0,0,0,0,0,0,0,0,0,0.194057094614088,0,0,0,0,0.495221726111404,0,0,0,0,0,0,0,0.0509463244562864,0,0,0,0,-0.0232273813518519,0,0,0,0,0.0404184249383516,0,0.0982642983291453,0,0.127252057812341,0.0593870203054744,0,0,0,0
X2880.TT.EQUITY,0,0.0666965988694061,0,0,0,0,0,-0.1237220336216,0,0,0,0,0.0100581907521777,0,0,-0.141192506180891,0,0.189201624777757,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.138808669871798,0.448307669522674,0,0,0.731846721017292,0,0,0.0232937376720552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355470709555015,0,0
X2884.TT.EQUITY,0,0,0.00659933760522104,0,0,0,0,0,-0.0701834277471314,0,0,0,-0.0245898276598734,0,-0.0594237230353321,0,0,0,0,-0.118493375842604,0,0,0,0,0,0,0,0.575507044624297,0,0,0,0,0,0,-0.0846634663285013,0.0530090088167176,0,0,0,0,0,-0.2599745098076,-0.0123719991137619,0,0,0.0762265893829789,0,0.14317481557109,0,0,0,0
X2886.TT.EQUITY,0,0,0,0,0,-0.1602330164004,0,-0.0129596562826545,0,0,0,-0.0627954955265032,0,0.0810197838498488,0,0,0,0,0.079089612125466,0,0.0825382864200758,0.19800400168927,0,0,-0.122281084415992,0,0,0.185859464338302,0,0,0,0,0.329415072911141,0,0,0,0,0,-0.155928512664474,0,-0.161346391642296,0,0,0,0.44374438229324,0,0,0,0.113124091739397,0,0,-0.311445661386914
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0141184899256028,0,0,0,0,0.156553326433353,-0.147015026824259,0.0812833565852811,0,0,0,0,0,0,0,0,0,0,0.344698809995337,0,0,0,0.0196412845384155,0,0,0,0,0,0,0,0,0,0,0,0,0.366096042671219,0,0.213763309659127,0,0,-0.0367564953650705,0
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,-0.0128898912716472,0,0,0,0,-0.0420141454443109,0,0,-0.337230097603241,0,0.00169104333220218,0,0,0.0493930406274863,0,0,0,0,3.46944695195361e-18,0,0,0,0,0.351489608657542,0,0,0,0,0,0.116753444358237,0,0,0,0,0.265673447375132,0.145946280214487,0,0,0.0348691248194263,0.300777484630028,0,0,0
X5880.TT.EQUITY,0,0,0,0,-0.031229925108661,0.0682387888620352,0.0588277187952099,0,0,0,0,0,0,0,0,0,0,0,-0.207305459989314,0,-6.93889390390723e-18,-0.174291114806864,0,0,0,0,0,0.442063291456404,0,0.0491202579272306,0.130100242933185,0,0,0,0,0,0,0,0.698516469284756,0,0,0,0,0,0,-0.125440232078999,0,0,0,0,-0.183518385420853,0
X600030.CH.EQUITY,0.0817738762597397,0,0,0,0,0.219855384022476,0,0,0,0,-0.0703257929556611,0,0,0,0,0,0,0,0,-0.0363762964581244,0,0,-0.0696806558516698,0,0,0,0,0,0,0,0,0,-0.0297504097949168,0,0.0279346167695291,0.184396318638044,0.304007325663098,0,0,0,0,0,0,0.281932633085828,0,0.0438198319474347,0,0,0,0,0,-0.0614515949217172
X600837.CH.EQUITY,0,0,0.301420331719425,0,0,0,0,0,0,0.0241959699368172,0,0,0.00119306007355644,0,0,0,0,0,0,0,0.0439913476430241,0.0306968869532391,0,0,0,0,0,0,0,0,0,0,0,0.226500966550021,0,0,0.0470426161713901,0,0,0,0.124011907853259,0,0,0.0391593677555323,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.145766422187536,0,0,0,0,0,0,0.127835991314568,0.22759857660696,0,0.0401366926967655,0,0,0,0,0,0,-0.0185767035863878,-0.0304866629021647,0.510480816477965,0,0,0.0484840686437808,0.13065132147232,0.0217070471386096,0,0,0,0,0,0,0,0,0.0772180983448183,0,0,0,0.0168955402537755
X601211.CH.EQUITY,1.73472347597681e-18,0,0,0,0,0,0.223876132022982,0,0,0,0,-0.0962221767598908,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198142533461768,0,0,0,0,0,0,0,0.688957943411802,0,0,0,0,-1.73472347597681e-18,0,0,0,0.078322309936111,0,0,0,0,-0.0261256940092057,0,-0.195821010881264,-0.31743276995629,0
X601688.CH.EQUITY,0,0.165186520827452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00815061069922525,0,0,0.0950074224193296,0,-0.102452149161513,0,0,-0.0707262743802397,0,0,0,0,0,0.0876402381016496,0,0,0,0.438789145821166,0.145921314647988,0,0.0752818853620196,0,0,0.14419158649766,0,0,0,0,0,0,0,0,0.337857137757173,-0.267458087900667
X2885.TT.EQUITY,0,0,0,0.609189466440021,0,0,0,-0.0777024291736893,0,0,0,0,-0.168504017570857,0,0,-3.46944695195361e-18,0.0223040849980452,0,0,0,0,0,-0.0893469999352035,0,0.102648509320447,0,0,-0.0729008526872662,0,-0.172249384384751,0,-0.0274681013516275,0.680097748762243,-0.175154573780259,0,0,0,0,0,0.0942556908450745,0,0,0,0,-0.0995754218909575,-0.0111285171272003,0,0,0,0,0.071382483031806,0
X601318.CH.EQUITY,0,0,0,0,0,0.299964166039461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637149776608463,0.112775788697989,0.0307260196260813,0,-0.132781711528703,0,0,0,0,0,0,0,0,0,0,0,0.0998331783019794,0,0.295850043427288,0.0811773320621604,0,0.0359546386435329,0,0.122955674907856,0,0,0,0
X601319.CH.EQUITY,0,0,0.0223728520292776,0,0,0,0,0,0,0.354815086173379,0.0126428502163906,0,0,0,0,0,0,0,0,0,0.083483387336071,0,0.212134963038305,0,0,0,0,0,0,0,0,0,0,0,0.10233153204442,0,0,0,0,0,0,0.259744554808042,0,0.228757405571273,0,0.319641283938774,0,0,0,0,0,0
X601336.CH.EQUITY,0,0.0962903125824545,0,0,0.000729636228157762,0,0,0,0,0,0.00355208038182976,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184644315552691,0,0.174425629317878,0,0,0,0,0,0,0,0,0,0,0.506745271775118,0,0,0.293918197337487,0,0,0,0.0559736884816101,0,0,-0.0997857265770934,0,0,0,-0.218079329413346
