,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601229.CH.EQUITY,0,0,0,0,0,0,0.130320617089745,0.439500757063455,0,0.049309562242733,0,0,0,0,0,0,0,0,0.127840422246456,0,0,0.158278729621264,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473046746042426,0,-0.0386358726998548,0,0,0,0.0270391168235511,0,0,0,-0.00649830059616982,0,0,0,0,0,0,0
X601288.CH.EQUITY,0,0,0.059345855057055,0,0,0,0,0.070688293428906,0,0,0,0,0,0,0.148345847374549,0.036634115166142,0.419248558508558,0,0.0876669395364331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0739226790582281,0,0,0.0234280576964211,0,0.011021037257192,0,0,0,0,0
X601328.CH.EQUITY,0,0,0.339507898557052,0,0.0967442867280449,0,0,0,0,0,0,0,0,0,0,0,0.0651079695654151,0,0.161205342910668,0,0,0,0,0,0.0279025988202191,0,0,0,0,0,0,0,0,0.104366660363508,0,0,0,0,0,0,0,0,0,0,0,0.0180526876390122,0,0,0,0.127552375884092,0.0458488536397531,0,0
X601398.CH.EQUITY,0,0.0230489503571999,0,0,0,0.0791561816848924,0,0,0,0,0,0.00892461992864023,0,0,0,0.23105343679268,0.404550459573638,0.0884361870517871,0.129316821818406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0058849621488313,0,0,0,0,0,0,0,0.0981507191119123,0,0,0
X601818.CH.EQUITY,0,0.189366202403726,0,0,0,0,0,0,0.152146953359586,0,0.0409250566418896,0,0,0,0,0,0,0.302448710890475,0.02054816673768,0,0,0,0,0,0,0,-0.0429442273823827,0,0,0,0,0,0,0,0,0,0,0,0,-0.0530206340036432,-0.0706872702623199,0.334666910655956,0,0,0,0,-0.0948537719056461,0,0.100140029527943,0,0,0.202831986735708,0.109651612171813
X601939.CH.EQUITY,0,0,0,0.157152595551739,0,0,0,0.0587944252168403,0,0.171273775372077,0,0,0,0.626383200931963,0.012138619300959,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151581162777233,0,0,0,0,0,0,0,0,0,0,0,0,0.174599528134211,0,0,0,0,0,0,0,0,0.130641290922704,0.169802361516281,0
X601988.CH.EQUITY,0.124841293941806,0,0,0.12442472591125,0,0.0747741646496678,0,0,0,0,0,0.457150825831315,0,0.0962200552723058,0,0,0,0.073324349340806,0,0.0681362462302646,0,0,0.0673879919623216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427144776191908,0,0,0,0,0,0,0,0,0.0399734295885533,0,0,0
X601998.CH.EQUITY,0,0,0.149450137414583,0,0,0.0137764079649827,0,0,-0.0353555253951929,0,0,0.383572707062744,0,0,0.226141833185443,0,0.0684774173139928,0,0,0,0,0,0,0.140954994663714,0,0,0,0,0,0,0,0,0.204565654100672,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.157195247617017,0,0,0,-0.0421300206319066,0,0
X601658.CH.Equity,0,0,0,0.403567507448979,0,-0.352278375606844,0.295582956689804,0.0346813375029253,0.238512374071744,0,0,0.211536281135197,0.178781204858575,0,0,0,0,0,0,-0.0924214602311325,0,0,0,0,0,0,0,0,0,0,0,-0.0977479424393801,0,0,0,0,-0.00336088489904821,0,0,0,0,0,0,-0.00727382589367189,0,0,-0.00805626245349968,0,0,0,0,0.135840417059624,0.0286645342001458
X11.HK.EQUITY,0,0,0,-0.242594575056624,0,0,0,0,0,0,0,0.0971168566933569,0,0,0,0,0.0565543397977364,0,0,0,0.198824744998657,0.705909271689541,0.0606944685665649,0.143890335892254,-0.0891239698054898,0,0,0,0,0,0,-0.0269786712789999,0,0,0,0,0,0.0967747028192604,0,0.0479121616345147,0,-0.00791807676216538,0,0,0,0,0,0,-0.0471659325566225,0.0453786810297484,0,-0.0791737357562302,0
X2388.HK.EQUITY,0,0,0,0,0,0.207789520727658,0.0186100932569993,0,0,0,0,0,0,0,0,0,0,0,0.0365950658546703,0.270123553100923,0,0.216805029963354,0,-0.00542818645137035,0,0,0,0,0,0,0,0,0,0,0.0157045494512412,0,0,0,-0.279458005720383,0,0,0,0,0,0,0,0,0,0,0,0.0167731236019706,0,0.0817972382117436
X5.HK.EQUITY,0,0,0,0,-0.0285336874948452,0,0,0,0,0,0,0,0,0,0,0.0096695559005555,0,0,0.145628202538921,0.295314299776873,0.213936730780239,0,0,0,0,0,0,0,0,-0.0115822530385947,0,0,0,0,0,0,0,0,0,-0.217091247699123,0,0.252995730761509,0,0,0,0,0,0.229977530243557,0,0,0,0,-0.00808971417163171
X2884.TT.EQUITY,0,0,0,0,0,0,0,0.169082357738176,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0189329764214176,0,0,0.269944832883656,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,-0.15125157406075,0.0354794799667034,0,0,-0.17464437733101,0,-0.00512164753262873,0,0.0884200743472895,0.173333995706208,0,0.00259232439229482,0.0503194493474556,-0.133351387321305
X2886.TT.EQUITY,0.0831541848994529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0818318980926366,0.0318751795987998,0,0,0,0,0.423283567187124,0.0210869979165695,0,0.0599992398186714,0,0,0,0,0,0,0,0,0,0.0220415379379596,0,0.064350566363865,-0.157318441906929,0.0885499007693578,0,0,0,0,0.10961480256161,0,0.205786991335292,0,0,0,0
X2891.TT.EQUITY,0,0,0,0,0,0,-0.282849186290524,0,0,0,0,0,0,0,0,0,0,0.220261320097201,0,0,0,0.180547522769466,0,0,0,0,0,0,-0.0793672106761431,0,0.0433257148803676,0,0,0,0,0,0,0,-0.0931636841480741,8.67361737988404e-19,0,0,0,0,0,-0.0794411519389651,0,0.478209158273965,0.081227529930815,0,0,0,0
X000166.CH.EQUITY,0,0.0234082269175774,0,0,0,0,0,0.0323263040733686,0,0,0,0,0.0540050939194449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0269061881588787,0.18793266023277,0.119882758685985,0.111345728711936,0,0,0.230349235782297,0,0.0525790919747734,0.266631930485105,0,0,0,0,0,0,0,0,0.0198382137432178,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,-0.0154475561917966,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375996484685938,0,0,0,0,-0.0465818376799693,0,0,0,0,0,0,0,0.45193414681932,0,0,0,0.0862780621945516,0.293695924237582,0,0,1.38777878078145e-17,0,0,0,0.0647643100054468,0,0,0,0,0,0,-0.0606305905021658,-0.0200878011742236,-0.00860137934551935,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0.0807773132204446,0,0,0,0,0,0,0,0,0,0,0,0,-0.131876957675015,-0.158666895293931,-0.0181718202802509,0,0,0,0.143102661636399,0,0,0,0,0,0.21825679794834,0,0.0719399022561166,0,1.73472347597681e-18,0,0.115853608610059,0.16075228383936,0,0.202031696871103,0,0,0,0,0,0,0,-0.115120124564282,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284998626237674,-0.0919486139743921,0,0,-0.0192282033298194,0,0,0.454003604548045,0.211779675060927,0,0,0,0,0,0.22464323708138,0,0,0,0,-0.00913965095565222,0,0,0.0566389956662597,0,0,0,0.0908674806042261,0,0,0,0,0,0,0.0480855079937368,0.0243387667192364
X600030.CH.EQUITY,0,0,0,0,0.0184140533226451,0,0,0,0,0.0203792700840782,0.0172045723287325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165618076811191,0,0,0,0,0,0.0881445409552142,0.0131506028233566,0,0.227109079143194,0.0122364135837533,0,0,0,0.334293333336629,0,0,0,0.058805030378385,0,0,0,0,0,0,0,0,0
