,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X2892.TT.EQUITY,0,0.0321140332210113,0.250540304581832,0,0,0,-0.139436426610349,0,0,0.073739928269842,0,0,0,0,0,0,0.238050919203432,0,0,0,0,0.49895594095362,0.184279210480557,0,0,0,0,0,0,0,-0.00341401494952607,0,0,0.0444880537436686,0,-0.0541585882097154,0,0,-0.189265120009633,0,0,0,0,0,0,0,0,0,0,0.0431072615262491,0
X000166.CH.EQUITY,0,0,0,0,0,-0.0355686297538152,0,0,0,0,0,0,0,0,0,0,0,0,0.0388541873876037,0,0,0,0,0,0,0,0.348937847019156,0,0.294752416583525,0,0,0,-1.73472347597681e-18,0.0128593842343698,0.0880617335878807,0.229016624874323,0,0.0772414780523832,0,-0.0128309163929667,0,0,0,0,0,0,0,0,0,-0.0236706817074915,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0.0927321334264339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313414098300559,0,0,0,0,0.060095062297226,0,0.0943830218570654,0,0.0595329596572316,0.346350997898846,0,0,0,0,0,0.0977197525602765,0,-3.46944695195361e-18,0,0,0.0122947904022433,0,0,-0.00389049227005768,0.0338867393570481
X002736.CH.EQUITY,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0744288579951321,0.629511212216574,0,0,0,0,0,0,0.0167452505661997,0,0.108413442395187,0,0,0,0,0,0,0,0,-0.0199029367371083,-0.0355762244898133
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00347529177873905,0,0,0,0.167425404605245,0,0.176990055507392,0,0,0,0,0,0.203805699718147,0,0.0670998742698901,0.220811820388581,0.0891165191088335,0,0,0.22662661958555,0,0,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0.000874196322641721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33999631569386,0,0,0,0,0.0444982222877703,0.00429864420197631,-8.67361737988404e-19,0.00950339460909813,0.284986298466109,0.18084087971124,0,0,0,0,0.0399849162923566,0,0,0,0,0,0,0.0458613843688229,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.035019030180268,0.125750943466675,0,0.284222768945217,0,0,0.224682777501263,0,0,0,0.160991091302731,0,0,0,0,0,0.0232760517763177,0,0,0,0,0,0.013381124044786,-0.098340577720235,0
X600958.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236835339725359,0,0.0499674322509822,0.0709458711738251,0.451122867469628,0.0557960351570236,0,0.147864324323798,0,0,0,0.00672337836403617,0,0,0,0,0,0,0,0,0.0118948006539864,0,0,0,0,0
X600999.CH.EQUITY,0,0.00447606954150867,0,0,0,0,0.0330163209739854,0,0,0,0.017022985168174,0,0,0,0,0,0,0,0,0.0482574840779598,0,0,0,0,0,0.483552026534102,0,0,0,0,0.0808685263467731,0.110914918754007,0,0,0.23401784221606,0,0.00633876577898073,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208142429276259,0.102472172017298,0,0,-0.244750385756194,0.365764435062186,0,0,0,0,0,0,0,0.219883386708744,0.000221610901026955,-0.137058049901602,0,0.0284527350483102,0,0,0,0,0,0,0.165680462076364,0,-0.0425086939805688,0.0565305269561837
