,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601628.CH.EQUITY,0,0,0,0,0,0,0.0262075800254824,0,0,0,0,0.232806058821373,0.00365643219438049,0,0,0,0.00971071073345109,-0.0698052471558786,0,0.0455192740208478,-0.0210674397487096,0,0,0,0,0,0,0,0,0,0.253875841595384,0,0,0,0,0,0.00564769060124756,0,0,-0.0603410323480593,-0.299685176336252,0,0,0,0,0,0.297107987290089,0,0.00771066494679335,-0.0718553890428086,0,0,0.11000507140404
X1299.HK.EQUITY,0,0,0,0,0,0.0679136398107953,0,0,0,0,0,0,0,0,0,0,0,0.176134363393437,0,0,0,0,0,0,0,0,0,0,0,0.408571705819246,0,0,0,0,0,0,0,0,0,0,0,0,0.0688577346258569,0,0,0,0.0707444393290935,0,0,0,0,0.0940248926236906,-0.0443742924310555
X2881.TT.EQUITY,-0.204592484506472,0,0,0,0,0,0,0,0,0,0,0.272309549397886,0.0394242955002005,0,0,0,-0.0194201008463267,0,0,0,0,0,-0.0487702080775911,0,0,0,0,0,0,-0.0271106848196261,0,0,0.37120732855517,0,0.0975664203898498,0,0,0.375777056513994,-0.0871286763268867,0,0,0,0,0,0,0,0,0,0,0.308697815450865,-6.93889390390723e-18,0.132831147356418,0
X2882.TT.EQUITY,0,0,0,0,0,0,0.0162519795613017,0,0,0,0,0,0,0,-0.0266419876123699,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0558783479726686,0,0,0,0,0,0,0.0518506452178584,0,0,0.364551582521478,0,0,0,0,0,0.144726172708323,0,0,0,0,0,0.0759109251040907,-0.0177995138968539,0,0,0
X000002.CH.EQUITY,0,0,0,0,0,0,0,0.0255995292172223,0,0,0,0,0,0,0,0,0,0,0,0,0.0301779046617893,0,0,0,0,0,0,0,0,0.140969512772936,0,0,0,0,0,0,0,0.10896080565344,0,0.262182935263202,0.304423058952995,0,0,0,0,0.0763258487673925,0,0,0,0,0,-0.0341552159358055,0
X001979.CH.EQUITY,0,0,0,0,0,-0.0781894620818736,0,0,0,0,0,0,0,0,0,0.398132955087887,0,0,0,0,0,0,0,0,0.0455391694635429,0.0074232228031578,0.204666837699584,0,0,0,0,0.00441435029597955,0,0,-0.16294780946878,0,0,0,0.274830884964157,0,0,-1.73472347597681e-18,0,0,0,0,0.187541681619071,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0.124255461911254,0,0,0,0,0,0,0,0,0,0.0063647240630271,0,0,0,0,0,0,0.22075222725545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.292813091814673,0,0,0,0.203107855277701,0,0,0,-0.12975455466398,0,0.0448101746660934,0,0,0,0.00166403565510386,0,0,0.0472629394033379,0
X1109.HK.EQUITY,0.113530826412839,0,0,0,0,0.00957597683298307,0.0717001967597752,0,0,0,0,-0.120441740539321,0,0,0,0,-0.18480195306094,0,0,0,0,0,0,0,0,0,0,0,-0.211174811003592,0,0,0,-0.155709627962395,0.0526013448240919,0,0,0,0,0,0,0,0,0,0.209055852502856,0,0,0.569129503228901,0,0.0351534261113582,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,-0.171638438258992,0,0,0,0,0,-0.0923339748585507,0,0,0.0547513851102556,0,0,-0.0344398929613558,0,0,0,0,0,0,0,0,0.173986504747297,0,0,0,0,0,0,0,0.0523967094640393,0,0,0,0,0,0,0,0.539927107935495,0,0.099092748695993,0.00447364870728399,0.155779919523386,0,0,0
X12.HK.EQUITY,-0.240903345427464,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0.212008173372415,0,0,0,0,0,0,0,0,0,0,0.285427696585289,0,0,0,0,0.012588076618356,0,0.0468152337477912,0,0,0,0.368705482935551,0,0,-0.000709671726165234,0,0,0.0280895225394611,0,0,0.299990725015158,0,0,0,0.0576852197685599,0.163441644750904,0,0,0
X16.HK.EQUITY,0,-0.0741582275649256,0,0,0,0,0,0,0,0.235357252490129,0,0,0,0,0,0,-0.0938139030459488,0,0.343112785608458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00584706159707529,0.254978090372735,0.17676887791434,0,0,0,0,0.0283535464703287,0,0,0,0
X1997.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.163373793604925,0,0,0,0,0,0,0.0442550546218566,0,0,0,0,0,0,0,0,0,-0.0201036044659296,0.0818600011731815,0,0,0,0,0,0,0,0,0,-0.239860664665375,0,0,0.10012029777505,0.395664764663514,0.0460991212486908,0,0,0.06145980805394,0,0.0561978597236039,0,0,0
X2007.HK.EQUITY,0.00307860059337695,0,0,0,0,0,0,0,0,0,0,0,0.0155940734642769,0,0,0,0.0652435208584452,0,0,0,0,0,0,0,0,0,0,0,0.0419192595335651,0,0,0,0,0,0.0463934430434758,0.226158719041071,0.00578649790292231,0,0,0.0516988458853037,0,0.153815568122394,0,0,0.203183837540998,0,0,0,0.00986577283362119,0.10950745798859,0.178982450773848,0,0.0132595927304757
X267.HK.EQUITY,0.0608692820516369,0,0,0,0,0,0,0,0,0,0,0.21369530330175,0,0,0,0,0,0.550448429709231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0440468772736387,0.0433052130578425,0,0,0,0,0,0,0,0,0,0,0,0.277558700534357,0,0.0376570606486223,0,0.0788922195891115,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.233261946220485,0,0,0,0,-0.187758885433551,0,0,0,0,0,0,0,0,0,0,0,0.0472719341177113,0,0,0.224336960201331,0,0,0,0,0.0623686570427057,0,0,0.390205065770173,0.117779369721776,0,0,0,0,0,0.211407479317396,0,0,0,0,-0.317406408874002,0,0,0
X823.HK.EQUITY,0,0,0,0,0.114366581534513,0,0,0,0,0,0,0,0,0,0,-0.262116323156804,0,0.419484212303086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688601237266806,0,0,0,0,-0.111435436770579,0,0,0.0480868316126817,0,0.0891634158900128,0,0,0.0889926129238805,0,-0.00160476739294165,0,0,0,0.0288649467362848,-0.0710463687317406
MKRturn,0,0,0,0,0,0.0927047165762224,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507318205564212,0,-0.0327147717533746,0,0,0,0,-0.391397036475028,0,0,0,0,0,0,0,0,0,0.0822324302364885,-6.93889390390723e-18,0,0,-0.229921746496334,0,0,0,0,0,0.479469774614641,0.0366202938095963,0.0525019258457272,0,0,-0.709300755294057,0
TED,-0.0939013171632501,0,0,0,0,0,0,0,0.0652949485874317,0.0747660340910381,0,0,0,0,0,0,0,0,0,0,0,-0.129916256509757,0,0,0,8.67361737988404e-19,0,0,0,0,0,-0.203276683662083,0,0,-0.0521656977892071,0.0685420700661416,0.0328995897881249,0,0.0469715547054914,0.109095172755777,0,0,0,0,0,0,0,0,0.0488542912016926,0,0,0,0
RealEstateDiff,0,0,0,0,0,0,0,0,-0.282182075445627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0585396746695,0,0,-0.0436284862066959,0,0.00877893085247201,0,0,0,0,0,0.189313191048106,0,0.0946652595575031,0,0,0,0,0,0,0,0,0,0,0,0.0850773826687485,0,-0.181674769589133,0,0
