,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601211.CH.EQUITY,0,0,0,0,0.161484343856581,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0282744759901557,0,0,0,0,0,0.0497395821601502,0.0742717779352138,0.215778296644512,0.221126243589294,0,0,0.17798596600467,0,0,0,0,0.00450964614714238,0,0,0,0,0.0101238408933166,3.46944695195361e-18,0,0,0,0.0869061396929103,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0.0187732668488365,0,0,0,0,0.0453836085930441,0.114991771122096,0.0730013634988517,0,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0.0223336626880034,0,0.129459701844906,0,0.32880408056533,0,0,0,0,0,0,0,0,0,0,0,0,0.220221905854857,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00306038909281456,0,0.231484682074789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509046066840264,0,0.21017038541917,0,0,0,0,0,0.0696492309087377,0.000695435879232132,0,0.218016803441335,0,0,0,0,0,0,-0.122702357557788,0.0447045311526242
X601318.CH.EQUITY,0,0.191691407263765,0.331668511705022,0,0,0,0.10379876189389,0,-0.0704428946386585,0,0,0,0,0,0.132830587626952,0,0,0,0,0,0,0.228381170310833,0,0,0,0,0,0,0,0,0,0,0,0,0.117288539997293,0,0,0,0,0,-0.0271671968346002,0,0.0100771671030952,0,0,0.0281672161536548,0,0,0,0,0,0.101798950621769,0
X601319.CH.EQUITY,0.210216459358281,-0.110952578457288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179756787834577,0,0,0,0,0,0.61153534063409,0,0,0,0,0,0,0.071660998782776,0,0,0,0,0,0,0,0,-0.0888985119936256,0,0,0.0109368837064313,0
X601336.CH.EQUITY,0,0.00222046919954841,0,0.441494561085994,0,0,0,0,0,0,0,0,0.166042383915602,0,0,0,0,0,0,0,0,0,0,0.265554810306309,0,0,0.027042464937725,0,0,0,0,0.060899894706464,0,0,0,0,0,0,0,0,0,0,0.00816438029094626,0,0,0,0,0,0,0,0.0532271767887602,0.0747370489536415,0
X601601.CH.EQUITY,0,0,0,0,0,0,0.0491126074232512,0,0.0141316100635283,0.0487990795540849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02815338952237,0,0,0,0,0.342474807929952,0.184275240019503,0,0,0.0651821213721765,0.194846534380825,0,0,0,0.0628245506727753,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0.100968359092319,0,0,0.158776266431839,0,0,0,0,0,-2.16840434497101e-19,0.159566326431323,0.0198075892602715,0,0,0,0,0,0,0,0,0.107131223801229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402224991839637,0,0,0,0,0,0,0.186941280861441,0,0.0258544959658621,0,0,0,0.063268270871802
X1299.HK.EQUITY,0,0.045508866419231,0,0,0,0,0.08988959491217,0,0,0,0,0,0,0,0,0,0,0.124616655606464,0,0,0,0,0,0,0,0,-0.0324063363339663,0,0,0.390999456885043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379511990675409,0,0.0735138182632875,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.125615231708837,0,0,0,-0.104941395652557,0,0,0,0,0.0819740394823719,0,0,0,0,-0.0456588407232358,0,0,0,0,0,0.363275240212404,0,0,0,0,0.391491202547155,-0.0312487082644222,0,0,0,0,0,0,0,0,0,0,0,0,0.00889038736480509,0.157416201537054
