,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X600030.CH.EQUITY,0,0,0,0,0,0,0,0.0381539325617584,0,0,0,0,0,0,0,0,0,0,0,0.262464350435964,0,0,0,0,0.136939835692069,0.0114251287711887,0.264706395096803,0.218491769197983,0.0668497491422163,0,0.0343817948374308,0,0,0.0523879517529003,0,0,0,0,0,0,0.0263880316838114,0,0,0,0,0,0,0,0,0,0,0,-0.0237366489424346
X600837.CH.EQUITY,0,0,0,0,0,0,0.0717123776170643,0.108759604292007,0,0.00495908903344894,0,0,0,0,0,0,0,0,0,0,0.00258264262244039,0,0,0,0,0,0,0.0195928226857599,0.112510419458941,0.286788169945373,0,0,0,0.0819508347091421,0,0,0.0520107348400804,0,0,0,0,0,-0.0888273329643317,0,0,0,0,0,0.0769266222639245,0.14273281382137,0.118231790993181,0,0
X600999.CH.EQUITY,0.0517255337959069,0,0,0,0.0846139012817662,0,0,0,0,0,0.00697073616671787,0,0,0,0,0,0,0,0,0,0,0,0.0251100938413115,0.164947542514182,0,0,0,0,0.467307066587967,0.0134300758418403,0,0,0,0,0.0399038003598661,0,0,0,0,0,0,0,0.0890217249760236,0,0,0,0,0,0,0,0,0.190716036830994,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0.0154971392861747,0,0,0,0,0,0,0.0668175660283965,0,-0.0432151924872243,-0.132211677810176,0,0,0,0.161056594573214,0,0.593944368571073,0,0,0,0,0,0,0,0,0,0,0,0.159607012303708,0,0,-0.0399417493408947,0,0,0,0,0,0,0,0,0,0,0,0,0.204438269895761,0
X601211.CH.EQUITY,0,0,0.0837935052906723,0.00333541826978984,0.0291005865417228,0.0104813902252964,0,0,0,0,0,0,0,0,0.084183004849938,0,0,0,0,0.0411270208986035,0.0220155363936115,0.0161968721274535,0,0.318508271501107,0,0,0,0,0.282568747292741,0,0,0,0,0,0,0,0.0798863575451615,0,0,0,0,0,0.0770124839936616,0,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0.337148809431164,-0.0657331974606144,0,0,0,0,0,0,0,0,0,0,-0.0889451568938055,0,0,0,0,0,0,0.03630947629576,0.273055063542442,0,0,0,0.429187862169193,0,0,0,0,0,0.126792748995476,0,0,-0.0668172934048234,-0.0435621463808211,0,0,0.08175917235819,0,0.00849110730195151,0,0,0,0,0,0,0,0,0,0
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0249948604057075,0,0.014862604688183,0.0567087631739287,0.336646842500243,0,0.260724018329656,0,0.167451472684944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.150022468800492,0,0,-0.155227625565596,0,0,0,0,0,0,0,0,0.0344765936211667,0,0,0,0,0.161298761784549,0.341255462052915,0,0,0,0,0,0,0,0,0,0,0,-0.0540267914581453,0,0.45075013393464,0,0.0445587207729222,0,0,0.115672976353281,0,0,-0.0948912031098713,-0.192831720937987,0,0,-0.154249226652187,0,0.123039337148919,0,0
X601318.CH.EQUITY,0.127095790214737,0,0.0608296805988449,0,0,0,0,0,0,0,0,0,0.150251224346789,0,0,0,0,0,0.145941495670828,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139013188866288,0,0.0583203671840717,0,0,0.0213950385781298,0,0,0,0,0,0,0,0,0.119794846716012,0.0188663723914399,0.0648178863461272,0,0,0,-0.0488237320709017
X601319.CH.EQUITY,0.329989813245918,0,0,0,0.0445699926503415,0,0,0.0990301978951942,0,0,0,0,0.00779813763969772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184988014075551,0,0.0322120438775216,0,0.157628199493169,0,0,0,0,-0.0343036271499691,0,0,0,0,0,0,0,0,0,0.00476166528306707,0,0,0,-0.110937931708862
