,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X000001.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X600048.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X267.HK.EQUITY,X601211.CH.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601998.CH.EQUITY,0.242253098325647,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0846375079823005,0,0,0,0.111973920899038,3.46944695195361e-18,0.0058438563737627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174644069472488,0,0,0,0.106677146575188,0,0.508136492576748,0,-0.0880666760316385
X300059.CH.EQUITY,0,0,0,0,0,-0.00704602173205887,0,0,0,0.219117716050451,0,0,0,0,0,0,0,0,0,0,0,0,-0.0401026171841449,0,0,0,0,0,0,0,-0.0131109440899604,0,0.329667948993899,0.022320555989055,0.0181002598145464,0.127625956181969,0,0,0,0,0,0.0146856042730866,0,0,0,0,0.0910197971893185,0.131592316008937,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.659159558917018,0,-0.278853722367193,0,0.113012856755489,0,0,0,0,0,0.132386356792588,0,0,0,0,0,0.149802331276183,0,0,0,0,0.154847000359531,0,0,0,0,0,0,0,0,0,0,0,0.231738283838582,-0.243790578601565,0,0,0,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0.0155360798903909,0,0,0,0,0,0,0,0,0,0,0,0,0.79859508034175,0,0.017120129274175,0,0,0,0,0,0,0,0,0,0,0.0138150376008187,0,0,0.0418691493200553,0,0,0,0,0,0,0,0,0,-0.060729376551982,0,0,0,0,0.0622111848598151,0,0,0,0,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0.173820208630944,0,0,0,-0.0781347908703372,0,0,0,0,0.454891425802683,0,0,0.258092024317608,0.046776232700683,-0.28965981165119,0,-0.286662912836778,0,0,0,0,0,-0.27488419567036,0,0,0,0,0,0.431410189786028,0,0,0.098137535244842,0,0,0.140881654534533,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.118608097641034,0.562620477138536,0,0,0.125550859075845,0,0,0,0,0,0,0,0,0.0859098546887667,0.0373218541084255,0,-0.170148152280421,0,0.00390862410051504,0,0.162413261604893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0667640190392602,0,0.0958999275917674,0,0,-0.0252634230932434
X688.HK.EQUITY,0.309243796997075,0,0,0,0,0,0,-0.00322351120689866,0,0,0,0,0,-0.0283496640816511,-0.00766646011655552,0,0,0,0,0,0.336042634206686,0,0.0594067335843852,0,0,0,0,0,0,0,0.34823726770029,0,0,-0.060867408216176,-0.197485879324956,0,0.157540686688886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2007.HK.EQUITY,0,0.252875647735899,0,-3.46944695195361e-18,0,0,0,0.127563690307837,0,0,0,0,0,0,0,0,-0.0208809209934503,0,0,0,0,0,-0.0252996518633699,0,0,0,0,0,0,0.326816160648361,0,0,0,0,-0.0737836828597393,0,0.338819439487411,0,0,0,0.280919575236184,0,0,0,0,0,0,0,0,-0.0664503435841908,0
X601818.CH.EQUITY,0,0.143656344867516,0,0.168051231574914,0,0,0.0681695621466284,0,0,0,0,0,0,0,0,0,0,0.0655887463733615,0.0805088293444889,0.0854699709022869,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0278624738357429,0,0,0,0,0,0.0912601828356779,0,0,0.0485307369207954,0,0,0,0,0.00326589479089478,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.229824141192469,0,0,0,0,0,0,0,0,0.0143183043969139,0,0,0,0.150242424722164,0,0,0,0.00729434390943022,0.0166642211972291,0,0,0,0,0,0.233297032386935,0,0.138684643655635,0,0,0.0716873603675596,0,-8.67361737988404e-19,0,0.000205856443616751,0,0.140509043846751,2.16840434497101e-19,0,0,0
