,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X388.HK.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X600030.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X000001.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X002142.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X000166.CH.EQUITY,X600015.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X17.HK.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X1109.HK.EQUITY,0.0605588907525246,0,0,0,0.336492745999099,0,0,0,0.0572107293013257,0,0,0,0,0.148423335516386,2.77555756156289e-17,0,0,1.73472347597681e-18,6.93889390390723e-18,0.321346669547633,-0.0952410441340003,0,0.0331684907539041,0.038964033169626,0,0,0,0,0,0,0,0.120431373410269,0,0.17331364190862,0,0,0,0,0,0,0,-0.220524768381553,0,0.0128889107403389,0,0,0,0,0,0.196372986015849
X1113.HK.EQUITY,0,0.106040410726918,0,0,0,0,0,0.246822314078411,0,0,0,0,0,0,0,0,0,0.0271381353914975,0.052057328635761,0,0.287602497395402,0,0,0,0,0.0626411780351958,0,0,0,0,0,0,0.157556658334025,0,0,0,0,0.0949008427816325,-0.0505178582776756,0,0,0,0,0,-0.231623124507554,0,0.0183112058734196,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0,0.483435547856314,0,0,0,0,0,0,0,-0.00396379205031864,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.0709489984469942,0,-0.0396639168349331,0,0.327263476804493,0,0,0,0,0.093788894793677,0,0,0,0,0,0,0,0,0,0,0
X12.HK.EQUITY,0,0,0,-0.138225767868579,0.443639308808555,-0.445788635541254,0,0.110925841385277,0,0,0,0,0,0,0,0,0.306982385891625,0,0,0,-0.00511615947080249,0,-0.256926845656142,0,0,0,0,0,0,0,0,0,0,0.50671648317626,0,0.224684266381201,0,0,0,0,0,0,0,0,0,0,0.384885149482775,0,-0.191953046041056,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0844564644426437,0,0,0,0,0,0,0,0,0.311061068334255,0,0,0,0,-0.142339842206908,0,0.020013925229416,0,0,0,0,0.113856215460792,0,0,0.300389341951235,0,0.0133662399572125,0,0,0,0.0180603654194992,0,0,0.0512275764346499,0,0,-0.0540988215775883,0
X823.HK.EQUITY,0,0,0,0.0380473920175927,0,-0.0912185022745287,0,0,0.299179945684187,0,0,-0.149834691451449,-0.0631524502181255,0,0.119237441969169,0,0,0.00476782852061582,0,0,0,0,0,0,0,0,0,0.107445222646325,0,0,-0.00381497306069901,0,0,0,0,0,0,0.239751411594001,0,-0.18087000067978,0,0,0,0,0,-0.0856179340425216,0.20435643556619,0,0,0
X600048.CH.EQUITY,0,0,0.0285770131575941,0,0,0,0,-0.0583179688541727,0,0,0,0,0,0,0,0.0155274304244529,0,0,0,0,0,0,0,0,0.438618047684938,0,0,0.161642903089706,0,0,0,0,0,0,0.136599833027189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0463225582492221
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260756140138272,0,-0.0871307687340931,0,0,0,0,-0.0226598187993777,0,0,0,0,0,0,0,0,0.0533560924660231,-3.46944695195361e-18,-0.144353597155382,0,0,0,0,0,0,0,0,0,0.479403766788675,0,0,0,0,0,0.0677851341331784,-0.0576885698601314,0
X601211.CH.EQUITY,0,0.0290522808155107,0,0,0,0,0.0135749953627788,0,0,0,0,0,0.0442449683885129,0,0,0,0,0,0,0,0,0.431713086358968,0,0.0300415966939859,-8.67361737988404e-19,0,0,0,0.0699278717277143,0,0,0,0,0,0,0.028761159792935,0.0885457829851468,0,0.000798883039456914,0,0,0,0.0492290998658075,0.00671189054136738,0,0,0,0.226935917085037,0,0
X601336.CH.EQUITY,0.0155641785066403,0.201022222488361,0,0,0,0,0,0,0.0261448737143616,0,0,0,0.326184177503205,0,0,0,0,0,0,0,0,0.137364856842199,0,0,0,0,0,0,0,0.1267831246339,0,0,0,0,0,0,0,0,0,0.115003797378523,0,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0.107368122365186,0,0,0,0,0,0,0,0,0,0,0,0,0.117510455085505,0,0,0,0,-0.00805513798595028,-0.00861721010370181,0,0,0.275250347832094,0,0.0331424661035099,0.0123782645664088,0.073717222821498,0,0,0,0.11599626393678,0,0.0234443429946486,0,0.248056692379837,0,0,0,0,0,0,0
X1997.HK.EQUITY,0,0,0.0836860924865918,0.0131030167610202,0.0375332941225285,0,-0.183878240452543,0.112390107836235,0,0,0,0,0,0,0,0.284318799996971,0,0.141825104074608,0,0,0,0,0,0,0,0,0,0.24240931048638,0,0.134519051559346,0,0.241682930717217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0825206462732396,0,0.0193336220896259,0
X601066.CH.EQUITY,-0.213176580367076,0,0,0,-0.0384638827858932,0,0,0,0,-0.162677055834049,0,0,2.77555756156289e-17,0,-0.355245445452379,0,0,0,0,-0.154970646872197,-0.0188269504298955,0,0,0,0,0,0,0,0.14234810484565,0,0.678326946666495,0.297030771995905,0,0,0,0,0,0.0683990894216697,0,0,0,0,0.254554809704373,0,0,0,0,0,0,0
X002142.CH.EQUITY,0,0,0.238892280627284,0,0,0.105855878570832,0.0254619223061144,0,0,0,0,0,0,0.0733169722948412,0,0,0,0,0,0.184624776669437,0,0,0,0,0.0479879363018392,0,-0.271580495866587,0,0,0,0,0,0,0.0421930469758907,0,0.241698974640062,0,0,0,0,0,0.0147167132596346,0,0,0,0,0,0,0.0831412853185537,0
X601229.CH.EQUITY,0.40878652558485,0,0,0,0,0,0,0,0,0,0.138542805923623,0.0262994513846914,0,0,0,0,0.139765176486532,0,0,0,0.0309297995817103,0,0,0,0,0,0,0,0.18863254701911,0,0,0,0,0,0,0,0,0,0,0.0752736772000905,0,0,0.000349895205165775,0,0,0.0883062839062391,0,0,0.117850023400087,0
X601169.CH.EQUITY,0,0,0,0,0,0,-0.186035598569267,0,0,0,0,0,0,-0.0525739680079199,0,0.0499399434886623,0,0,0,0,0,0,0.0610281952069318,0,0,0,0,0,0,0,0,0.0741792411189351,0,0.624293593494468,0,0,0,0.012737309587846,0,0,0,0,0,0.930238947519251,0.091087280660004,-0.137177613188741,0,0,0,0.0614132218987594
X000166.CH.EQUITY,0,-0.220108788544988,0,0.050266278969197,0,0,0,0,0,0,0,0,0.238077439696651,0,0.17340189756293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305799995191208,0,0.313582007025602,0,0.0282881781697566,0,0,0,0,0,0,0.287586440100935,0,0,0,0.0277110959124937
X600015.CH.EQUITY,0.153824540035287,0,0,0,-0.317926117791294,0,0.399345552275401,0,0,0,0,-0.413560531726316,-0.0948323391430932,0,0,0,0,0,0,0,0,0,0.368070974729588,0,0.301867007787033,0,0,0,0.0742831604209212,0,0.109372367554295,0,0,0.108150914711256,0,0,0,-0.21105292769374,0.00861518931113629,0,0,0.184355749146779,0,0,0,0,0,0,0,0
X2882.TT.EQUITY,0.00577278175774314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0349850346601105,0,0,0.129158363401152,0,0,0,0,0,0,0,0,0,-0.113942313193639,0.0988878265225527,0,0,0,0,0,0,1.08764776689794,-0.055940125449568
X002736.CH.EQUITY,0,0,0.0456013169143057,0,0,0.047899805439796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320446371867287,0.0513308126495841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00721868212203027,0,0,0,0,0.425447889001845,0.0168037849436329,0,0,0,0,0.089660086367737,0
X17.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0684424789640218,0,0,0.121457773681704,0.34491276593513,0,0,0.146999695721786,0,0.0637100207027386,0,0,0,0,0,0,0,0,0.229220842141181,0,0.170392731236891,0,0,0,0,0,0.178175922477462,0.064309040772715,0,0,0,0,0,0,0.0394129156675255,0,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321378591129146,0,0,0.0772221435722557,0,0,0,0,0.000875878137415641,0,0,0,0,0,0,0,0.501469935366629,-2.16840434497101e-19,0.125530030138109,0,0.0730589920648907,0,0,0,0,0,0,0.220268268575791,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0.037811680806176,-0.0854781544141456,0,0.267988468970138,0,0,0,0,0,0,0,-0.444390846898639,0,0,0,0,0,0,0,0,0,-0.0890734617077836,0,0,0,0,0,0,-0.298557119272587,0,0,0,0,0,0,0.190143534130067,0.14478162069666,0,0,0,0.447055902732766,0,0,0,0,0
macro_return_add,0,-0.0507263345808939,0,0.25951127892184,0.0689825845973777,0,0,0,0,0,0.0411666259198425,0.0979505220029815,0,0,0,0,0,0,0,0,0.170897060052284,0,0,0,-0.179843424496299,0,0.580759935947012,-0.3624662898012,0.213122477450386,0,0,0,0,0,0,0,0,6.93889390390723e-18,-0.307183449215151,0,0,0,0.434637016068911,0,0,0,0,0,0,0
