,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X2007.HK.EQUITY,X1113.HK.EQUITY,X823.HK.EQUITY,X600048.CH.EQUITY,X12.HK.EQUITY,X601688.CH.EQUITY,X001979.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601229.CH.EQUITY,X600837.CH.EQUITY,X002142.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X300059.CH.EQUITY,macro_return_add
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0760847131262218,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0205524942723773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505925927790661,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0.0594717117980704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121001097152757,0,0,0.370562085717132,0,0,0,0,0,0,0,0,0.420981779611921,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.00473836159441388,0,0,0,0,0,0,0,0,0.259241009259763,0,0,0,0,0,0,0.0843257219086995,0,-0.0224342680106895,0,0,0,0.260142640369824,0,0,0,0,0,0,0.0549523507523845,0,0,-0.112539161428521,0,0.0811806764860985,0.181319156282636,0,0,0.189934335522658
X601818.CH.EQUITY,0,0,0,0.503443214938003,0,0,0.06445201163512,0,0,0,0,0,0,0,0,0,0.189726744320463,0,0,0,0,0,0,0,0,0.205062095622102,0,0,0.196487313069878,-0.119449651161314,0,0,0,0,0,0,0,0.329116885372995,0,0,0.269913963828649,0,0,0,-6.93889390390723e-18,0,-0.357724973838791,0,0,0
X2007.HK.EQUITY,0,0,0,-0.0491888925566598,0,0,0,0,0,0,0,0,0.161252098764386,0,0.0154084526792818,0,0,0,0,0.0842230705404891,0,0.0181025211011738,0,0,0,0.159961525369293,0,0,0.255118579970674,0,0.285130041704985,0,0,0.0523527875385802,0,0,0,0,0,0,0,0,0,-0.104328287072054,0.0160138739632291,0,0,0,0,0
X1113.HK.EQUITY,0,0,0.00228588409321331,0,0,0,0,0,0,0,0,0,0,0,0,0.198071809799195,0.143451536978114,0,0,0,0.143429432217055,0,0,0,0,0.304538088394317,0,0,0,0.0478292780433333,0.130076050821144,0,-4.33680868994202e-19,0.0972976466707036,0,0,0,0,0,0.128910625294722,0,0,0,-0.12223773069314,0,0,0,0.00413217840758817,0,0
X823.HK.EQUITY,-0.0985287513700779,0,0,0.0711450779046822,0,0,0,0,0,0,0,-0.112415826177251,0,0,0,0.229534269214704,0.0586393409264707,0,-0.139562358708091,0,0,2.71050543121376e-20,0,0,0,0,0,0.0959278894997927,0.0798597532186403,0,0,0.168059583063144,0,0,0,0.0150574105744712,0,0,-0.195155970363746,0.312649636237538,0,0,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.215462537778871,0,0,0,0,0,0.0870559791981375,0.0199635856827262,0,0.121746163428355,-0.0971731818912723,0,0,0.134909205815587,0,0,0,0,0,0.251489598531138,0,0,0,0,0,0,-0.0218562900420617,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.256596478259626
X12.HK.EQUITY,0,0,0,0,0.102750090874628,-0.369236599958336,0,0.488831102216438,0,0,0,0,0,0,0,0,0,0,0.0808117407144809,0,0,-0.236163910344921,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.135649107797258,0.440151066595096,0,0,0,0,0,0,0,0,0,0,0,-0.117963287584846,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224363363135678,-0.224410714207938,0,0,0,0,0,0,0,0,0,-0.019231363999998,0,0,0.0579807446112419,0,0,0,0.0585834065603418,0,0,-6.93889390390723e-18,0.506833340000923,0,0.0863167789500516,0,0,0,0,0,0,0,-0.0327566194356841,0.336466968729263,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270292688666027,0,0,0,0,-0.135008701533494,-0.00970632868234038,0,0,-0.135113352443822,0,0,0,0.131808897513795,0,-0.0337660819374264,0.168452160078954,0,0,0,0,0,0,0,0,0,0.282659036633298,0,0.443943214434061,0,0,0,0.0124039023284096,0,0,0
X601211.CH.EQUITY,0,0,0,0,0.0422214732251508,0,0,0,0,0,0,0,0.0846657084662598,0,0,0,0,0,0,0,0,0.0216583209912597,0,0.0186835771887811,0.251291161728987,0,0.0537244526361143,0,0,0,0,0,0,0,0,0,0.0233115658677959,0,0,0,0.109438474241968,0,0,0,0.132158424398128,0,0.285889234913508,0,0,-0.0086430772207912
X601336.CH.EQUITY,0,0,-0.00490013801237772,0,0,-0.00318397596520964,0,0,0,0,0,0,0.153730503969714,0,0,0,0,0.0771903960086226,0,0,0,0,0,0,0.0605388249454042,0,0,0,0,0,0,0.135628471043436,0,0,0.21094162930408,0,0,0,0.38626053462543,0,0,0,0,0,0,0,0,0,0,0
