,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,VXFXI.INDEX,CN2YR
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0765526316434997,0,0,0,0,0.125568938795458,0,0.189386750306706,-0.0225567276317803,0,0,-0.228878613028895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0703960376505553,0,0,0,0.126005683045355,0,0.719620483585945,0,0,-0.0374623939335664,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0.326953728686415,-0.0850709173073557,-0.16957477455635,0,-0.0289546421567804,0,0,-0.0194895842455265,0,0,0.211852082321638,0,0,0.49992199194461,0,0,-0.0216200923607186,0,0,0,-0.0889569266266348,0,0,0,0.112709168514043,0,0,0,0,0,0,0,0,0,0,0.175468146804192,0,0,0,-0.105352854353189,0,0,0,0,0.0486111944076355,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.332602661464544,0,0,0,0,0,0,0,0,0,0.088363095678609,0,0,0,0.295282375235226,0,0.956134700111134,0,0,0,0,0,-0.65517651640143,0,0.351724634852612,0.0616463069259245,0,0,0,0,0,0,0,0,0,0,-0.00880237221113167
X001979.CH.EQUITY,0,0,0,0,0,0,0.0983375810590231,0,0,0,0,0,0,0.0814361535144705,0.263856779006904,0,0.0490659176393068,0.186958310909498,0,0,0,0,0,0.0845403851032365,0.159953615888437,0,0,0,0.038731606778852,0,0,0.0133381192651046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.338707783051556,0.190021497954969,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0.0451156293073134,-0.19186290257343,0,0.344282811927568,0,0,0,0,0.16927545731506,-0.157303152276373,0,0.135332728729942,0.0104482426673624,0,0,0,0.0491994929096168,0,0,0,0,0.306264355925188,0,0,0,0,0,0,0,-0.194448933822128,0,0,-0.144051026757297,0,0,0,0,0,0,0.331539441665659,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0.0673269125296096,0.0323790455176661,0,0,0,0,0,0.209571079802838,0.0261381556858538,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332750307581748,0,0,0,0,0,0,0,0.309816393340817,0,0,0,0.198888276420105,0,0,0,0.0384751612116931,0,0,0,0.11135099383631,0,0.124292304071287,0,0,0
X823.HK.EQUITY,0,0,0,0,0.166364266709634,0,0,0,0,0,0,0,-0.0633299752508577,0,0,0,0,0,0,0,0.22996843829004,0,0,0,0,0,-0.0664945889707536,0,0,0,-0.213248051859309,0,0,0,0,0,0,0.12278639455078,0,0,0.231422756761097,0,0,0,0,0,0,0,0,0,-0.0757321098139516,-0.139962259871317,-0.129922976315804
X601169.CH.EQUITY,0.0290709057184629,0,0,0,0.0192740150708765,0,0,0,0,0,0.0935802124161852,0.00287311209770044,0,0,-0.0385336685041179,0.1104248342515,0,0,0,0,-0.0144463484978159,0,0.197625330661606,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.0295763678531447,0,0,0,0,0,0,0.019139968880597,0,0,0,0,0,0.296704794164967,0.160214132823419,-0.0129110113593937,0,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294085644273033,0,0,0.0887415788139939,0,0,-0.338809784255342,0,0,0,0,0,0,0,0,0,0,0.0589377839996904,0,0,0,0,0.00422961681417429,0,0.257934350152305,0,0.193552272240151,0.49469766643042,0,0,0,0,0,-0.0689764205993441,0,0,0,0,0,0
X600918.CH.Equity,0,0,0.003916494069401,0,0,0,0,0,0,0.0894263709047677,0,0,0.206353605650216,0,0,0,0,0,0,0,0,0,0,0.391026855005338,0,0,0,0,0,-0.0998532596268566,0,0,0,-0.0440823580822027,0,0,0.228198956410232,0,0,0.181423773240179,0,0,0,0,0,0,0,0,0,0,-0.0246594160502834,0,0
FXI.US.EQUITY,-0.0926890363324482,0,0,-0.114634244207515,0,0,-0.210316885042708,0.0308567773621493,0.15235428441843,0,0,0,0,0.189192445703247,-3.46944695195361e-18,0,-0.257956087260736,0,0,0,0,0,0,0.218860043961174,0.352493016687934,0,0,0.17679354522339,0,0,0.173975523913327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.548255024058546,0
VXFXI.INDEX,0,0,0,-0.1425868491283,0,0,0,0,0,0.0645567620949663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133506506210318,0,0,-0.496672896104485,0,0,0,0,0,0,0,0,0,0,0.101396033988147,0,0,-0.0104738833258989,-0.239169095197838,0,0.0765762602717197,0,0,-0.518355339269306,0.352327885015258,-0.418035491755307,0,0
CN2YR,0,0.125599776967022,0,0,-0.0985083021593427,0,0,0,0,0,0,0,0,0.125448027783488,-0.109603982372892,-0.397990431792972,0.271242712953038,0,0,0,4.33680868994202e-19,0,0,0.136660980129524,0.486098251055048,0,0,0,-0.0279140950272495,0,0,0.167678795498665,0,0,0,0,0,0.267871465480818,0,0,-0.239244278189298,0,0,0.106191068514089,0,0,-0.118793974844294,0,0,0,0,0.0914883955244544,0
