,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.120726214332686,0,0,0,0,0,0,0,0,0,0,0.321797426768317,0,0.35452244732942,0,0,0.147392792524569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169645067783488,0,0,0,0.190331103978454
X5.HK.EQUITY,0,0,0.166105009209623,0,0,0,0,0,0,0,0,0.239633918349791,0.00374706894735535,0,0,0.0191112836514038,0,0,0,0,0.87500650434792,0,0,0,0,0,0,0,0,0,-0.00824531854994033,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,-0.282777281425691,0.118395338683422,0,0,0
X2884.TT.EQUITY,0,0,0.081270436005879,0,0,0,0,0,0,0,0,0.216048819419929,0,0,0,0,0,0,0,0,-0.199473701881208,0,0,0,0.0485413069579024,0,0.135002548961706,0,0.12098858289147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.230025922057768,0,0,0,0.230005408991324,0,0
X2886.TT.EQUITY,0,-0.0156397778286973,0,0,0,0,0,0,-0.0403927406459751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.478322428245564,0,-0.130781139785516,0,0,0,0,0,0,0,0,0,0,0,0.0779143813012306,-0.248102722788824,0,0,0.0291800040487767,0.226649291987138,0,0,0.127241792006384,0.132359490033223,0
X2891.TT.EQUITY,0,0.0390860058065023,0.0733065653689759,0,-3.46944695195361e-18,0,0,0,0,0.0700419730493727,0,0,0,0,0,0.402879665693083,0,0,0,0,0,0,0,0.0738456952407415,0,0,0.395639457302041,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.010282862068519,0,0,0.00986904751790292,0,0,0.12695647089679,0,0,0.0417786735136581,0,0,-0.209810211673147
X2892.TT.EQUITY,0,0,0,0,0,0,-0.0216359515889773,0,0,0,0,0,0,-0.0538353445290359,0,0,-0.120484210184975,0,0,0,0,0.330545731151953,0,0.339132075723474,0.11569806340871,0.142919425681812,0,0,0,0.184811840617827,0,0,0,0,0,0,0,0,-0.0547108318588902,0,0,0,0,0.0193720363327068,0.0260932129750451,0.122559380677673,0.106806898936955,0.0192946203958308,0,0
X000166.CH.EQUITY,0,0,0,0,0.0839839413289515,0,0,0,0,0,0,0,0,0,-0.0410502834540954,0.0449993948041692,0,0,0,0,0,0,0,0,0,0,0,0,0.132890609484441,0.379628170180976,0.0355586966052137,0,0.0347838231355859,0.149067297553141,0.124689990132734,0,0,0,0,0,0,0,0.0506168440932154,0,0,0,0,0,0.0516437112792969,0.085402596340632
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11108753405066,0,0,0,0.10693194545794,0,0.00303839977755878,0.103351632256338,0.342767359072681,0.116753006512231,0,0,0,0.0590432068563972,0,0.0150219820740742,0.194764738248604,0,0,0,0,0,0,0,-0.059693570905647,0,0
X002736.CH.EQUITY,0,8.67361737988404e-19,0,0,0,0,0,0,0.174750575767579,0,0,0,0,-0.0459254115510158,-0.0268416731595118,0,0,0,0,0.112973209032827,0,0,0,0,0,0,0,0.44641746162191,0,0,0,0,0.0195026986432946,0.31403977958525,0,0,0,0.0240968421839705,0,0,0,0,0,0,0,0,-0.0551577558070002,0,0,0.224526835112591
X300059.CH.EQUITY,0,0.0468882452523334,0,0,0,0,0,0.0365545176440834,0,0,0,0,0,-0.0925182893472716,0,0,0,0,0,-0.0701312072453847,0,0,0,0,0,0,0,0.0944430470523027,0.495451491456579,0,0,0.022482479270819,0,0.164766470281388,0,0.169831293849642,0,0,0,0,0,0,0.135785235712919,0,0,0,-0.163377115781483,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516292762032518,0,0,0,0,0,0,0,0,0,0.0959630705613681,0.156227641138564,0.021543972085274,0,0,0,0.0200581092063529,0,0,0.356789900483078,0.0935213124248225,0.123891969992623,0,-6.93889390390723e-18,0,0.0306954328318017,0,0,0,0,0.0823294921047424,0,0
X600837.CH.EQUITY,0,-0.0485669967616024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0201477098765781,0,0,0,0,0,0,0,0,-0.156230766587271,0,0.273290614654636,0,0,0,0.128540776975604,0,0.0221067480355483,0,0.0394659280374765,0.218257414779556,0,0.197219199246644,0,0,0,0,0,0,0,0,0,0,0
X600958.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126241855112329,0,0,0,0,0,0,0,0,0.192995672181496,0,0,0.00344255090307856,0,0.119285102653707,0,0.211017555123652,0,0,0.377158810526715,0.0248421068532958,0,0,0,0.121705124330262,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,-0.0506419722333378,0,0,0.279851612047568,0,0,0,-0.0216281726883262,0,0,0,0,0,-0.0925866580671693,0,0,-0.032909366646655,0,0,0,0,0,-0.121676927229432,0.0643141365510191,0,-0.0851530735980235,0,0,0,0,0,0,0.117658611597179,0,0,0.692896127384546,-0.159501084514568,0,-0.0755733420827449,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0.0267429607075823,0,0,0.0329956899650869,0,0,0,0,0.0335729173699065,0,0.092716792740536,0,0,0,0,0,0,0,0,0,0,-0.342983511160726,0,0,0,0,0,0,0,0,0.217164396526552,0,0.296337653760297,0,0,0,0,0.0573276069392359,0.161960491525365,0,0,0,0,0,0,0,0,0,0.0149320535136687,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.0631248033908073,0,0,0,0,0.223873378441281,0.115481579823078,0.0485531058355699,0,0.382665779597082,0,0,0.0481690351476191,0.205018248631091,0,0,0,0,0,0,0,0,0.0909135515506031,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0608446542203596,0,-0.413280224853881,0,0,0,0,0,0.0635886391096087,0,0,0,0,0,0.214872786315466,0,0.4634603608776,0,0,0,0,0.146767054715236,0,0.301131734406129,0,0,0,0,0,-0.382493560690565,0,0,0.0416075059973716,0,0
X601881.CH.EQUITY,0.09971575751236,0,0,0,0,0.0304390383694162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010705934631598,0,0,0,0.13053561975322,0.065580055273755,0,0.173693927043124,0.379799211600401,0,0,0,0,0,0.0354298897950065,0,0,0,0,0,0,0,0.167163161143737,0,0.0561590912564671,0,-0.0887927648223735
X388.HK.EQUITY,0,0,0,0,0,0,0.316631609949059,0,0,0,0,0,0,0,0,0.136248474123588,0,0,0,0,0,0,0,0,0.12435433062516,0,-0.092634865366824,0,0.0532624801433966,0,0.166076519269496,0,-0.447178493563645,0,0,-0.0108682301501799,0,0,0,0,0,-0.0418687094373798,0,0,0,0.502543366103028,0,0,-0.0225287465764171,0.209284618172102
X601318.CH.EQUITY,0,0.147593551138346,0.229154200617794,0,0,0,0,0,0,0.262976124903244,-0.278202613853069,0,0,0,0,0,0,-0.117590115125557,0,0,0,0,0,0,0,0.104373027391126,0,0,0,-0.103737016484249,0,0,0,0,0.199857858681125,0,0,0.00234476500506251,0,0,0,0,0,0.010280379635235,0.359554306823382,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0.0431142847534156,0,0,0.0675941378593993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0216739529317411,0,0,0,0.159890104071829,0.119096793033139,0,0,0,0,0,0.0164345719669022,0,0,0.0945130642381877,0,0,0,0,0,0,0,0,0,0,-0.202605287153659
X601336.CH.EQUITY,0,0.17490243768985,0,0.0460874201971886,0,0,0,0,0,0.138590392752359,0,0,0,-0.011281422729783,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527278836346256,0,0,0.256948927492426,0,0,0.171913851657382,0,0,0,0,0,0,0,0,0,0,0,-0.123761265765662,0.446144426517825,0,-0.137425932892183,0.270482456661454
X601601.CH.EQUITY,0.0708443757588707,0,0,0,0,0,0,0,0.178354313928072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.124975984893741,0,-0.0140019663902608,0.0822259709961419,0,0,0,0,0,0,0,0,0,0.0304380970746148,0.0310072130575365,0.216305303213374,0.0420766268436711,0,0,0,0,0.410543846066416,0,0,0,0.221974726113098,0
X601628.CH.EQUITY,-0.0506860927262114,0,0,0,0,0,0,0,0.0234220522141654,0,0,0,0,0.062323762583639,0,0,0,0,0,0,-0.131710264105182,0,0,0.13320869717965,0,-0.130678508418231,0,-0.140540642793285,0,0,0,0,0,0,0,0.0325599205025198,0,0,0,0,0.393441721087163,0,0,0,0,0,0,0.135108623119157,0,0
X1299.HK.EQUITY,-0.198275081339831,0,-0.0100478071520357,0,0,0.153126829385163,-0.0375023105776469,0,0.0934263995298069,0,0,0,0,0,0,0,0,0,0,0,0.286635015688583,0,0,0.102162260444376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519381962710948,0.37661720486022,0,0,0,0,0,0,0,0,0.0867727804754885,0
X2881.TT.EQUITY,-0.299544635922774,0,0,0.187876360560367,0,0,0,0.0678259612237074,0,0,-0.0207302207654306,0,0,0.0324136262780915,0,0,0,0,0,0.162767924342577,0.00966770328442883,0,0,0,0,0.221516304714804,0.242885560350617,0,0,-0.295431324855205,0,0,0,0,0,0,0,0,0,0,0,0,0.287896457443854,-0.10163251802439,0,0,0,0.45554617006362,0,0
X2882.TT.EQUITY,0,0,0,0,0,0.0240437135791503,0,0,0,0,0,0,0,-0.134141886532445,0,0,-1.73472347597681e-18,0,-0.123202599960234,0,0,0,0,0.0309754752674672,0,0,0,0,0,0,0,5.42101086242752e-20,0.0532299826257155,0,0,0,0,0,0,0,0,0,0,0,0,0.140915125275163,0.538177214461735,0,0,-0.132618707762863
X267.HK.EQUITY,0.120794476788955,0.025895747910465,0,0,0,0,0,0,0,0,0,0,0,0,0.156414884522232,0,0,0,0,0.109016627464407,0.45840789741935,0,0,0,3.46944695195361e-18,0,0.021424198496975,0,0,0,0,0,0,0,0,-0.0181923489160041,-0.15301944913425,0,0,0,0,0,0,0,0.151862637419458,0.352267213283316,0.207242914169983,0,0,0
macro_return_add,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0573165268509647,-0.337976652908232,0,0,0,0.0525226021008596,0,0.183898547743726,0,0,0,0.180268762995446,0,0,0,0,-0.272666458029914,0.0766200915379387,0,-0.391395908410215,0.0855152164561557,0,0.119083323870818,0,0,0,-0.277694187809075,0
