,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,macro_return_add
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142276504011689,0,0,0,0.201579577132275,0,0,0.278897165013468,0,0,0,0,0,0,0,-0.0253164656743086,0,-0.0846285256727158,0,0,0,0,0,0,0,0.133614795808253,0,0,-0.46967255210115,0,0,0,-1.38777878078145e-17,0.0336973088609934,0.28362039658601,-0.0221553716919364
X5.HK.EQUITY,0,-0.00467466139891164,0,0,0,0,0,0,-0.00674587870775321,-0.0168367741102052,0,0,0,0,0,0,0,0,0,0,0.408899917414957,0,0,0,0,0,0,0,-0.0495135318414175,0,-2.16840434497101e-19,0,0,0,0,0,0,0,-0.118346450584565,0,0,0.22659600681556,0,0,0,0,0,0.101886452459828,0.271266422233516,0.208759709584134,-0.0146312521183042
X2884.TT.EQUITY,0,0.0169533753320627,0,-0.229143472823267,0,0.430006158650512,0.0124596596714376,0,0,0,0,0,0,0,0,0,-0.123969448768453,0,0,0,0,0,0,0,0,0.472922827766765,0,0,0.0514489852874203,0,0,0,0,0,0,0,0,0,0,0,0,0.0116424569161213,0,0,0,0,0,-1.38777878078145e-17,0.217425514929646,0,0.0553135798706682
X2886.TT.EQUITY,0,0.154889460218589,0,0,0,0.124696552155107,-0.100825040431888,-0.140719401586382,0,0,0,0,0,0,0,0,0,0,0,0,0.140322652400885,0,0,0,0,0.294857027284743,0,0,0,0,0,0,0,0.0251611346208033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0836239322277888
X2891.TT.EQUITY,0,0,0,0,0,0,0,0,0.10406065592513,0,0,0,0,0,0,0,0,0,0,0,0.0755214614775545,0,0,0.243686729631921,0.14408294174169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079834229607472,0,0,0,0,0,0,0.148720509877977,0.183128129996281,0.115916347277949,0
X000166.CH.EQUITY,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120718815187206,0,0,0,0,0,0.0660375574265119,0,0,0.246522776352879,0.288524856730113,0,0.110483425915473,0,0,0.0798726165667307,0.116718686341933,0.203211077834399,0,0,0,0,0,0,0.083340513348668,0,0,8.67361737988404e-19,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0283587307741368,0.0557920852536731,0,0.0618872388614594,0,0,0,0,0,0,0.203929523269492,0,0,0,0,0,0,0.129008173287202,0,0,0,0,0.312243932631611,0,0,0,0.0470502592369775,0,0.0675220636627945,0,0.115901358296614,-0.0514528671829849,0,0,0,0,0.111412044558007,0,0,0,0,0
X002736.CH.EQUITY,0,0.0176490635337555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646289789072607,-0.0477401371452403,0,0,0.0172264565361344,0,0.12931149154286,0.18175394905986,0,0,0,0,0,0.0203376396486292,0.163287085727047,0,0,0,0,0.0754062746216651,0.120614502432364,0,0,0,0,0,0.0470971572173396,0,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0476973122611926,0,0,0,0,0,0,0,0,0,-0.0477063038096944,0,0,0,0,0,0,0,0,0,0,0,0.190336871928624,0.0137696826315464,0.129546718565748,0,0.48516196421819,0,0.0210009823058006,0,0,0,0.0379359201667948,0,0,0,0,-0.00240516544694434
X600030.CH.EQUITY,0,0,0.0332699193904869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230150157063918,0.0663795771603803,0,0,0,0.448330639810305,0,0,0,0,0.0592550099132529,0.183230248988076,0,0,0.134326543963196,0,0,0,-0.0314031674972696,0,0.0566410196923349,0,-0.0343391280216637
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0637010270869036,0,0,0,0,0,0,0,0.0138906267768814,0.134073545842716,0,0.0253489262832616,0,0,0.37459620098126,0,0.0177361976460662,0,0.148149303816241,0,0,0,0.127338469754467,0,0.0401323902568888,0,0,0,-0.00395722715241477,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506776705086582,0,0.0295677201217189,0.0975572627288138,0,0,0,0,0.0940774582928499,0,0,0.31885082525384,0,0,0,0,0,0,0,0.0851672283074909,0.222189014390988,0.00667333576513725,-0.0528717057625339,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,-0.0171543814423872,0,0,0,0,0,0,0,0,0.0555314913388235,0,0,0,0,0,0,0,0.0456844598788643,0,0,0,0.184599954240539,0,0.527815172609699,0.0160425654276979,0,0,0,0,0.0212425295853455,0,0,0.138808730069559,0.03334458121723,0,-0.0898025099649085,0,-0.0859194664738083,0,0.0113561478826701,-0.042900306405851,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0.00202368197765959,0,0,0,0,0,0,0,0,0.13247139237474,0,0,0.0421660450076168,0,0.0261808593095732,-0.182981936284374,0,0,0,0,0,0,0,0.23407397872698,0,0,0,0,0,0,0,0.121907129480709,0.352665458468058,0,0,0,0,0.0697190858827321,0,0,0.130056729601889,0,0,0,0,-0.0521558591349747
X601688.CH.EQUITY,0,0,0.0418535704034147,0.0478681841433201,0,0,0,0,0,0,0,0,0,0,0.0395357112658709,0,0,0.0661042713046252,0,0,0,0,0,0,0,0,0.22827615228091,0.314567192399414,0,0.146061056289471,0,0,0,0,0.0885877092099195,0,0.0397437531724331,0,0,1.38777878078145e-17,0,0,0,0.0328758968730941,0,0,0,0,0,0,0
X601788.CH.EQUITY,0,0.052413222914935,0,0,0,0,0,-0.156112143860369,0.0552323060915348,0.221774551767865,0,0.107805375565395,0,0,0,0.0288545005503503,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137506801991923,0,0,0.267886615048492,-0.0228612978544126,0,0.425977037789163,0,0,0,0,0.0405509158550706,0,0,0,-0.124818579000923,0,0,0,-0.231296436618154,0,-0.00449743797700918
