,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X1109.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X267.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,VXFXI.INDEX,CN2YR
X601066.CH.EQUITY,0,0,0,0,0,0,0,0.0257548428147544,0,0,0,0.661084104370049,0,0,0,0.0263953705149427,0,0,0,-0.0116356926861688,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0846648606723845,0,0.1668806234787,0,0,0,0.00269267834826714,0,0,0,0,0,0,-0.0226604353221082,0
X601166.CH.EQUITY,0,0,0,0,0,0.0998780118541629,0.22229655955164,0.0378038796743872,0,0,0.0441166087995046,0,0,0,0,0,0.0404213670755343,0,0,0,0,0.0725260257145875,0,0,0,0,0,0,0,0,0,0,0.127920080515083,0,0.00882094502328211,0,0,0.0415424328117854,0.00797285500691473,0,0,0,0,0,0,0,-0.0295471862866487,0,0,0.405401734292798,0,0
X601328.CH.EQUITY,0,0,0,0.0463266306792948,0,0.112021473427375,0.0205383902755449,0,0,0,0,0,0,0,0,0,0.0289585246736088,0,0,0,0,0.373196275656208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250132281962761,0,0,0,0,0,0,0
X000002.CH.EQUITY,0,0,0.275683516000259,0,-0.0635469565815267,0,0,0,0.0747720939767143,0,0,0,0.139672340130447,0.047179148367651,0,0,0,0,0,0,0.112772752189323,0,0,0,0,0,0,-0.151354323575762,0,0,0,0,0,0,-0.021495988192957,0.142073065361681,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134600169846091,0,0
X600000.CH.EQUITY,0,0,0.406580508879871,0.0235288783889141,0,0,0,0,0,-0.107677035958798,0,0,0,0,0,0,0,0,0,0,0.156223523447907,0,0,0.1253154612083,0,0,0.00389801742537249,0,0,-0.199729702334956,0,0,0.0280398486836702,0,0.339797362000856,0,0,0,0,0,0.596654856346815,0,0,0,0,0,0,0,0.111730618019304,0,0,0.165340523477077
X000001.CH.EQUITY,0,0,0,0,0,0.384703465224769,0,0,0,0,0,0,0.00946441951017262,0,0,0,0.0358995775602068,0,0,0,0,0.0190374516686904,0,0,0,0,0,0,0,0,0.0773629158431367,0,0,0,0,0,0,0,0,0.250263260937618,0,0,0,0.123271269159231,0.0286473523116376,0,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0.165728098716447,0,0,0,-0.0843696502484353,0,0,0,0,0,0,0,0.257432274993254,0,0,0,0.209293558706543,0,0,0,1.73472347597681e-18,-0.0629177526578094,0,0,0,0,0,0,0,0,0,0,0,0.0924064101515314,0,0,0,0,0.0761993015077305,-0.00560503308745553,0,0,0,0,0.148160383769833,0,0,-0.0740849057582003,0
X601601.CH.EQUITY,0,0,0,0,0.371884405093691,0.0998594863921236,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.295036880053735,0,0,0,0.0664534228401935,0,0,0,0,0.0569637283475315,0.0815381766711086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.337276777574606,0,0,-0.182468831445501,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0.25484111793628,0,-0.0291764654363773,0,0,0,0,0,0,0.0137106359112126,0,0,0,0,0,0.0974958930906258,0,0,0,0.0578279051975345,0.0304472663697028,0,0,0.0640553863689874,0,0,0,0,0,0,0,0.0544504669198638,0,0,0,0.445437832654153,0,0,0,-0.0692231094620724,0,0,0,0,0.0374029843463437
X600016.CH.EQUITY,0,0,0,0.030629994612265,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.105790551198312,0.110562993863679,0,0,0,0,0,0,0,0,0,0,0,0.134897139480412,0,0.211711973250389,0,0.0137436776784514,0,0.0136312929263103,0,0.0872109812339985,0,0,0,0,-0.0619072450819972,0,0,0,-0.0742063014304726,0.0525270883639562,0,0,0.192166754592966,-0.0224608256176451,0,0,-0.00186511118985026
X688.HK.EQUITY,0.335498142760148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0937181803708196,0.415646596237375,0,0,0,0.360390671356547,0.00987595422819714,-0.0197013103869719,0,0,0,0,0,0,0,0,0,0,-0.176821300674917,0,0,0,0,0,0,0,0,0,0,0,0,-0.0280135277682782,-0.0515865388487906
X601998.CH.EQUITY,0.2303183041275,0,0,0,0,0,0,0,0,0,0,0,0,0.0310883635099785,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238108785190775,0,0,0,0,0,0,0,0,0,0,0,0,0.132443385319567,0,0.506932539811422,-0.130510081299202,0
X1109.HK.EQUITY,0,0,0,0,0,0.174954201869976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421667370642683,0,0,-0.0825771407290615,0,0,0,0,0,0.153822105593022,0,0,0,0,0,0,0,0,0,0,0.26370108537451,0,0,0,0,0,-0.0383559990593022,0.0400406968830101,0,0
X300059.CH.EQUITY,-0.0157698628408196,0,0,0.129440769637858,-0.0411513509352912,-0.136170420649283,0,-0.00759651826974303,0,0.22739111826271,0,0,0,0,0,0,0,-0.155287642502714,0,0,0,0,0,0,-0.0501825305839717,0,0,0,0,-0.0332460057012836,0,0.0891069809538354,4.33680868994202e-19,0.791266521194303,0,0,0,0,0,0.0671839361435933,0,0,0,0,0,0,0.0630543714952728,0,0,0,0.12968428443352,0.0356454698220242
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0.104622112763255,0,0,0,0,0,0,0,0,0,0,0,0.24645161966306,0,0,0,0,0,0,0.243888337702397,0,0,0,0.101598195429503,0,0,0,0,0,0,0.12579977036485,0,-0.0249186800207038,0,0,0,0.0061070355289647,0.372072087506634,0,0,0,0,0,0
X11.HK.EQUITY,-0.00174923432987125,0,0,0,0,0,0,0.0722762285929746,0.427109590460593,0,0,0.0919370606346443,0,0,0,0,0,0,0,0.0384152498988025,0.0267744677280698,0,0.0520965784372146,-0.187775737314193,0,0,0.191898572168566,0,0,0,0.0772006414096849,0,-0.0203325712853461,0,0,0.0278695353314923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0160423134637511
X002142.CH.EQUITY,0,0,0,0,0,0.419330833398097,0,-0.287086866332988,0,0.251808862513149,0,0,0.143685735521413,0,0,0,0,0.0184213043002864,0,0,0,0.179414354721311,0,0,0,0,0,0,0,0,0.0866247840976914,-0.213429754235755,0,0,0,0,0,0.360755896885244,0,0,0,-0.242869130999003,0,0,0,0,0,0,0.271611018766713,0,0,0
X2007.HK.EQUITY,0,0,0,0,0,0.169753304776399,0,0,0,0.000286517175800232,0,0,0.0499082332676056,0,0,0,0,0,0,0,0.0685966981926071,0,0.0277018098020175,0,0.356745936752826,0,0,0,0,0,0,0.0634724436717976,0,0,0,0,0,0,0,0,0,0,0,0,0.0714951956366385,0.171388279289086,0,0,-0.0329178182293495,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0.077671974009156,0,0,0.00804841561882543,0,0,0,0.0336075380246739,0.741075048612779,0,0,0,0,0.0945559096798301,0,0,0,-0.0303942940830562,0,0,0.0487888557275406,0.104961644368564,0,0,0,0,0,0,0,0,0,-0.144133128566544,0,0,0,0,-0.00306126529257878,0,-0.0150309457817414,0,0,0,0,0,0
X267.HK.EQUITY,0,0.106228270413969,0,0,0,0,0,0,0,0.179461682319707,0,0,0.101895053723869,0,0,0,0,0,0,0,0.0302922903880114,0,0.0990373874644362,0,0,0,0,0,0,0,0,0,0.164908276709687,0,0,0.0211845154739508,0,0,0,0,0,0,0,0,0,0.263921895839451,0,0,0,0,-0.0586658722965032,0
X601818.CH.EQUITY,0,0,0.104467012094061,0.0344837864707835,0,0,0.11596359162654,0,0,0,0,0,0,0,0,0,0.0697141405754389,0,0.235666510977571,0,0,0,0,0,0,0.0365608704607057,0,0,0,0,0,0.157615260382065,0,0,0,0,0,0,0,0,0,0.0136620534145264,0,0,0,0,0.00129017761676815,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0.015866719088917,0,0,0,0.245389321094776,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.128703943189854,0,0,0,0.0299836622678474,0,0,0,0,0,0.187302183646144,0.186585855959875,0,0.101243346796702,0,0,0,0,0,0.00964253661710753,0,0,0.146609245194595,0,0,-0.00936072426998488,0
