,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X000001.CH.EQUITY,X600000.CH.EQUITY,X601601.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X2388.HK.EQUITY,X688.HK.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X267.HK.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601336.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X2881.TT.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,VXFXI.INDEX,CN2YR
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.226929789385198,0,0,0,0,0,0,0,0,0.0154480827367406,0,0,0,0,0.0177452453193494,0.00740901027821846,0.151395682488532,0,0,0,0,0,0,0,0.232841232979865,0,0.136431637610966,0.0723826973098597,0,0,0,0,0,0.000204225700841002,0,0.137974224098853,0,0,0,0,0
X600999.CH.EQUITY,0,-0.00054145975402563,0,0,0,0,0,0,-0.0131744661231655,-0.00454696233380562,0,0,0.145456571522474,0,-0.262478110162572,0,0,0,0,0,0.017951687024012,0,0,0,0,0,0,0.0601906070377062,0,0,0,0,0,0,0,0.495280345974282,0,0.0784545033951831,0.0194840529162913,0,0,0,0,0,0,0,0,0,0,0,0.120598906293348,0
X600837.CH.EQUITY,0,0,0,0.0318443195882325,0,0,0,0,0,0,0,0.274593808416825,0,0,0,0,0,0,0.0196492880125148,0,0.0419142813551542,0,0,0,0,0,0,0.055514773940206,0,0,0,0,0,0.423160587002209,0.0379678796126528,0,0,0,0.0112314388388805,-0.031877727378663,0,0,0,0,0,0.010047052272098,0,0,0,0.113309766359936,0,0.0093137596651503
X601336.CH.EQUITY,0,0.19513870765859,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.305051384765362,0,0,0,-0.0686943309965694,0,0,0,0,0.00869807681678216,0,0,0,0,0,0.254930599782738,0,0,0,0,0.0828315245683387,0,0.0187370984172465,0,0.0108696534644161,0,0,0,0,0,0,0.0921690854730159,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0.0748652646427909,0.0506726414723602,0,0,0,0,0,0,0,0,0,0,0,0.283907112874427,4.33680868994202e-19,0,0,0,0,0,-0.139155048625004,0.100150650783534,0.0437230024481301,0,0,0,0,0.232235447960875,0.119319608794867,0,0,0,0,0.0658995887720784,0,0,0,0,0,0,0,0,0,0.064710793513823,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0.546243770097391,0,0,0,-0.053132410153492,0,0,0,0,0,0,0,0.0220196831037299,0,0.0526441094505314,0,0.0319572389656714,0.0326010747239349,0,0,0,-0.145023619422735,0,0,0,0.191297681566502,0.145115919064204,0,0.154610618059521,0,0,-0.166888644037744,0,0,0,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0.0482981812946942,0,0,0,0,0,0,0.0744791073777512,0.138914753463629,0,0,0.0393014356609215,0.00844273450320244,0,0,0,0,0,0,0,0,0,0,0,0,0.0495640550586367,0,0,0,0,0.132116803682659,0,0,0,0,0,0,0,0.175328460872848,0,0,0,0.0476158243423008,0.0547185236778426,0.110690136468499,0,0,0
X001979.CH.EQUITY,0,0,0,0,-0.0158697176320001,0,0,0,0.00459881022202825,-0.0705440874363797,0,0,0,0,0,0.0465932547598288,0,0.728035539059693,0,0,0,0,-0.0357013009092714,0,-0.0697527976785729,0,0.0593601815109909,0,0,-0.0312446406380262,0,0,-0.0287904853877716,0,0,0,-0.0387002978092103,0,0,0,0,0,0,0,0,0,0,0,0.168717706777421,0,-0.0385063078566604,0
X12.HK.EQUITY,0,0,0,0,0,0,0.0802421428409007,0.0574512796675328,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0.566672632161499,0,0,0,0,0.0474633985081146,0.245903952165494,0,0,0,0.2285251348131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15352464242835,0,0.0439423683086854,0,0,0.0136232185693153,0
X000166.CH.EQUITY,0,0,0.0517089785907605,0,-2.16840434497101e-19,0,0,0.111126548237192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177408996224168,0,0,0.0336334408970698,0.247143577827763,0,0.27053480276888,0,0.00262471215796911,0,0,0,0,0,0,0.130939710896642,0,0,0.0565527578009895,0.0287859643689715,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0810172536796196,0,0,0.323377307541519,0,-0.0685082069699128,0,0,0,-0.0548282165906826,0,-0.066650412658368,0,0,0,0,0,0,0,0,0,0.0509153305067448,-0.141170826739106,0,0,0,0,0,0,0.046520885188673,0.00681212886256108,0,0,0,0,0,0,0,0.768840793122003,0,0,-0.0691307302171102,0
X601229.CH.EQUITY,0,0,0,0,0,0.315355557625027,0,0,0.384570587224068,0,0,0,0,0,0.179423231278953,0,0,0,0,0,0,0,-0.0375377272804829,0,0,0,-0.0499402759430003,0,0,0,0,0,-0.136028027714059,0.0567807504902483,0,0,0,0,0,0,0,0,0,-0.0525054434363249,0,0,0,0,0,0,0.0179589544759606,-0.122728344200523
X823.HK.EQUITY,0,0.156786806215092,0,0,0,0.0338153546604056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213223449354453,0,0,0,0.177662643685607,-0.05152328428946,0,-0.0560027997025056,0,0,0.0546239729209902,0,0.173363154925069,0,0,0,0,0,0.21216786997551,0,0,0,0,0,0,0,0,0,0,0,0,-0.0736558007470344
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52721322100022,0,0.137411337451842,0,0,0,0.0505791345781106,0,0,0,0,0,0,0,0.0580315138014138,0.0370071466101288,0.135409329011887,0,2.77555756156289e-17,0,0,0,0,0.116785895417292,0,0,0,0,0,0,0,4.33680868994202e-19,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0.067492821875991,0,0,0,0,0,0,0,0,0,0,0,-0.373170340982872,-0.0112138429069902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0303648682734482,0.144486266684512,0,0,0.328831576184975,0.680092362679387,0,-0.0498250565737822,0,0,0,0,0,-0.112275858521351
X601169.CH.EQUITY,0,0,0,0,0,0,0.705781353956958,0,0,0.0122899461279528,0,0,0,0,0.0940227999200255,0,0,0,0,0,0,0,0.0407596130099946,0.156335133548247,0,0.0299389955912093,0,0,0,-0.00298894329662224,0,0,0,0,0,0,0,0,0,0,0,0.0120064290408787,0,0,0,0,0,0,0,0,-0.00879072349379756,0.0528217725468924
X600918.CH.Equity,-0.0104079158811357,0,0,0,0,0,0,0.0230737591129305,0,0,0,0.147882842932325,0,0,0,0,0,0,0,0,0.0268902486616132,0,0,0,0,0,0,0.0267205113655159,0,-0.196101969883207,0,0.0916935185998836,0,0,0,0.00869039945285454,0,0,0,0,0,0,0.135170107551656,0,0,0,0.548868915837751,0.162262139707801,0,0,0,0.113426591899979
VXFXI.INDEX,0,0,0,0,0,0,0,0,0,-0.0401975709286691,0,0,-0.0194553444914411,0,-0.2572132415859,0,0,0,0,0,0,0,0.0453394199627576,0,0,-0.0194197869019494,0,0,-0.235946926880469,0.000357578515296284,0,0,0.336404565958902,0,0,0,0,0,0,0,0,0,0,0,0.214710748867211,0,0,-0.274791068762696,0,0,0,0.324574452389312
CN2YR,0,0,0,0,0,0,0,0.359372995599164,0,0,0,0,0,0,0,0,0,0,0,0,0.0996437568361416,0,0,0,0,0,0,0,0,-0.316198941330242,0,0,-0.228488507596259,0,-0.157270206207702,0,0.310889708918163,0,0,0,0,0,0,0,0,0,0,0,0.0747525316205131,0.148983874226312,0,0
