,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X601916.CH.Equity,0,0,0,0,0,0,0.0398643729256263,0.11042548419181,0,0,0.0768949598154774,0,0.0683249852366897,0.312003046131547,0.0516531353463359,0,0,0.0163879645725955,0.111331233614416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0409726601832807,0,0,0,0,0.134209540261918
X601601.CH.EQUITY,-0.012199934970863,0,0,0,0,0,0,0.241809830541664,0,0.186175139229924,0,0.122411946415507,-0.255001481630153,0,0,0.154438997169861,0,0,0,0,0,0,0,0.012859278511351,0.0333407507281026,0,0,0,0,0,0,0.100029640206649,0,0,0,0.309022797664639,-0.023661521671136,0,0,0,0,0,0,0,0,0,0.191484962710953,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00619053390535483,0,0,0,0,0,0,0,0,0,0,0.435455163488281,0,0,0.0326652501807236,0,0,0,0,0,0,0,0.184045725898753,0.0777932184194034,0,0,0,0.0128959476787353,0,0,0,0.179820287175805
X601009.CH.EQUITY,0,0,0,0.161291233621273,-0.109497826985268,0,0,0,0,0.401060885044184,0,0.100564527958552,0,0,0,0,0,0,0,0,0.125318563152754,0,0,0.188897974510056,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206719543112555,0,0,0,-0.129242559827554,0,0,0,0,0,0,0,0
X2891.TT.EQUITY,0,0,0,0.0360020784515851,0.0859766712109111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0936123579600616,0,0,0,0.0893886799724057,0,0,0,0,0,0,0.0282287037449318,0,0,0,0.335950125928084,0,0,0,0,0.118630205575535,0.309415351827972,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0.138566886036826,0,-0.110668263209655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333062713996964,0,0,0.0902595400341747,0,0.233352629691868,0,0,0,0,-0.0150781145670329,0,0,0,0,0,0,0.0728419432402395,0.146150166761964,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.352347979141178,-0.119288062917776,0,-6.93889390390723e-18,0,0,0,-0.326583854598539,0,0,0,0,0,0,0,0.31196646611254,0,0,0.221765261574531,-0.164486644803033,0,0,0,0,0,0,0,0.313045784983344,0,0,0,0,0.0954296159182748,0,0,0,0.0984789658999676,0,0,0,0,0,0,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0.00916864186284989,0,0.174068907130578,0,0,0,0,0,0,0,0,0,0,0,0,0.0318034464395532,0,0,0,0,0,0,0.292284453227064,0,0,0.139794607449577,0,0,0,0.270843115162085,0,0,0,0,0.0129449561642313,0.0225503432662843,0,0,-0.0572043933091685,0,0.0883610803105575,0,0,0,0
X601319.CH.EQUITY,0.155016041115065,0,0.0380019868851953,0,0,0,0,0,0,0,0,0,0,0,0.164604308548405,0,0,0,0,0,0,0.0220578526293753,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366257889025281,0,0,0,0,0,0.0399521433424775,0.103778361840272,0,0,0.158703035022941,0.258400207399852,0,0,0
X601077.CH.Equity,0,0,0,0,0,0,0.332980746860411,0,0,0,0.178954709741468,0,0.0182581202726343,0,0.0348074260857537,0,0,0,0.134266455677485,0,0,0.223648326217856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,-2.16840434497101e-19,0.100080242686376,0,0,0,0,0,0,0,0,0,0,0,0.257033242082542,0,0,0,0,0.0236738576870752,0,0,0,0,0,0,0,0,0.00364237823259645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0805974700393807,0.144162345244561,0.270714749032315,0
X601336.CH.EQUITY,0,0,0,0,0,0,0,0.0556800278527873,0,0,0,0,0,0,0,0.107278283640037,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0.51151500019975,0,0,0,0,0,0.0540977749092396,0.231227668710363,0,0,0,0,0,0,0,0,0,0,-0.00715777678930888,0,0,0.0998558811844218,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0792546822301846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101861123787927,0.0638967283555028,0,0,0,0,0,0,0.373292116327879,0.10759081142377,0,0.122217805981957,0,0,0,0,0
X2886.TT.EQUITY,0,0,0,0,0,-0.0351509146586662,0,0,0,0,0,0.0461175993409418,0,0,0,0.0499979032622513,0,0,0,0,0,0,0,0,0,0,0,0,0.143891094425644,0,0.0180731175223818,0,0,0,1.73472347597681e-18,0,0.351750972713452,0,0.0418357299327818,0,0.00407341585624418,0,0,0,0,0,0,0,0,0
X2892.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0904152932526111,0,0,0,0,0,0,0,0,0,0,0.0766510613694429,0,0,0,0,0,0.121053701543178,-6.93889390390723e-18,0,0,0,0,0,0,0.539688006319675,0.101202058545,0,0,0,0,0,0.177545762105769,0,0,0,0,0,0
X601838.CH.EQUITY,0,0,0,0,-0.141205104052383,0,0,0,0.150650869374713,0.165216365512645,0,-0.0692038734602509,0.0537416648687667,0,0,0,0,0,0,-0.087753419210954,0.221765541076947,0,-0.104030754132158,0.0938735642383646,0,0,0,0,0,0.124882480668373,0,0,0,0,0.168339433376499,0,0,0,0,0,0,0.0680588050584296,0,0,0,0.0563747902371755,0,0,0,0
X2888.TT.EQUITY,0,0,0,0,0.193838577872186,0,0,0,0,0,0,-0.0797891221534897,0,0,0,0,0,0,0,0,0.104859751591633,0,0,0,0,0,0.306328542809265,0,0,0,0.111694589473554,-0.137809567787386,0,-0.0556473340287136,0.23009030390634,0,0,-0.0244373954021614,0,0,0,0.122315182609053,0,0.0539496017511029,0.0509575577951261,0,0,-0.100595394968805,0,0
X2880.TT.EQUITY,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115706617764715,0,0,0,0,0,0,0.140498969778884,0,0.298424490336206,0.00938004745041513,0.204282062563073,0,0,0.0519132738806177,0,0.0825817112397127,0,0,0,0
X601577.CH.EQUITY,0,0,0,0,0,0,0.0973645155536151,0,0,0.00974497193297637,0,0,0,0,0.0358004496523449,0,0,0.104263228075216,0,0,0,0.159868497557611,0,0,0,0,0.0128962193255897,0,0,-1.73472347597681e-18,0,0,0.0125896343267122,0.0953642235738451,0,0,0.0575702349627025,0,0,0,0,0,0,0.0637295418411704,0,0,0,0,0,0.450858330613822
X2884.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104778548069416,0,0,0,0,-0.0142011493252863,0,0,0.291802600960595,0,0.145057197796535,0.197294385905314,0,0,0,0.0586156984325825,0,0,0,0,0,0,0,0
X2883.TT.EQUITY,0,0,0,0,0.307003361024965,0,0,0,0,0,0,0.0529724763188201,0,0,0,0,0,0,0,0,0,0,0,0,-0.0495537884520739,0,0,0,0,0.391018022264456,0,0,0,0,0,0,0.112973837631435,0,0,0,0,0,0,0,0,0,0,0,0.164293575865314,0
X601688.CH.EQUITY,0,0,0,0,-0.118879186782012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0336589476007871,0,0.401985892221985,-0.0915888761859199,0.0240087832072382,0,-0.0361290961591765,-0.00673297490245305,0,0.106845456548645,0.0217357735940021,0,0,0,-0.0103372284000709,0,0,0.700726373428677,0,0
X600837.CH.EQUITY,0,0,0,-0.0849161150653788,0,0,0,0.0915082802572186,0,0,0,-0.134642995523427,0,0.29398638941774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335318165619188,0,0,0,0,0,0,0,0,0,0,0,0,0.0249515014700626,0,0.287368083871238,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538259440433218,0,0,0,0.0675511958626565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400075558287322,0.403817388526311,0,0.06785336357735,0
X2885.TT.EQUITY,0,0.0455343180886651,0,0,-0.0237770699907807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279153220369262,0,0,0,0.0842206785554439,0,0,0.285194402840718,0,0,0,-0.149805378307579,0,0,0,0,0,0,0.0452513405623595,0.39502804672393,-0.0454555777318575,0.0578384276678575,0,0,0,0.0557208731525224,0,0,0,0,0
X601997.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205632902159025,0,0,0.305343188668626,0.0873036939282971,0,0.113482312559909,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0.176928500825693,0,0,0.16243374582641,0,0,0,0
