,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X688.HK.EQUITY,X600999.CH.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X1113.HK.EQUITY,X2882.TT.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X600918.CH.Equity,X2881.TT.EQUITY
X16.HK.EQUITY,0,0,0,0,0,0.227879940681541,0.332121119943044,0,0,-0.0666993177808614,0,0,0,0,0,0,-0.115104981876258,0,0,0,0,-0.0677531337365617,0,0,0,0,0,0,0,-0.25285540407875,0,0.263845029098001,-0.258471818769597,0,0,0,0,0.114363878055647,0,0,0.0156519870094818,0.124212533884058,-0.279125571068065,0.222687930288072,0,0,0.243717406787776,0,0,0
X600016.CH.EQUITY,0,0,0,0.0966279554292783,0,0,0.053809932081667,-0.0539502985597472,0.0175911303867802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268795597652988,0,0.084695468285749,0,0,0,0,0.326787180535896,0,0.108833000930874,0,0,0,0,0,0.0628929601645448,0,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0.299151131855205,0,0,0,0,0,0,0,0.124358737544323,0,0,-0.0818830913166633,1.73472347597681e-18,0.133888068546653,0.1059778985869,0,0.081690335143891,0,0,0,0,-0.0322177792419275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416924497421502,0.0897032918910012,0,0,-0.0809270661116941,0,0,0
X300059.CH.EQUITY,0,0,0,0.107187550585981,0,0,0,0,0,0,0,0,0,0,-0.0489182445067879,-0.0261571860634513,0,0,0,0,-0.000179353634497366,0,0,0,0,0,0,0,0,0,0,0,0,0.183688157739187,0,0,0,0,0,0.0298287456241477,0,0,0,0.0201629364804198,0,0,-0.0363236898956227,0,0.559169033058418,0
X002142.CH.EQUITY,0,0,0,0.090970105881821,0,0.673167155704658,0.179863081753903,-0.173977266928558,0,0,0.0924950945593916,0,0,0.125187109867999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229012667815604,0,0,0,0,0,0,-0.24650074165709,0.0680768053466889,0,0,0,0,0,0,-0.133134121261592,0,0,0,0
X1109.HK.EQUITY,-0.0136644136715174,0,0,0.179211298814396,0,0,0,0.0894713902317236,0,0,0,0,0,0,0,0,0,0.116692392430494,0,0,0.219363180394107,0,0,0,0,0,0,0,0,0.0667609445444425,-8.67361737988404e-19,0.0707138231559306,0,0,0,0,0,0.131729201824432,0,0,0,0,0,0,0,0,0,0,0,-0.0763233152334779
X2388.HK.EQUITY,0,0,0.0666814861005548,0,0,-0.070747477536509,0,0,0.315190218272616,0.127759914895644,0.20976585615946,0,-0.119404085456025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.217584767614695,0,-0.160797318073205,0,0,0,-0.342505920019656,0,0,0.230372557682915,0,0,0.143382124532219,0,0,0,0.0649910816908416,0,0,0,0,0.0274361764110054
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0.457848386497824,0,-0.102241664403804,0,0,0.165404538065679,0.00662378925674196,0,0.102075915881073,0,0,-0.0356110816506707,0,0,0,0,0,0.0355738405143474,0.379277949827253,0,0,0,0,0,0,0,-0.179592756268438,0,0,0,0,0,0,0,0,0,0,0.132083163579959,0,0,0,0
X601818.CH.EQUITY,0.0382714542368113,0,0,0,0.123787787807864,0,0,0,0,0,0.127735863304058,0.242324872021424,0,0,0,3.46944695195361e-18,0,0.0911049846889246,0,5.26678980936057e-06,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.0889192238528639,0,0,0,0.0597400163694588,0,0,0,0,0,0,0,0,0.0277213481971649,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0.141701760080744,0.0703589845772432,0,0,0,0,2.16840434497101e-19,0,0,0,0.535290421778504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227509849189186,0,0,0,0,0,0,0,0,0,0,0,0.13116148674244,0,0,0,0.0786381389176346,0.00908256182446097,0,0
