,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X2388.HK.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X002142.CH.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2883.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X601688.CH.EQUITY,X2884.TT.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601818.CH.EQUITY,0,0.232890121034184,0,0,0,0,0,0,0,0,0,0.340276208042102,0.0865190355259229,0.0258635517518582,0,0,-0.0381570772405307,0.0403980210354946,-0.0780018951507006,0,0,0,0,0,0,0,0,0,0,0,-0.0331515785847705,0.124720467658469,0,0,0,-0.0086423402941873,0,0,0,0,0,0,0,0,0.114704460052089,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0372897693759557,0,0,0,0,0,0.0952291384195358,0,0,0,0,0,0,0,0,0,0.214952839722793,0,0,0,0,0,0.206295968093229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375395041303523
X000001.CH.EQUITY,0,0,-0.114506083621973,0,0,0,0,0,0.166120655248083,0,0.0977226655450625,0,0.152411034471336,0,0,0,0,0,0,0,0,0,0,-0.0634203701757079,0,0.475929136401841,0.141464251532944,0.0345941971803923,0,0,0,0,0,0,0,0.015678457166624,0,0,0,0,-0.00238923253597605,0,0,0,0,0,0,0,0,0.0972484760465649
X600015.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.066780033213692,0,0,0,0.0457316276126371,0.203170070997647,0,0,0,0,0.157995030131737,0,0.283363780269727,0,0,0,0,0,0.0522725759594664,0,0,0,0,0,0.00691238969641025,0,0,-0.227793912356272,-0.0186313512455705,-0.0427486356123277,-0.151918461879887,0,0,0,0,0,0,0,0,0.690635859868242,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.199686082975539,0,0,0,0,0,0,0,0,0.0145377593676637,0,0.0104249578526616,0,0,0,0,0,0,0.464783769548474,0,0.203281696276495,0,0.0786938538435546,0,0,0,0,-0.059705173313623,0,0,0.0956057328640284,0,0,0,0,-0.133743762047098,0.0608789706665189,0,0,0
X601169.CH.EQUITY,0,0,0,0,0,-0.0340198484015101,0.00604652259551762,0.0451410765093935,0.163695632448865,0,0,0,0.377400556251052,0,0,0,0,0,0,0,0,-0.0579011264696431,0.304815855172107,0,0,0.0529140645532791,0.425174889931212,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234054693150633,0,0,0,0,0,0.0728316484694813,0,0,0
X1299.HK.EQUITY,0,0.245473596689434,0,0,0.162952680665038,0.028145477868771,0,0,0,0,0.108453925810958,0,0,0,0,0,0,-0.0430137836345608,0,-0.0623812362830086,0,0,-0.0655738753142281,0,0,-0.00369639450902201,0.110926521837925,0.158142390103483,0.121069475808121,0,0,0,-0.120095778121053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0.554868337644518,-0.146093014126044,0,0,0,0.181268846013182,0,0,-0.0136353762718966,0,0,0,0,0,0,0.0455757226158833,0,0.104191228308686,0,-0.00332219802389437,0,0,0.033708238529187,-2.16840434497101e-19,0,0,0,0.245592403615596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.182308709376126,0,0,0,0,0.31805195628428,0,0.0628425922243836
X600919.CH.EQUITY,0,0.00979607580288257,0,0,0.19416295248773,0,0,0.163108663976648,0,0.203791301509929,0,0,0,-0.0987641638459323,-0.016534178384923,0,0,0,0,0,0,0,0,0,-0.0383442016060756,0,0,0.166763704526176,0,0,0,0,0,0.24817418219878,-0.130539106911789,0,0,0,0,0,0,0,0,0.181816162295099,0,0,0,0,0,-0.0248841026196021
X601916.CH.Equity,0,0.00495948305991008,0.296158941211209,0,0,0.170030430742654,0,0,0.230057610276272,0,0,0.0029086352634173,0,0,0,0,0,0,0,0,0,0,0.172611903619544,0,0,0.0281043566341864,0.0469372821777708,0.0737495937317429,0,0,0,0.0164334265366838,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.162382707266491,0,0
