,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X2007.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X600918.CH.Equity,X600837.CH.EQUITY,X601336.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601788.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601881.CH.EQUITY
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.0184931999840875,0,0,0,0,0.0662602939891709,0,0,0,0,0,0,0.164651132886475,0,0.0231133541617596,0,0,0,0,3.46944695195361e-18,0.0224923386893885,0.085696710256467,0,0,0,0,0,0,0,0.132323247859491,0,-0.483373042432399,0.136471748168297,0,0,0,0,0,0,0.186852385123729,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.296636692304476,0,0,0,0,0,0,0,0,0,0.0753564803537926,0,0.187496266974543,0,0,0,0,0,0,0,0,0.325962393792437,0,0,0,0.0305684075367565,0,0,0,0,0,0,0,0,0,0.0778356004098697,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0195698697768177,0,0,0,0,0,0,0,0,0,0,0.410154888586357,0,0,0,0,0.0950116437973841,0,0,0,0.31460148400429,0,-0.0541861076309886,0,-0.0227317330531303,0,0,0,0.0698901104950236,0,0,0,0,0,0,0,0.100343843108261,0,0.153003665931592,0,0
X600918.CH.Equity,0,0,0,0,-2.16840434497101e-19,0.0535834642216595,0,0,0,-0.0152041137228431,0,0,0,0,0,0,0,0,0,0,-0.0280962042403898,0,0,-0.400213718649421,-0.0606866954042317,0,0,0,0.0972146917922588,0,0,0.132900677921176,0,-0.0925355269133346,0,0,0,0,0.280395231119547,0.147930842461899,0.0242894395769537,0,0,-0.0270455624579456,0,-3.46944695195361e-18,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0368069670696951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0819075211459923,0,0,0,0,0,0,0.5941599622408,0,0.0199810351635718,0,0,0,0,0.170669135167606,0,0,0,0,0,0,0,0,0.00871310733899883,0.0462308381716555
X601336.CH.EQUITY,0,0.128932617126913,0,0,0.350008577411677,0,0.0224487952621916,0,0,0,0,0,0,0,0,0,0,0,0.226273833810911,0,0,0,0,0,0,0,0,0.0233400752617032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109988865867546,0,0,0,0,0.0614483999266471,0,0.0635309217091723
X001979.CH.EQUITY,0,0,0,0,0,0.188438213388501,0,0,0,0,0,0,-0.083290697538341,0,0.147935368053596,0,0,0,0,0,-0.102096518976824,0,0,2.16840434497101e-19,0,0,0,0.11125456660299,0,0,0.388822537659085,0,0,-0.0121315818288368,-0.0286471179144579,0,0,0.0050979930148828,0,0,0,0,0,-0.00700081461491562,0.0644306453726692,0,0,-0.0262038733248487,0.199446959382004,-0.0531570273377475
X000166.CH.EQUITY,0,0,0.0468764298549169,0,0,0,0,0,-0.0796581432311483,0,0,0,0.0540380932184659,0,0,0,0,0.0680682037628616,0,0,0,0,0,0,0.0936919287456143,0,0,0,0,0,0,8.67361737988404e-19,0.249982089661344,0,0,0,0,0.0488255570481976,0.103910137799451,0.0582311871431214,0,0,0,0,0,0,0,0.0877491477224041,0,0.188475358661698
X12.HK.EQUITY,-0.188791250657827,0,-0.0569562906684175,0,0,0,-0.138387750560353,0.287197104440782,0,-0.138676606646269,0.503602649736356,0,0,0,0,0,0,-0.00441763119118948,0,0,0.527306261910914,0.11226783145628,0.0404672234835978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0722555731411243,0,0,0,0,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0.423933045782233,0.183753734886214,0.120353694305858,0,0,0,0,0,0,0,0,-0.0443669148683024,0.427189720824626,0,0.238654987161727,0,0,0,-0.100709092999997,0,0,0,0,-0.480203670449611,-0.155921765107672,0,-0.317280182087073,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885592927109495,0,0
X601229.CH.EQUITY,0.263344663282985,0,0.19355597851303,0,-0.384190870803458,0,0.154693918578206,0,0.17397451214348,-0.0839864336385744,0,0,0,0,0.0508108126336102,0,0.239047560914841,0,0,0,0.0577984358813692,0,0,0,0,0,-0.0702487454507919,0.0201165549910585,-0.194390058646075,0.0221059245747238,0,0,0,0,0,0,0,0,0,0,0.0758913211803732,0,0,0,0,-0.0943180369624839,0,0,0,0
X601788.CH.EQUITY,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.141586312601863,0,0,0.0447400399822322,0,0,0.120264305632525,0,0,0,0,0,0,0,0,0.0310380941432584,0,0,0,0,0,0,0.0359703979942651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644864296969561,0.223945242453569
X002736.CH.EQUITY,0,0,0,0,0,0.185781446903352,0,-1.73472347597681e-18,0,0.0258128840260656,0,0,0,0,0.19935692709461,0,0,0,-0.0511672160611758,0,0.0598590087865515,0,0,0,0,0,0,0,0,0,0,0,0.445943010058738,0,0,0,0,-0.031453736647326,0,0,0,0,0,-0.0674349027741877,0,0,0,0,0,0
X823.HK.EQUITY,-0.0448479283414374,0,0,-0.218914726092303,0,0,0,0,0,0.0599294096195425,0,0.0260419997648131,0,0,0,0,0,0,0.102913083920091,0,0,0,0,0,0,0,0,0.378916259833251,0,0,0,0,0,-0.156279352046303,0,0,0.355530517790397,0,0,0.237385527379361,0,0.0320105752340957,0,0.172252196762987,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,-0.111833003974922,0,0,0.0259797989461387,0,0,0.0604034883351069,0,0.0117761836273725,0,0,0.324497352860775,0,0,0,0,0.236946052798714,0,0.0221455080169915,0,0,0,0,0,0,0,0.37770503843602,0,0.077421984726646,0,0,0,0,0,0.0831867920192164,0,0.0961415448736416,0,0,0,0,0,0,0
X601881.CH.EQUITY,0,0,0,0.070758454151255,0,0.180744062811114,0,0,0,-0.0147377963954404,0,0,0,0,0,0,0,0.0134597370923148,0,0.0427986412314218,0,0,0,0,0,0,0,0,0,0,0,0,0.16378988290867,0,0,0,0,-0.0311856199738995,0.0261951463520363,0,-0.00404790726389357,0.391263371932436,0,0,0,0,0,0.0313875959852514,0,0
