,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X688.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X1109.HK.EQUITY,X2388.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X002142.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X001979.CH.EQUITY,X000166.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X002736.CH.EQUITY,X823.HK.EQUITY,X000776.CH.EQUITY,X601788.CH.EQUITY,X2886.TT.EQUITY
X688.HK.EQUITY,0.200944381167252,0,0,0,0,0,0,0,0,0.0549050462525953,0,0,0,0,0,0,0.0631875144513068,0,0,0,0,0,0,0,0,0,0.0252514455365223,-0.112696803066068,0,0.373945977616625,0.0387252832479388,0,0,0,0.0184635257961125,0,0,0,0,0,0,0.211935979430354,0,-0.00176517547386795,0,0,0,0,0,0.325157716916395
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.184624536786251,0.10320488363498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28162457142823,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.468227576552045,0,0.578478197439598,0,0
X601998.CH.EQUITY,0.192224068894944,0,0,0,0.261317531956781,0,-0.21647682525163,0,0,-0.0594114627734048,0,0,0.34124656642112,0,-0.0234962881325873,0,0.115442071752989,0,0,0,0.0657511797113974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069079935317814,0,0.0644938009800532,-0.0893057505514037,0,0,0,0,0.358620904758163,-0.106649860285185,0
X300059.CH.EQUITY,0,0,0,0,0,0,-0.027829881126522,0,0,0.133073278700458,0,0.0466287868523511,0,0,0.161365504482672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254058855089364,0,-0.161470097942948,0,0.109322155703939,0,0,0,0.0383089562667479,0,0.0367382376384403,0,0,0,0,0,0.145765326732924
X11.HK.EQUITY,-0.0574487025630149,0,0,0,0,0.167444871519431,0,-6.93889390390723e-18,0.32434550967705,-0.122814024415321,0,0,0,0,0,-0.142337719430383,0,0,0,0,0.258114557821052,0,0,-0.0300045416748609,0,0,0,0.142853547295195,0,0,0,0.15412555628193,0,0,0,0.0735100773112868,0.0116995684482754,0,0,0,0,0,0,0,0,0,0,0,0,0.0745468702857389
X1109.HK.EQUITY,0,0,0,0,0.0439748910029513,0,0.197388233527007,0,0.372693315070898,0.0363271803785136,0,0,0,0,0,0,0,0,0,0,0,0,0.0380931822701136,0,0,0,0,0,0,0,0,0.192437906117118,0,0,0,0.336947814880341,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0923395816735753
X2388.HK.EQUITY,0,0,0,0.0712821183300008,0.021751931431313,-0.00890562202917901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137034489323639,0,0,0,0,0.168740317583708,0,0,0,0,0,0,0,0,0,0.10194314884338,0,2.16840434497101e-19,0.0617427417206073,-0.00289163210787683,0,0,0,0,0,0,0.48315004664138,0,0,0
X2007.HK.EQUITY,0.0722599016858613,0,0,0,0,0,0.168400207776081,0.148392864865181,0.0885431369135627,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0462011925510066,0,0.109817615211358,0,0.176704414805682,0,0,0,0,0,0,0,0,0.0442331814502414,0,0,0,0,0,0,0,0,0,0,0.154111293861536,0,0,0.0845009641103993
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0.138037273020384,0.15514286142077,0,0,0,0,0.02287180721556,0,0,0,0,0,0.0774273659722989,0,0,0,0,0,0,0,0,0,0,0.0359851193838761,0.11592768899567,0,0,0,0,0,0.0459414319182668,0,0,0,0,0.0315831501869576,0,0,0,0,0,0.28993564100486
X600048.CH.EQUITY,0,0,0,0,0,0,0,0.0900141891884404,0,0,0.0143575540465616,0,0,0.0259755417131109,0,0,0.340108897069797,0,0,0,0,0,0,0.0684896552547754,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0179140652706073,-0.0419251162682856,0,0,0,0,0,0,0
