,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X600030.CH.EQUITY,0,0.0307870523118325,0,0,0,0.0456195018697778,0,0,0,0,-0.114821125355087,0,0,0,0,0,0,0.146269426845587,0,0,0,0,-0.0157225446759186,0.153643986154645,0,0.0431477507129657,0,0,0,0,0,-0.0264187858131653,0,0,0.0250534962386994,0.165409407550496,0.155731733828978,0.228789363449601,0,0,0,0,0,0,0.167936085762567,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0.024937170773507,0,0,0,0,0,0.249970407225108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0582684040071803,0,0,0.122334189869906,0,0,0.0357208047657665,0,0,0,0,0,0,1.73472347597681e-18,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,-0.067817515993736,-0.0363572192200353,0,0,0,0.34755786411796,0,0,0.153143305869582,0.0866106911507379,0,0,0,0,0,0,0,0,0,0.087700267291856,0,0,0,0.068533326960406,-0.0270221234344103,0,0.0189936753832285,0,0,0,0,0,0,0,0,0,0,0.160137610921396
X601211.CH.EQUITY,0,0,0,0,0,0,0.36704083192129,0,-0.299555428406443,0,0,0,0,-0.0909841138507878,-0.259364329887504,-0.0229312099772202,0,0,0,-0.0548609906744485,0,0,0,0.156075538839117,0,0.117033010976311,0,0,0,0,0,0,0,0.704418168793089,0,0,0,0.169868004414205,0,0,0,0,0,0,0.0150195516972234,0,0,-0.0845679181794949,0,-0.080369555196234,-0.195347090085271,0
X601688.CH.EQUITY,0,0,0,0,0,-0.085538858993837,0,0.0363352483602656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107106042249079,0,0,0,-0.124213012598908,0,0,0,0,0.0133518330285585,0,0.316910607753168,0,0,0.205140685907412,0,0,0,0,0.353083309472661,0,0,-0.110834984827171,0,0,0,0,0,0.300044506557888,0
X2885.TT.EQUITY,0,0,0.0337779138437731,0,0,0,0,0,0.0348265583467818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048742101680956,0.0689475288744965,1.73472347597681e-18,0,-0.18203407395932,0,0,0.801490382209591,0,0,4.33680868994202e-19,0,-0.0504690213644651,0,0.0328439001132808,0.0135873957807225,0,0,0,-0.164617636350801,0,0,0,0,0.0657904527719647,0,0.0960089276613586
X601318.CH.EQUITY,0.0802676573954123,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801359151515548,0,0,0.209183095187061,0,-0.0702806272083145,0,0,0,0,0,0,0,0,0,0,0,0.0210199668275439,0,0.273991038698218,0.229760632105773,0,0,0,0.0653690469377015,0,-0.075934247744059,0,0
X601319.CH.EQUITY,0,0,0,0.284065835341101,0.0253207838370398,0,0,0,0.115314868199975,0.142751685886113,0,0,0,0,0,0,0,0,0,0,0.06867979458137,0,0.159501695282646,0,0,0,0,0,0,0,0,0,0.0156762056725024,0,0,0.0725149544376862,0,0,0,0,0,0.244283604032689,0,0.145042390373311,0,0.226802805820854,0,0,0,0,0,0
X601336.CH.EQUITY,0,0.0803822216818284,0,0,0,0,0,0.0436017519776572,0,0,0.0417016689471628,0,0,0,0,0,0.0095287908241065,0,0,0,0,0,-0.179543489324981,0,0.0656536985872447,0,0.0753788560625188,0,0,0,0,0,0,0,0,0,0,0.1440796088301,0,0,0.186925708650262,0,0.212295688145284,0.258555422381729,0,0,0,0,0,0.00702282947553448,0,-0.0661777201843768
X601601.CH.EQUITY,0.0825182401137187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0673427865736061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106843914828977,0,0,0.261929839413914,0,0.353592488365504,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0,0,0.0583462776297973,0,0,0,0,0,0,0,0.0352834197457562,0.059748067119418,0.185171166006083,0,0.0500045886751224,0.108178443165449,0,0,0,0,0,0,0,0,0.0218157553768553,0,0,0,0,0,0,0,0,0,0,0,0.14980179756294,0.222558193976965,0,0,0,0,0,0,0,0,0.0023685095883998,0,0.108319320058396
X1299.HK.EQUITY,0,0,0,-0.134168753014534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409988157030192,0,0,0,0,0,-0.197958677583042,0,0.100812925442413,0.120216917233115,0,0.091928740077629,0.00305482699294227,0,0,0,0,0,0,0,0.430447270204123,0,0,0,0,0,0,0,0,0,0.0839507673932753,0,0,0.128367752451544,0
X2881.TT.EQUITY,0,0,0,0.168997183375994,0,0,0,0,0,0,-0.122468489831784,0,0,0,-0.116712511545,0,0,0,0,0,0,0,0,0.0224938331862566,-0.0322184097359991,0,-0.0339853745630997,0,0,0,0.00453125376036033,0,0,0,0,0,0,0,0,0,0.180225848143276,0,0,0,0,0,0.681026997515339,0.0399271630001929,0,0,0,0.0146169642863638
X2882.TT.EQUITY,0.210036489233524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0230776625598835,0,0,-0.0253925464558265,0,0,0,0,0,0,0,0.0248375765656717,0.321844321088165,0,0,0,0,0,0,0,0,0,0,0,0,0.0933848549698256,0.00919365352930754,0,0,0,0.487439359372631,0,0,0,0,0.154584949130825,0.00705740024757684
X2883.TT.EQUITY,0,0,0,0,0,0,-0.0677533628073172,0,0,0,0,0.0195897946408241,0,0,0,-0.19424944085319,0,0,0,0.208436463678085,0,0,0,0,0.11153378561896,0,0,0,0,0,0.390216422365621,0,0,0,0,0,0,0,0.0714869561279425,-6.93889390390723e-18,0,0,0,0,0.0882679912780059,0.283815426132429,0.116288559991187,0,0,0,0,0
X2888.TT.EQUITY,0,-0.0785772948519532,0,0,0,0,0,0,0,0,0,0,0,0,0.118351501083256,0,0.0574963750245958,0,0,0,0.292467894992363,0,0.00200264103368289,0,0,0,0,0,0,0,0.28203365223846,0,0.0670928755167492,0,0,0,0,-0.168472424307797,0,0,0,0,0,0,-0.232639524722261,0,0.258721315102556,0.182700971282912,0,-0.0964294748544034,0,0
X267.HK.EQUITY,0,0,0,-0.0951001218275393,0,0,0.0539621645576572,0,0,0,0,0,0.560135243262817,0,0,-0.0915965827906492,0,0,0,0.066458580995554,0,0,0,0.0179462429491001,0,0,-0.113951101449324,0.130326737608386,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.0902474188810294,0,0,0,0,0,0.0898509085666617,0,0.311978017513784,0,0,0,0,0
MKRturn,0,0,0,0,0,-0.0423350004505606,0,0.427372809645016,0,0,0,0,0,0,0,-0.256851066268091,0,0,0,0,0,0,0,-0.0260897576086086,0,0,0,0,0,0,0,-0.0863064083169659,0,0,0,0,0,0,0,0,0,0,0,0,0.0987517061817454,0.113108875909151,0,0.170763504194055,0,0,0,0.33742809920143
RealEstateDiff,0,0,0,0,0,-0.232447497547116,0,0,0,0,0,0,0,0,0,0,-0.245128749192029,0,-0.177159436851952,0,0,-0.107216061053082,0,0,0,0,-0.188664814456845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655532083973459,0.0175255661981739,0.17701438162181,0,0,0.0608406129477312,0,0.0959835415488378,0
