,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601577.CH.EQUITY,X601818.CH.EQUITY,X601838.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601997.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X601916.CH.Equity,X601077.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X5880.TT.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X2885.TT.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X2883.TT.EQUITY,X2888.TT.EQUITY,X267.HK.EQUITY,MKRturn,RealEstateDiff
X601169.CH.EQUITY,0,0,0,0.17462194952881,0,0,0,0,0,0.0564741784023342,0,0.0335990141456132,0,0.0846097805091592,0,0,0,0,0.16347524731493,0,0.372423249874137,0.0402609079081643,0,0,0,-0.0346932538433352,0,0,0,0.0280308018859559,0,0.0124926582040876,0,0,0,0,0,0,0,0,0,0.060887255603584,0,0,0,0,0,0,0,0,0,-0.0186214692085011
X601229.CH.EQUITY,0,0,0.394445838244331,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,-0.122360334896579,0,0,0.256591424398998,0,0,0,0,0,0,0,0,0,-0.00707105193988775,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0563809971043863,0.276433140579657,0,0,0,0,0,0,0.134912110196701,0,0
X601288.CH.EQUITY,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0712881616113994,0,0,0,0.253908438631095,0,-3.46944695195361e-18,0,0.264025492655577,0,0.10600716217175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104640256145389,0,0,0,0,0,0,0.140389210517479,0,0,0,0,0
X601328.CH.EQUITY,0,0,0,0.158455427961508,-6.93889390390723e-18,0,0,0,0,0,0.0750839894320688,0,0,0,0,0,0.370746690153928,0,0,0,0,0.0729803965937746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.049124764666881,0,0,-0.0210834923699237,0
X601398.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.383826254442617,0,0,0,0,0,0.290393938454181,0.123439067821015,0,0,0,0,0,0,0,0,0,0,0,0.108050365146657,0,0,0,0,0,0,0,0,0,0.0479826899790954,0,0,0,0,1.73472347597681e-18,0,0,0,0,0
X601577.CH.EQUITY,0,0,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0.115534447542216,0,0,0,0,0.0493901293608332,0,0,0,0.487319589665473,0,0.0716728888544713,0.0307082102930354,0.113502913179043,0,0,0,0,0,0.0273588628296179,0,0.062975576411886,0,0,0,0,0,0,0,0.038758344701807,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0.14340194575864,0,0,0,0.292812362608134,0,0,0,0,0,0,0,0,0,0,0,0,-0.112788816254253,0,0.363658914028742,0,0,0,0.226330095267212,0,0,0,0,0,0,0.0061336805529201,0,0,0,0,0,0,0,0,0,0,0,0,0.173279835598803,0,0,0,0,0,0,0,0
X601838.CH.EQUITY,0,0,0,0,0,0,0.242726750620418,0,0,0.244342852160038,0,0,0,0,0,0,0,0,0,0,0.213878776905217,0,0,0,0,0,-0.00360518048402337,-0.133447369873958,0,0,0,0,0,0,0,0,0,0.0533192529371092,0,0,0,0,0,0,-0.0645144853517061,0,-0.0634138262324212,0,0.266330819133995,-0.0616932965764872,0,0
X601939.CH.EQUITY,0,0,0,0,0.211306382647347,-6.93889390390723e-18,0.209742801366362,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0844372247650174,0,0,0.0942180134446629,0,0,0.0366164570107097,0,0,0,0,0,0.0713984319036387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601988.CH.EQUITY,0,0,0,0,0,0,0,0,0.125650077136996,0.229326947973375,0,0,0.518920748306183,0.0884140971549179,0,0,0,0,0,0,0,0,0.0307970333565721,0,-0.106787599136615,0,0,0.0803601432059317,0,0,0,0.150847302214825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0727400259495876
