,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0.0277865865349239,0,0,0,0,0,0,0,0,0.0854527600454406,0,0.172045436927362,0.196700653252141,0.0814384258794127,0,0,0.0891357882421708,0.463475134274659,0,0,0.020741569615767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,-0.157467060655811,0,0,0,0,0,0,0,0,0,0,0.255799809575658,0,0,0,-0.218550966323474,0,-0.229909690719853,0,0,0,0.0655576078085684,0.196983813958807,0,0,0.188957540497861,0,0,0,0,0,0,0,-0.191332721628867,0,0.154849393890857,0,0,0,0,0,0,0,0.223823481580054,0,0,-0.126239508526934,0,0,0.00565801906750373,0
X601211.CH.EQUITY,-5.42101086242752e-20,0,0,0,0.0207155739204466,0.0473174753224627,0,0,0,0,0,0,0.0990452304605674,0,2.71050543121376e-20,0,0,0,0,0.0126323339293257,0,0.460840163238713,0,0.323817344992061,0.00222423614088396,0,0,0,0,0.103968826818032,0,0,0,0,0,0.00526147920931254,0,0,0.0611780391084184,0,0,0,0,0,0,0,0,0,0,0.0112982621733291,0,0
X601688.CH.EQUITY,-0.0348000822456623,0,0,0,0,0,0,0,0,-0.108555060546235,0,0,-0.0335302060157488,0,0,0,0.168406454280183,0,0,0.100964616061519,0,0,0.716749120569913,0,0,0,0,0,0,0.0251584301152336,0,0,0,0,0,0,0,0.157977062170455,0,-0.146490298940237,0,-0.0510329113774831,-0.0610521282526551,0.0827240546475407,0.188759489553743,0,0,0,1.73472347597681e-18,0,0,0
X388.HK.EQUITY,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263867615753632,0,0.601343208815593,0.0352592768367151,0,0,0,0,0,0,0,-0.0791626711397621,0,0,0,0,0,0,0,0,0,0,0,0.101014989870757,0,0.113235916143112,0,0,0,0,0,0,0.10632918533797,0.0630382439213652,0,0,0
X601318.CH.EQUITY,0,0.00992671697129643,0,0,0,0.0698892329854536,0,0,0.149281747558515,0,0,0,0,0,0,0,0,0.081201011648748,0,0,0,0,0,0,0,0,0,0,0,0,0.17011386859459,0.138910205362703,0.123474246355096,0,0,0.0453102278619707,0.0428244015308818,0.0150843141213973,0.0474174585582675,0,0.0148545212140181,0,0,0,0,0,0,0.082092907105889,0,0,-0.0915742167366383,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0382659303802065,0,0,0,0,0.187459392261913,0,-0.147708332470797,0,0.0829402434563139,0,0,0,0,0,0,0,0,0,0,0.308260328496748,0.29864104729989,0,0,-0.108607335083828,0,0,0,0,-0.0537694398303423,0,-0.0318745363283074,0,0,0,0,0,0.124833953237999,0,0,0,0
X601336.CH.EQUITY,0,0.0680211968441626,0,0,0,0,0,0,0,0,0,0,0,0,-0.00754780564241206,0,0,0,0,0,0,0,0,0,0,0,0.143179103539609,0,0.149704617067907,0.364486799778105,0,0,0.034893542850506,0,0,0,0,0,0,0,0,0.120839431058524,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0.0335925796651282,0,0,0,0.0232557445324212,0,0,0,0,0,0,0,0,0,0.0516851406171273,0,0,0,0,0,0,0,0,0,0,0,0,0.132917258409463,0.00902756763854838,0,0,0.530466836024657,0,0.01615958009781,0,0,0,0,0,0,0,0,0,0,0,-0.0717032063511606,0,0,0,0.044916316197887,0
X601628.CH.EQUITY,0.13885584332843,0,0,0,0,0,0,0.25474063406776,0,0.0666150636034925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161340604263257,0,0,0.0653245134140944,0.0628417872299229,0.157601264249534,0.105950756116392,0,0,0,0.169952284068953,0,0,-0.0403967194227582,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,-0.0655130468475995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765006826243751,0.242835169593609,0,0,0,0,0,0,0,0,0.0175435737779984,0,0,0,0,0,0,0,-0.113561532916051,0,0.0866463742835251,0,0.25382395030937,0,0.085430058048974,0,0.0419331873217817,0,0,0,0,0,0,0,0
X2881.TT.EQUITY,0,0.278585553127049,0,0,0,0,0,0,0.0381666322392983,0,0,0,0,0,-0.110536905033996,0,0,0,0,0,0.213527601712707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48895209394966,0,0,-0.240206515058877,0,0,0,-0.0850122033982085,-0.168143942178819,0,0,1.38777878078145e-17,-0.142846871601178,0,0,0,-0.0887881584150507
X2882.TT.EQUITY,0,0,0,0,0,0,-0.0226590864411535,0.0631562223211084,-0.0717798347469243,0.0227329342154898,0,0.050382299983717,0,0,0,0,-0.100848678293361,0,0,0,0.127321693489384,0,0,0,0,0,0,0,0,0.070486223389286,0,0,0,0,1.00573323880029,0,0,-0.141189566444227,0,0,0,0,0,0,0,0,0,-0.0152717333668297,0,0,0,-0.186333548167282
X000002.CH.EQUITY,0.0964087575758475,0,0.0462920273593119,0,0,0,0,0,0,0,0,0,0,0,-0.0607537012516962,0,-0.0191278111881088,0,0,0,0,0,0,0.0962781923056969,0,0,0,0,0,0,0,0.186537918991586,0,0,0,0.213309962466877,0,0.499321061768679,0.205427340238719,0,0,0,0.0754649701932199,0,0,0.26273621467811,-0.120509634618092,0,0,0,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0.494447065163268,0,0,0,0,0,0,0,0,0,-0.162911022441636,0,0,0.0361985940486761,0,0,0.0405587366009066,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0.273953202633572,0,0.0149343240160791,0.0442190207669002,0,-0.142382381003573,0,0.0809542025764932,0,0,-0.0453622165812369,0,0,0
X600048.CH.EQUITY,0.0678793860213377,0,0,0,0,0,0.17727566958406,0,0,0,0,0,0,0,0,0.0825086072889167,0.0412283637723118,0,0,0,0,0,0,0,0,0,0,-0.0400057975932679,0,0,0,0,0,-0.16228528791575,0,0,0,0,0,0,0.351514806573009,0,0.158245132576763,0,0,0,0,0,0.0264129124149641,0.233146662396328,0,-0.0242001777804874
X1109.HK.EQUITY,0,0,0,0,0.0112045869814879,0,0.00697176832538572,0,0,0,0,0,0,0,0,0,0,0,0.251527620068963,0,0.0436088328111897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355679567565688,0.00662335660220049,0,0,0,0,0,0,0,0,0.285979469781329,0,-0.160731923612761,0,0.138579797356504
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0422371134729067,0,0,0.120825558627461,0,0,0,0,0,-0.132481713596569,0,0,0,0,0,0,0,0,0,0,0.252741728585921,0,-0.0969779819985755,0,0.0981136902632676,0.0831897356923024,0.497161246054154,0,0,0.0574324671206808,0,0.0327229851778002,0,0.112367485431111,0.0359968162717649,0.129050860621134,0,0.00397845722307745,-1.73472347597681e-18
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.147250305689931,-0.0255012515298034,0,0,0,-0.498503607939326,-0.00111902841794476,0,0,0.596396427528375,0,0,0,0,0,0,0,0,0,0,0,0.551094651177082,0,0,0.184939127221842,-0.285524361514437,0,0,0.191929444466644,0,0,0,0,0,0.106045213290822,0,0,-0.164895259942416,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0137755619111658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134291465332607,0,0,0,-0.0959545021708758,0,0,0,0.310271153867268,0.226729041165368,0,0.0857582497900736,0,0.0853508811824424,0.564778722491803,0,0,0,0.170121112144739,0,0.111463068230739,0
X17.HK.EQUITY,0,0,-0.0318360405482702,0,0,0,0,0,-0.0220545979976998,0,0,0,0,0,0,0,0.0704765976734585,0.205327903198915,0,0,0.153004929203821,0,0,0,0,0,0,0,0,0,0,0,0,0.182032383587785,0,0,0,0,0,0,0,0.033961773920036,0,0,0.111161833318935,0,0,0,0.420524724091328,0,0.101104981359836,0
X1997.HK.EQUITY,0,-0.0493219949429067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722014794531777,0,0.0647759615073774,0,0,0,0,0,0,0,0,0,0,-0.0881858459410306,0,0,0,0,0,-0.0476831662288176,0,0,0,0,0.142475760244647,0.308710633036753,0.08226613361574,0.236430517702725,0,0,0,0,0.285149973378317,0,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392676176049139,0,0,0,0,0,0,0,0,0.153763600765482,0.0818539274110611,0,0,0,0,0,-0.182656776032077,0.050912164852807,0,0.273608504147334,0.172931187051247,0.157077550697194,0,0,0,0,0,0,0,0,0,-0.00203502277201943,0
X267.HK.EQUITY,-0.0562553488342506,-0.311824722681768,0,0,0,0,0,0,0.0509053651602571,0,0,0,0,0,0,0,0,0,0.0718252894377872,0,-0.165998822857161,0.400069532524117,0,0,0.0305945343427929,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.0274893846242962,0,0.201524960164117,0,0,0,0,0,0,0,4.33680868994202e-19,0.0417552760995262
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0518479323730385,0.0435128132932514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164905567724116,0.15313996718466,0,0.211170123354484,0,-0.228424622036994,0,0,0.0630283424904168,0.137564437319636,0,0,0,0,0,0,0,0,0,0,0.0729202748005341,0
X823.HK.EQUITY,0,-0.263503172371821,0,0,0,0,0,0,0,0.0432183845934786,0,0,0,0,-0.0633014800331261,0,0.167780313727156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227998616413239,0,0,0,0,0,0,0,0.0463059478298327,0.0378782408256917,0,0.415464667238808,0.139565479336088,0,-0.0236913933271841,-0.0226041864010137,0,-0.0789480697463436,0,0
MKRturn,0,-0.264674510259261,0,0,0.583771083656766,0,0,0,0,-0.0278013059953153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.123597877771245,0,0,0,0,0,0,0,0.0533548270959135,-0.0543883929120796,-0.160994510947959,0.302413456727633,0,0,0,0,0,0,0,0,-0.0454507411295976,-0.148350578538559,0,0,-0.16536641082211
TED,0,0,0,-0.0107077042819374,0,0,0,0,0,0.0450922826793053,0,0,0,0,0,-0.0530827578112119,0.193422954868225,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0739628722057042,0,0,0,0,0,0.126299087037224,0,-0.0366249241581301,0,0.298261742796112,0,0,0.544860222700585,-0.294256832310199,0,0,0.0612117175130484,-0.14986462361618,0,0,0.300187432092326
RealEstateDiff,0,-0.4350448615651,0,0.459557299954747,0,0,0,-0.27508701808229,0.171370459838012,-0.176136131698426,0,0,0,0,-0.0220245923456377,0,0,0.285203117622844,-0.576728576700548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00362033435107798,0,0,0,0.338062939747473,0,0,0,-0.114616272842278,0.139683084503387,0,0,0.0257484557872495,0
