,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X1299.HK.EQUITY,0,0,0,0,0,0,-0.0947852480413571,0,0,0,0,0,0,-0.214579615595852,0,1.73472347597681e-18,0.341350177074333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255778609430378,0.0641862021515319,0,0.0367463910234803,0,0.149653118910031,0,0,0,0,0.122643243401008,0,0,0.129106252321468,0,0.225319903524283,0.128501528164085,0,0,0.105945748088482,0,0
X2882.TT.EQUITY,0.624959424538599,0,8.67361737988404e-19,0,0,0,0,0,0,0,-0.478452644632487,0,0,0,0,0,0,0.522770359982501,0.0118186878810735,0,0,0,0,0,0,0,0.0451060657299952,0,0,0,0,0,0,0,0,0,0,0.140519631583815,0,-0.473597332684241,0,0,0,0,0,0,0,0,0,0,0.0461138993209158,0.255539200556338,-0.130106889006884
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.198034604399817,0,0,0,-0.0414737347493756,0,0,0,0,0,0.174589652285895,0.0442423279154917,0,0,0,0,0,0,0,-0.0283252753399475,0,0,0.113838305239391,0,0,0.0065275536696712,0,0,0,0,0.0760368336645612,0,0,0,0,0,0.128390700347606,-3.46944695195361e-18,0,0,0,0
X001979.CH.EQUITY,0,0,0.766551050734634,0,0,0,0,0,0.00460264000061074,0,0,0,0.120700244730066,0,0,0,0,0,0,0.051722911805798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0816926725910121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253837967709446,0,-0.0123278699302553,0,-0.121135622628284
X600048.CH.EQUITY,0,0.0258462997220032,0,0.134047741629858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0.036687217781509,0,0,0,0,0,-0.0661192387331542,0.701966502940676,0,0,0,-0.0302004995092864,0,0.0555130485099389,0,0,0,0,0,0,0
X1109.HK.EQUITY,0,0.22079685648142,0,0,0,0,0,0,0,0,0,0,0.0432732536306313,0,0,0,0,0.154643884454886,0,0,0,0,-0.0542656760205519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154823911142056,0.530847294837124,0,0,0,0
X1113.HK.EQUITY,0,-0.00933376642912372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336579144070184,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052940610497314,0,0,0,0,0,0,0,0,0,0,0,0.279925048796158,0,0,0,0.0597892906946068,0,0,0.240526687645614,-0.0758091442944608,0,0
X12.HK.EQUITY,0,0,-0.204142883089076,0,0,0.00543741188835516,-0.143550081734661,0,0,-0.0846552671296851,0,0,0,0,0.551311914392777,0.190279766960153,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0306640226523595,0.00820060016231569,0,0,0,0,0,-3.46944695195361e-18,-0.0443414229657086,0,0,0,0.0560773535189484,0,0,0.627793570965342,0,0,0,0,0,0,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.176179352835935,-0.212161152866416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106279207330721,0,0,0,0.16086941957582,0,0.152284486952372,0.216830859159854,0,0,0.0686119200695829,0.0393931124447487,0.265877639608612,-0.00677982138701131,-0.0329775220032032,0.0149177600558504
X2007.HK.EQUITY,0,0,0,0.000759670224900086,0.0721691550868304,0,0.0219236858345384,0,0,0.0415900862685559,0,-6.93889390390723e-18,0,0,0,0,0,0.0152400169737111,0.0527347068075122,0,0,0,0.0858611990305645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279711056327001,0,0,0,0,0.145909889040395,0,0,0,0,0.117623052495995,0,0.116829618130602,0.0546737545761725,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0137346633060462,0,0,0,0,0,0,0,0.235374201607107,0,0,0,0,0,0,0,0.160361928540454,0,0,0,0.0347301204196533,0.211540335825642,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119207784255469,0,0,0.0785674777975433,0,0,0,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.23152245324912,0,0,0,0,0,0,-0.0218747218078437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169168349429802,0,0,0,0,0,0,0,0.15622580104399,0,0.108794860395197,0.174888070102704,0.0728186210348333,0,0.102119370759862,-0.0442064369475704,0,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0168873275693592,-0.0405704377135059,0,0,0,0,0,0.35795752234727,-0.107754496028703,0.389564307492156,0.089890730662522,0,0,0,0,0,0,0,0,0,0,0,0.0479698061670235,0,0,0,0,0,0,0,0,0,0,0,0.144222371575179,0,0.309622741806236,0,0,0,0,0,0.015717341293754,0.0037028629351874
MKRturn,0,-0.0474924996625136,-0.109790364247865,0,0,-0.0999439068760721,0.213700989841115,0,0,0,0,0,0,0,0,0.0538964706056201,0.0985643981878426,0,0.0379711397524796,0,0,0,-0.0576671735000101,0,0,0,-0.0195065941929093,0,0,0,0,-0.0960723963111195,0,0,0.198417715360346,0,0,0,0,0,0,0,0,-0.26412010129878,0,0,0,0,0,0.296732221979304,0,0.0175517705282438,0
TED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.279118215691118,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.53801421273913,0.097561766122933,0,0,0,0,0,0,0.0265676612744262,0,0,0.0939548692349747,0,0,0,0,0,0,0,-0.0153879509596645,0,0,0.0164912055900509
RealEstateDiff,0,0,0,0,-0.299145772559899,0,0,0,0,-0.0157755004905635,0,0,0,0,-0.117366260102242,-8.67361737988404e-19,0,-0.00704750268591204,0,0,0,0,0,0.262983706919566,0,0.0296649780461585,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,-0.0674398364190118,0,0,0,0,0,-0.0452700029429708,0,0,0,0,0.0435360967895338,0
