,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X1113.HK.EQUITY,0,0,0,0.0990983935785063,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.10710211686466,-0.0126736075863856,0,0.127732563418122,0,0,0,0,0,0.0827535143086814,0,0,0,0,0,0,0,0,0,0,0.0230208737290017,0,-0.0450426261116578,0,0,0,0.297969956303793,0,0.253809371572928,0,0.0744860111796167,0,-0.0791681220103687,0.0688564763179035,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115784569971995,0.00543091145682549,0,0,0.14848517799869,0,0,0,0,0,0,0,0,0,0,0,0.0480489686766443,0.283761984968104,-0.100674246615475,0,0,0,0,0.40449054970419,0,0,0,0.287159455055474,0,0,0
X16.HK.EQUITY,0,-0.0847949076080032,0,0,0.197339726857024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02888601791479,0,0,0,0,0,0.321945096628622,0,0,0,0,0,0,0.0458563156366632,0.225341116091236,0,0,0,0,0.152186378824545,0,0.00646029384789632,0.104761158033135
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169540486718617,0,0,0.0436498926327154,0,0,0,0,0,0,0,0,0,0,0,0.0716664983949962,1.73472347597681e-18,0,0,0,0,0,0.627402229041107,0,0,0.0904924553026694,0,0,0,0,0,0,0
X267.HK.EQUITY,0,0.0298756967457389,0,0,0,0,-0.165827005707479,0,0,0,0,0,0,0,0,0,0,0.158344063841499,0,0.184111465247718,0,-0.00892268627594398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161063542530753,0,0.405340987734439,0,0,0,0,0,0.0677815787842574,0,0.000388726128208595,-0.0990852018066849,0
X688.HK.EQUITY,0,0,0.118942475650368,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136323168739548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153921017716797,0.125281265480626,0,0,0,0,0.217486722521376,0,0,0.303569605444399,0,0,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0,-0.263154564741552,0,0,0,0,0,-0.0982163789520656,0,0,0,0.000182864330346753,0,0,0,0,0,0,0.113442146734793,0,0,0,0,0,0.265046407441981,0,0,0,0,0.102665018061633,0,0,0,0,0,0,0,0.062676111198307,0.672174484878684,0,0,0,0,0.0911562879929618,0.0538081750425277,0
MKRturn,0.251050933176925,0,-0.400332302966609,0,0,0,0,0.421830214480951,0,-0.314985996170913,0,0,0,0,-0.178021354804399,0,0,0,0,0,0.132697983613586,0.315698909705928,0,0,-0.0886711918273846,0,0,0,0,0,0,0,0,0,0,0.454499168012544,-0.198348169827246,0,0,0,0.215732942515028,0,0,0,0,0,0,0,0,0,0,-0.11297789357379,0
TED,0,-0.251314953804593,0,0,0,0,0,0,-0.0787041876919101,0.329919248228855,0,0,0,0,0,0,0,0.535079120257041,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,-0.288889480124453,-0.44274090536648,-0.643504478966855,0,0,-0.540017800353103,0,0,0,0,0.0956597953644844,0.285438315750397,0,0.188132695178958,0,0,0,-0.0245366981044879,0,0,0,0,0
RealEstateDiff,0,-0.0991932727396042,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.16101229531552,0,0,0,0,0,0,0,0,0,0,0,0,0.0334609221698699,0,0,0,0,0,0,0.0983482250694124,0,-0.0388830389643727,0,0,0.0107025427819713,0,0.0395637139128939,-0.03655686277718,0,0,0,0,0,0,0,0,0,0,0,0
