,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480923481931795,0,0.0632562794222281,0,0.0493444177167303,0.149189899701416,0.241527110889094,0.0287513636655949,0,0,0.0409833644919978,0.451886320529606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0665617380010229,-0.179914059407356,0.178495638885717,0,0,0,-0.355584992156229,0,-0.069656154812487,0.28746188356289,0,0.164360123437508,0,0.0106350053494745,0,0,0,0.351085605717638,0,0,0,0,0,0,0,-0.00580240082852238,0,0,0,0,0,0,0,0,0,0,0,-0.12444230845743,0.293043467374913,0,0,0
X601211.CH.EQUITY,-8.67361737988404e-19,0,0,0.0125306874849278,0.0304489718283944,0.00366404758979511,0,0,0,0,0,0,0.0713534710525379,0,0,0,0,0,0,0.055041885688658,0,0.0130424747661261,0.429423736479671,0.076108964130047,0.22838238065024,0,0,0,0,0.0563881890615443,0.0527963185817411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0551874495390786,0,-0.0436768049859975,0,0,0,0,0,0,0.274166167527112,0.269201246292043,0.254506235409448,0,0,0,0,0,0,0,0,0,0,0,0.0285420735594286,0.0239683983217406,0.109692516590174,0,-0.150642839687812,0,0,0,0,0,0,0,0,-0.0153996137467382,0,0,0
X388.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130815363361139,0.600809035302348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0513583978171188,0,0,0,0,0,0,0,0.131927843685757,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.275899576096084,0,0,0,0,0,0,0,0,0.0632776758848105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164724833652024,0.100523574639699,0.145591709126981,0,0.00915146087858156,0,0,0,0,0.00454274878459053,0,0,0,0,0.107694469989027,0,0.0552506093879645,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0876174745180436,0,0,0,0,0,0,-0.183829163847628,-8.67361737988404e-19,0.489359226628083,0,0,0,0,0,0,0,0,0.0214840082359279,0,0,0.23981467798661,0.0754050408494971,0,0,0,0,0,0,-0.0916259860599413,0.0920389050707099,0,0,0,0,0,0,0,0,-0.0409483002483086,-0.0173877033512141,0.0504031087891455
X601336.CH.EQUITY,0,0.123789508524975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0.189059703030101,0,0,0,0.243111051430586,0,0.0887940771167248,0.0671937474044753,0,0,0,0,0,0,0,0.0800250413600218,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,-3.46944695195361e-18,0.16075174317199,0.0667220930510606,0,0,0.0362548340392526,0,0,0,0,0,0,0,0,0,0,0,0.0129187557114208,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178784866816892,0,0.347893377833997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0605250234520238
X601628.CH.EQUITY,0,0,0,0.0903750103869421,0,0,0,0.0278793623681738,0,0.0937467881931842,0,0,0,0.0154418873520339,0,0,0,0,0,0,0,0,0.0999768489297485,0,0,0,0.182201390901717,0,0,0.200275769962277,0,0,0.237259199219637,0,0,0.057181136368646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,-0.0480683470900696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0690108950187494,0.232610122095381,0,0,0,0,0,0,0,0,0,0.0715518894431992,0,0,0,0,0,0,0,0,0,0,0,0.133564921417718,0.0969802252307391,0,0,0.252759405725399,0.134924209191394,0,0,0,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0.150406688047573,0,0.612081951624309,0,0,0,0,0,0,0,0.0181241090684434,0,0,0,0,0.275918147537414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.557287515530646,0,0,-0.0697532707783006,0,0,-0.331368245600341,0,0,0,-0.00661395649167907,0,0,0,-0.300293810618459
X000002.CH.EQUITY,0,0,0,0.180849283274432,0,0,0.0724218826277845,0,0,0.000781123686169567,0,0,0,0,0.0910525312563439,0.27617052870235,0,0.0404208725661886,0,0,0.0435212974681983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245379702553826,0,0.150834715459251,0.233857074331167,0,0.0263633724028803,0,0,0,0,0,-0.040379260152989,0.0197000080315567,0,0.140727519500527,0,0
X001979.CH.EQUITY,0,0,0,0,0,0,0,0.524727604407123,0,0,0,0,0.019981558514546,0,0,0,0,-0.0621649526321211,0,0,0.242554433659521,0,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.051433537413615,0.116352369696429,0,0,0,0.0682004179480266,0.0759593451000022,-0.171967505759335,0,0.0131964076109943,0,-4.33680868994202e-19,-0.000933393038796995,-0.121818121568865,0.106161591400136,0,0
X600048.CH.EQUITY,0.329155395883829,0,0,0,0,0,0.151087955212871,0,0,0,0,0,0,0,0,0.289383988061625,0,0,0,0,0,-0.0682752164258588,0,0,0,0,0,0,0,0,0,0,0,0,-0.1926031709247,0,0,0,0,0,0,0,0.0217964149484998,0,0,0,0,0,0,0.234355247341951,0,0
X1109.HK.EQUITY,0,0,0,0,0,0.0286198072783589,0,0,0,0,0,0,0,0,0,0.177091092062178,0.155735304197562,0,0.0880940353119148,0,0,0,0,0,0,0.083806887360463,0,0,0,0,0,0,0,0,0,0,0,0.248079452431519,0,0,0,0,-0.0194977515821215,0,0,0,0,0.474222297805494,0,-0.140895517455874,0.104241086265288,0.237708867890441
X1113.HK.EQUITY,0,0,0,0,0,0,-0.113140406640505,0,0,0,0,0,0,0,0,0,0,0.099971845646001,0,0,0,-0.0273899160293923,0,0,0,0,0,-0.0231994333953678,0,0.227509912284504,0,0,0,0,0.161732393301151,-0.222154284464946,0,0,0.0855082392908822,0,0,0,0,0.164674729765818,0.120709771871241,0.0584606702616375,0.213818126275809,0,0,0,-0.00587701946812074,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0917172498787607,0,0,0,0,-0.439212984410264,-0.374154081451416,0,0,0.169276438803939,0,0,0,0,0,0,0,0,0,0,0,0,0.23643338689905,0.2753291806111,0,0.285075761564466,0,0,0.542388236361084,0,0,0,0,0.0503484311658085,0.438434970530151,0,0,-0.117773487727296,-0.0564056070019847,0,0,0.040383859228954,0
X16.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0868780584098685,0,0.0512464412614342,0,0,0,0.249665630838108,-0.0549833911123521,0,0,0,0.0689089044612972,0,0,0,0,0,0,0,0,-0.0488897720141251,0,-0.26521696667439,0,0,0,0,-0.210025323914521,0.254368111640051,0,0,0.278414554329099,0,0,0.596146025282018,0,0,0.00621464178262774,0.126465976195392,0,0.103115652418449,0.0089498944515316
X17.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0949231085701114,0.0830836930525111,0,0,0.0758492705603488,0,0,0,0,0.04995864774383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636766218795954,0,0.115821060504132,0,0,0,0.142811806126864,0,0,0
X1997.HK.EQUITY,0,-0.0359620340862337,-0.102721780987137,0,0,-0.186160461982664,0,0,0,0.0866152144500303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102933223170889,0,0,0,0,0,0.25163913146754,0,0,0,-0.0400984885976817,0.142146714116506,0.158047747592814,0,0.407293681888944,0.0497293146887419,0,0,0,0,0.0965172192509248,0,0,-0.185029235342583
X2007.HK.EQUITY,0,0,0,0,0.000586244809085313,0,0,0,0,0,0,0,0,0,0,0,0,0.0713996373438289,0.139330961641214,0,0,0,0,0,0,0,0,0,0,0.239383851902561,0,0,0,0,0,0,0,0.00261690179025664,0.114899354948089,0.163887773606914,0.453907008364544,0,0,0,-0.108567886205343,0,0,0,0,0,0,0
X267.HK.EQUITY,-0.486059655879678,-0.0216323205197847,0.0108989852187326,0,0,0.047548365702181,0,0,0.176557093482809,0,0.0125054878498337,0,0,0,0,0,0,0,0,0,-0.285356463847705,0,0.397205618609324,0,0,0.0512438523767175,0,0,0.0306897186284594,0,0,0,0,0,0,-0.00172297102408714,0,0,0,0,0,0,0,0.353668512155454,0,0,0,0,0,0,0,0
X688.HK.EQUITY,0,0.2755045744248,-0.0217197605733983,-0.304783309411593,0,0,0,0,0,0,0,0,0,0,0,0.276792668384815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520818177265491,0,0,0,0.149470780411395,-0.179077387408268,0,0,0,0.16009818608928,0.0270632625827839,0,0,0,0,0,0.0277349125196558,0,0,0,0,0.0328706167533595
X823.HK.EQUITY,0,-0.173877958083615,-0.0842156165050487,0,0,0,0,0,-0.0443106386514266,0.0331366148816618,0,0,0,0,-0.102214100402079,0,0.0890548809763496,0,0,0,-0.102308725612595,0,0,0,0,0,0,-0.0107538513547854,-8.67361737988404e-19,0,0,0,0,0.275044600627269,0,0,0,0,0,0.0231911871062991,0.116023299068557,0,0.0162635066939676,0.186673848489638,0.2711244662669,0,0,0,0,0,0,0.0327218667444675
MKRturn,0,-0.0608318338985583,0,0,0.33772196283669,0,0.350535206290003,0,-0.291788070210469,0,0,0.0145834208892388,0,0,0.101039469224248,0,0,0,0,0,0,0,0,0,0,-0.145268324075013,0,0,-0.122068687317648,0,0,0,0,0,-0.100513667851181,0,0.374593015410612,0,0.114517361753161,-0.12651896018001,-0.0469025040548823,0,0,0,0,0,0,-0.339532337443649,0,0,0,0
TED,-0.0645236401731818,0,0,0,0,0.0862392399761214,0,0,0,0,-0.0647051820017853,0,0,-0.176173683129189,0,0,0.132290262042213,-0.261913907778556,0,0,0.159321298287089,0,0,0,0,0,0,0,0,0,0.164045635627741,0,-0.232114145321694,0,0,0,0,0,-0.299523421727589,0,0,0,0,-0.0298305545075159,0,0,0,0,0.0261867531905173,0,0,0
RealEstateDiff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00454476534273346,0,-8.67361737988404e-19,0.174620185826725,-0.250772764159537,0,0,0,0,0,0,-0.0224784939669911,0,0,0,0,0,0.00669147367927782,0.0600173531543017,0,0,0,-0.0883593264960073,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,-0.238714592059025,0
