,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED,RealEstateDiff
X601211.CH.EQUITY,0,0,0,0.122224922077621,0.0990800294196531,0,0,0,0,0.0923783718394887,0,0,0,0,0,0,0,0,0,0.130470455836684,0,0,0,0.251160769299715,0,0,0,0,0.157313949158478,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0174463306212709,0,0,0,0,0,0,0,0,-0.0110208078233516,0
X601688.CH.EQUITY,0,0,-0.0304341477524055,0.346121309369801,-0.108028259387162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274477508917349,0,0,0,0.318373708850191,0,0,0,0,0,0.177534853000859,0,0,0,-0.100214815688438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707718487978411,0
X600918.CH.Equity,0,0,0,0.049323993535257,0,0,0,0,0,0,0,-0.00731357942979666,0,0,0,0,0,0,0,0.0409406791051478,0,0.0484497546737341,0.0859709301375167,0.198703008573704,0,0.192328110413463,0,0.226657307397789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0992634036237209,0,0,0,0,0,0,0,0,0,0,0
X388.HK.EQUITY,0,0,0,0,-0.110973058527361,0,0,0,0,0,0,0,-0.0350079905144793,0,0,0,0.178882214261894,0,0,0.135058390991748,0,0.0961725859794248,0.544383554542755,0,0,0,0,0,0,0,0,0,0,0,-0.128143632339567,0,0.132707166705679,0,0.0304435751707362,0,0,0,0,0,0,-0.111815395391306,0,0,-0.0309407438745591,0,0.12353272851085,0,0
X601318.CH.EQUITY,0.0809586136269023,0,0.0549427896992447,0,0.0841224000922398,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.133997077323952,0,0,0,0.125828785073032,0,0,0,0,0,0,0,0,0,0.210101917287062,0,0.0750492212282859,0,0,0.0695611034259092,0,0,0,0,0,0,0,0,0.153738934412775,0.0615442613841678,0,0,0,0,0
X601319.CH.EQUITY,0.105896881731791,0,0,0,0.00482173537477183,0,0,0.390774186170828,0,0,0,0,0,0,0,0,0,0,0,0.0313363128256818,0,0,0,0,0,0,0,0.136856089735785,0,0.0224191714020807,0,0.0333001416598902,0,0.368119420086273,0,0,0,0,0,0,0,0.0214951241363401,0,0,0,-0.0392053728819503,0,0,0,0,0.054206556376953,0,0
X601336.CH.EQUITY,0,0.00751774735726199,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0501480849878091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339793487665927,0,0.102694887654874,0,0.111279442504048,0.480175050305082,0,0,0,0,0.238272810180508,0,0,0,0,0,0,0.0427530588983401,0,0,-0.178485841310086,0,0
X601601.CH.EQUITY,0.319724750834196,0,0.0319472953282945,0,0,0,0,0.101089679836759,0,0,0,0,0,0,0,0,0,0.17230363120037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335037980257855,0,0,0,0,0,0,0,0.0921919829478985,0,0,0,0.036401941743696,0,0,0,0,0,0,0,0.0357010106740685
X601628.CH.EQUITY,0,-0.111066661653969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155147273412224,0,0,0,0.0585427110491172,-0.110088138801878,0,0,0,0,0,0.701583129224728,0,0,0,0,0.0601437895047861,-0.0760033517868777,0.14064917728078,0,0.018790206891089,0,0,0,-0.0122409552701093,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0,0,0.0126174816064486,0,0,0,0,0,0,0,-0.0270529592064237,0,0,-0.0244841866004021,0.197142648132458,0,0,0,0.114196723818508,0,0,0,0,0,0,0,0,0,0.0831854149357502,0,0,0,0,0,0,0,0.0489917043331076,0,0,0,0,0.196130223686538,0,0.127203255466314,0,0,0,0.104207572510503,0,0,0
