,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X002736.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X17.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,RealEstateDiff
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.152092757585715,0,0,0,-0.28776354871557,0,-0.251229605156404,0.227937252333927,0,0,0,0,0,0,0.42188126075885,0,0,0.217147241395331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127999384416214,0,0,-0.0979521731758766,0.142010517127257,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.00275621700430939,-0.0195680873971689,0,0.0599853412495579,0,0,0,0,0,0,0.164089660837017,0,0.538667110341683,-4.33680868994202e-19,0.141584922967249,0.0107045095338993,0,0,0,0.0194531643141851,0.0236566044239997,0,0,0.0231602989091864,0,0,0.0441448839796362,0,0,0,0,0,0.0620480016828533,0,0,0,0,0,0.0444394915290049,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.00959851228314781,0,0,0,0,0,0,0,0.116465963504815,0.508682917159383,0.118284774233469,0,0,0,0,0,0,0.112048266240689,0,0,0,0,-0.135249547026098,0,0,0.0464143721657897,0,-0.0200570140801075,0,0,0,0,0,0,0,0,-0.00234883675052348,0,-0.0531521465866359
X388.HK.EQUITY,0,0,0.207342583517149,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44165183092587,0.216544261176813,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,-0.023630887306508,0,0.0767211629005215,0,0,0,0,0,0.00868260535694155,0,0.164523968656333,0,0,0,0,0,0,0,0,0,0,0
X601318.CH.EQUITY,0,0,0,0,0,0,0,0,0.0204988804154779,0,0,0,0,0,0,0,0,0.0778444008241678,0,0,0,0,0,0.0295787364025252,0,0,0,0,0,0,0.0688340991962301,0.279600350080512,0.262838177511578,0.156742797795577,0.0242828828821292,0,0,0,0,0,0,0,0,0,0,0.109182167748246,0,0.037782519766214,-0.0106916653055519,0,0
X601319.CH.EQUITY,0,0.00288938341462458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26287915737557,0.610350733176153,0,0,-0.146439475780932,0,0.0141754131790865,0,0,0,0.089092217951364,0,0.0372900340739675,0,0,0,0,0,0,0,0,0,0.0303734439527385,0,0,0.00409768945776245,0,0,0,0.0046912043132963,0,0,0
X601336.CH.EQUITY,0.153910234561599,0.14453878167271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0736143595547205,0,0,0,1.38777878078145e-17,0,0,0.00098641246593301,0.253369827986298,0,0.198055485935039,0.0737980097436146,0.116801664009229,0,0,0,0,0,0,0,0.0162115016511301,0,0,0,0,0,0,0,0,0.0284096123489633
X601601.CH.EQUITY,0,0,0.032953147692703,0,0,0.0541374550326789,0,0,0,0,0,0.0486207177653551,0,0,0,0,0,0.0261315513326637,0,0,0,0,0,0,0,0,0,0,0.0596956598579769,0,0.239510731673084,0,0.18533150804015,0,0.0360402443548038,0,0,0.113138906816971,0,0,0,0,0,0,0,0,0,0,0,0,0
X601628.CH.EQUITY,0,0,0,0.0871338349637144,0,0,0,0.206315586673352,0,0.00647796727270587,0,0,0,0,0,0,0,0,-0.0928944244282904,0,-0.020783593435073,0,0,0,0,0,0,0,0.110719383201849,0.0306460534015239,0.426746090293006,0.183622015392692,0,0,0,0.0718676772115518,0,0,0,0,0.0158011422383923,0,0,0,0,0,0,0,0,0,0
X1299.HK.EQUITY,0,0,0.0330310184323148,0,0,0,0,0,0,0,0,0,-0.200401557999738,0,0,0,0,0,0.22251224800432,-0.0270580351997176,0,0,0,0,0,0,0,0.214633056470791,0,0,0,0,0,0,0,0,0,0.0545676606836519,0,0,0.117013537024222,0.0688294662285108,0,0,0.376568219958432,0.0669034007280858,0,0,1.73472347597681e-18,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0458157264232473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916876162725512,0,0,-0.0651878099992303,0,0,-0.174331629433793,0,0,-0.0743682693790586,-0.0649416838313321,-0.0451563919279313,0,0.0130176682418944,0,0
