,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X600030.CH.EQUITY,X601658.CH.Equity,X601066.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X000002.CH.EQUITY,X600000.CH.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X1109.HK.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X688.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X267.HK.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X1113.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X001979.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X601169.CH.EQUITY,X2881.TT.EQUITY,macro_return_add
X601998.CH.EQUITY,0.237643444958729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0146605973645168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441184434822693,0.0401036542589626,0,0,0.223390577923684,0,0,0.499606255250128,0,-0.0495484453264042
X300059.CH.EQUITY,-0.00907600107471681,0,0,0,0,0,0,0,0,0.27346429657513,0,0,0,0,0,-0.0218385439243755,0,0,0,0,0,0,-0.0847980932232305,0,0,0,0,0,0,0,0,0.018918179983128,0.523690949313489,0,0,0.107842771306729,0,0,0,0.0264073796773851,0,0,0,0,0,0,-0.0912017879229873,0.07133896320682,0,0,0
X688.HK.EQUITY,0.302666825450008,0,0,0,0,0,0,0,0,0,0,0,0,-0.271185446295515,0,0,0,0,0,0.0141449949979495,0.532620442496927,0,0.341182378267721,0.144167254924043,0,0,0,-0.0785924602083921,-2.71050543121376e-20,0,0.0274399279907993,0,0,0,0,0,0,-0.020182270100852,0,0,0,0,0,0,0,0,0,0,0,0.0210681631153464,-0.0114505533454492
X002142.CH.EQUITY,0,0,0,0,0,0.570366659595232,0,-0.33995507845456,0,0.12540742406607,0,0,0,0,0,0,0,0.158074216337834,0,0,0.0328889977644698,0.129270597476744,0,0,0,8.67361737988404e-19,0,0,0,0.133200630699481,0,0,0,0,0,0,0,0.201296352789421,0,2.16840434497101e-19,-0.236702730469055,0.0875493005794195,0,0,0,0,0,0,0,0.166211511506294,0
X2388.HK.EQUITY,0,0,0,0,0,0,0,0.0524049481601745,0.0445001508472252,0,0,0,-0.142148151712157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402780040953479,0,0,0,0,0.181371312442227,0,0,0,0,0.128604125620917,0,0,-0.13636880150006,0,0,0.118249830791863,0,0.354666518098825,0,0,0,-0.055626649074099
X11.HK.EQUITY,0,0,0,0,0,0,0,0.0781709265204692,0.43029634701077,0,0.0730675916176059,0,0,0,0,0,0,0,0.058505377096785,0.0319340019729045,0.0252935735861425,0,0.0112183006548585,-0.152778832497212,0,0.0885292880454895,0,0.137281674172397,0,0,0,0,0,0,0,0,0,0,0.00339522651488413,0,0,0,0,0,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0171949914278689,0,-6.93889390390723e-18,0,0.661564386744772,0,0,0,0,0,0,0,0,0,0,0.118136546267355,0.14257283095762,0,0,0.0134812734307041,0,0,0,0,0,0,0,-0.0894367867532605,0,0,0.117433154131277,0,0,0,0,0,0,0,0,0
X2007.HK.EQUITY,0,0,0.103729262891402,0,0,0,0,0.0814659967472692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229601454528386,0,0,0,0.0899517378130136,0,0,0,0.0309682614072849,0,0,0,0,0,0.105018733047944,0,0,0,0,0,0,0.306067734811747,0,0,-0.0750739055559236,0
X601818.CH.EQUITY,0,0,0,0.175203966724508,0,0,0.0947244845293886,0,0,0,0,0,0,0,0,0,0.0924516216257129,0,0.138876173609942,0,0,0,0,0,0.0411171346663726,0,0,0,0,0,0,0,0,0.0813558846401247,0,0,0,0,0,0,0.0400215361328792,0,0,0,0,0.0726569544589836,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0.0199393607910306,0,0,0.245266192131866,0,0,0,0,0,0,0,0,0,0.0225283012649342,0,0,0,0.140604405421833,0.0191485041278174,0,0,0,0,0,0,0,0,0,0.190751946165932,0.171709977498065,0,0.0853033855034572,0,0,0,0,0,0.00152720692833064,0.132100006601503,0,0,0,0,0
X267.HK.EQUITY,0,0,0,0,0.0442189310401062,0,0,0,0,0.0805202803747744,0,0,0.153275578517836,0,0,0,0,0,0,0,0,0,0.0113070277821659,0,0,0.0511766819373919,0.067447392795585,0.463183987511181,0,0,0,0.141229060934085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600999.CH.EQUITY,0,-0.048784910271533,0,0,-0.0539020213765808,0,0,0,0,0,0,0,0,0,0,0,0.462019249699587,0,0,-0.0515103160990818,0.193071754928429,0,0,0,6.93889390390723e-18,0,0,0,-0.480626146881973,0,0,0,0,0,0,0.567013313983716,0,0,0,0,0,-0.633839022567694,0,0,0,0.00106690869821262,0,0,0,0,-0.338257898664531
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.260500572837686,0.0143511935790414,0,0,0,0,0,0,0,0.0012449645761761,0.0693595526305341,0,0,0,0.0872436606209427,0,0,0,0,0,0,0,0.508130663729158,0,0.0378036906582821,0,0,0,0,-0.012769450032777,0.0402423929380077,0,0,0,0,0,0,0.0278247205675508,0,0,0
