,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X388.HK.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X601066.CH.EQUITY,X688.HK.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X600016.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X11.HK.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X1113.HK.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X823.HK.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X601229.CH.EQUITY,X000166.CH.EQUITY,X2881.TT.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X2886.TT.EQUITY,X600918.CH.Equity,macro_return_add
X000001.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0981457251627511,0,0,0,0,0,0,0,0,0,0,0.135172461051895,0,0.152116703107397,0.00408579609265204,0,0,0,0,0,0.378824346361226,0,0,0.0789608548805184,0,0,0,0,0,0,0,0,0.236172314682418,0,0,0,0
X600016.CH.EQUITY,0,-1.73472347597681e-18,0,0.10547871488556,0,0,0,0,0,0,0,0.343966871545071,0.116190075304568,0.0204420738698372,0,0,0.304558462457364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0798925005231885,0,0,0,0.00476272964235825,0,0,0
X601601.CH.EQUITY,0,0,0.769984037191057,0,0,0,0,0,0,0,0.00637216275221013,0,0,0,0,0,0.218227813766504,0,0.00148430562544405,0,0,0,0,0,0.146321291632248,0,0,0,0,0,0,0,0,0,0,0,0,0.267261387644893,0,-0.0482666984710007,0,0,0,-0.264382006034606,0,0,0,0,0,-0.12073613657679,-0.0155296408157795
X2388.HK.EQUITY,0,0,0,0,0,0,0.124599765340491,0,0,0,0.0270037032713588,0,0,0,0,0,0,0,0,0.0106405428826302,0,0,0,0,0.264431075960919,0,0.024580793787786,0,0,0,0,0,0.131759116019925,0,0.0138109197298982,0,0,0,0.0106485322702046,0,0.32701316037741,0,0,0,0,0,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0,0,0,0.310421608458606,0.202199187408921,0,-0.0138098674439071,0,0,-0.0463344695951045,0,0,0.0862936716865095,0,0,0,0,0,0,0.18865439289204,0,0,0,0,0,0,-0.0219556723296821,0,0.0501836869283923,0,0.0829457518530316,0,0,0,0,0.131620113265128,0,0,0,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0.345313477881837,0,0,0.0406956624032694,0,0,0.0461614654422142,0,0,0,0,0,0.294606099100716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108359676496257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167744252926843,0.0791251459679175,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0,0.196105346609391,0,-0.0569640791168308,0.124010538933222,0,0,0,0,0,0,0,0.122079493188326,0.251241468723108,0,0,0,0,0,0,0,0.227379089895223,0,0,0,0,0,0,0,0.0707668786092656,0,0,0,0,-2.16840434497101e-19,0,0.00761584150056599,0,0,0,0,0,0,0,0
X1109.HK.EQUITY,0.249666445809379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220982326241581,0.028879635411331,0,0,0,0,0,0.362584818616964,0,0,0,0,0,0,0,0.174846238133105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X2007.HK.EQUITY,0,0,0,0,0,0,0.106877929306118,0.0143044057044991,0,0,0,0,0,0,0,0,0,0.0643259230904877,0,0,0.0494290019691211,0,0,0,0,0.0512075752786726,0,0.374192458025126,0,0,0,0,0.0698880403633249,0.0388593832623764,0,0,0,0,0,0,0,0.0447410105725375,0,0,0,0,0,0,0.300731891300673,0,0.0589160172764057
X601818.CH.EQUITY,0.216321325605938,0,0,0.20458212466201,0,0,0,0.0185118823318887,0,0,0,0,0.314085912719921,0,0,0,0,0,0,0,0,0,0,0,0,0.108091178970421,0,0,-0.0807715202344269,0,0.0623020642823028,0,0,0,0,0,0,0.00459321895194089,-0.0153416785596747,0,0,0,0.0604856582239074,0.0267137351646971,0,0,0,0,0,0,0
