,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X2388.HK.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X002142.CH.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2881.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2883.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X601336.CH.EQUITY,0,0,0,0,0.027391730109521,0,0,0,0.118946757796267,0,0.0630604995467635,0,0,0.000176328107291524,0,0.108461260032128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153322045591614,0,0,0,0,0,0,0,-0.0641171605918448,0,0,0,0,0,0.240189054309397,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0339770414608745,0,0,0,-0.0579666009914234,0,0.0375123880079512,0,0,0,0.19310750178132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0637135148468633,0,0,0.436974384189082,0,0,0.271353900699876,0,0,0,0.132534340483421,0
X2886.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0337578368068741,-0.049459626862636,0,0,0,0,0,0,0,0,0,0.0728673432880735,0,0,0,0,0,0.0973253797277988,0,0,-0.0674057586344811,0,0,0,0,0,0,0,0.598992784133845,0,0.126647314088455,0.0845228627753101,0,-0.0156963118724213,0,0,0
X2892.TT.EQUITY,0,0,0,0,0,0.102991595786663,0,0,0,0,0.0289820617718616,0,0,0,0,0.0497680584555825,-0.0737246743612702,-0.0900888485027476,0,0,0,0,0,0.0203418244550344,0.126275994290057,0,0,-0.0275608610221518,0,0,0.202095755781305,0,0,0,0,0,0.136096998886378,0.140105276944844,0,0,0,0.0673791484835849,0,0,0.285307062006584,0,0,0,0.037684694990317,0
X2888.TT.EQUITY,0,0,0,0,0,0,0.023664640491611,0,0,0,0.0392843776759133,0,0.282285667958541,0,0.0409630826381053,0,0,0,0,-0.129723820308996,0,0,0,0,0.280377862480644,0,0,0,0.0420106392851581,0,0.0581492901785666,0,0,0,0,0,0,0,0,0,0.277472656295303,0.194053593538273,0,0,0.076503618907148,0,0,0,0,0
X2883.TT.EQUITY,0,0,0,0,-0.00362042195652173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347789796832811,0,-0.0354409083275655,0,0,0,-0.0628190068575234,0,0,0,0.237332936586383,0,0,0.032385149468533,0,0.306523001508188,0,0,0,0.168713633692946,0
X2880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10919987018246,0,0,0,0,0,0,0,0,0,0,0,-0.0155447460792344,-0.0511803295074302,0,0,0,0,0,0,0,0.0830052265588164,0.12135973127138,0.429061494831224,0,0,0,0,0,0.193975051827587,0.163778198963787,0,0,0,0
X601577.CH.EQUITY,0.604690550523877,0,0,0,-0.473067038001936,0,0,0,0,0,0,0,0,0.204938075567251,0,0,0,0,0,0,0,0,0,0.0605042236053162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160903620811741,0,0,0.31229534819874,0,0.0964016083592877,-0.0142352110546354,0,0,0
X601838.CH.EQUITY,0.156209008742186,0.0699546131649185,0,0,0,0,0.0539511629566016,0,0,0,0.0473904672421173,0,0,-0.0973672624262062,0,0,0,0.129967218335531,0,0,0,0,0.364502972304372,0.119611603757496,0,0,0.250122853951703,0,-0.0182799378325534,0,0,0.0638650806338369,0,0,0,0,0,0,0,0,0,-0.0300165533504404,0.14915522958682,0,0,0,0,0,0,0
X2884.TT.EQUITY,0,0,0,0,0,0,0,-0.0227118083582223,0,0,0,0,0,-0.00629656618926194,0.0127161389627986,0,0,0,0,-0.103495253968642,0,0,0,-0.0400551925840883,0,0,0,-0.0902019193912304,0.0909217720290447,0,0.0100312560679,0,0,0,0,0,0.321376952835203,0,0.392219778082475,0,0.186648882395709,0,0,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0.0460939568659777,0,0,0,0,0,0,0,0,0,0,0,0.546868377926384,0,0,0,0,0,0,0.205865985692886,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369702927221291,0,0,0,0,0,0.0623534252779799,0,0.187349594235418,0,0,0,0,0.0635571689006272,0,0.109371443636979
X600837.CH.EQUITY,0,0,0,0,0,0.0629620539327842,0,0,0,0,0,0,0.0657070890505922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203936687950037,0,0,0,0,0,0,0,0,0,0.147026656469479,0,0,0.0958505347978325,0,0.416508616153152,0,0.0952198677917249
X601211.CH.EQUITY,0,0,0,0,0,0.157904890025458,0,0,0,0,0,0,0,0,0,0.107418148895073,0,0,0,0,0,0,0,0,0,0,0,0.0235329506936137,0,0.0251212856872709,0,0,0,0,0.0224314516243494,0,0,0,0,0,0.145243830445878,0,0,0,0,0,0.0149762720942981,0,0,0.411386052873079
X2885.TT.EQUITY,0,0,0,0,0,0,0,0,0,-0.0687684063608117,0.271994230239348,-0.0155780515416788,0,0,0,0.164919190930253,0,0.421139845567888,0,0,-0.0582455783335558,0,0,-0.0612899676841476,0,0,0,0,0,0.0408483416528941,0.121018330943632,-0.106969282973309,0,0,0,0,0.186470969670444,0,0.183265045186949,0,0.44947086235468,0,0,0,-0.0410246328231434,0,0,0,0,0
X600999.CH.EQUITY,-0.0188665724757567,-0.0388434902751345,0,0,0,-0.0822118271321824,0,0.0327914688129384,0,0,0,0,0,0,0,0.483567170818613,0,0,-0.00449312754480401,0,0.0207589917158078,0,-0.060680742196544,0,0,-0.0422553803170912,0,0,-0.032805875145665,0,0,0,0,0,0.243943556094276,0,0,0,0,0,0,0,0,-0.0290716370122781,0.136207809780613,0.2154685511574,0,0.0471806660454095,0,0
