,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X267.HK.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X2881.TT.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X601838.CH.EQUITY,X2892.TT.EQUITY,X601577.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X11.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.209337559616494,0,0,0.0300404808868665,0,0,0,0,0.15289040619615,0,0.323793137871228,0,0,-0.0583240317075112,0,0,0,0,0,0,0.331699429064499,0,0,0.170835375231274,0,0,0.0796954683600654,0,-0.101258162100743,0,0,0.257634764724126,0,0,0,0,0,0,0,0,0.016660878851938
X2891.TT.EQUITY,0,0,0.152461621401397,0,0,0.0555466059725211,0,0.0347879918967463,0,0,0,0,0,0,0,0,0,0.129094743813531,0,0,0,0,0,0,0,0,0.208638379335602,0.0329528609828084,0.291847568249143,0,-0.245398801894664,0,0,0,0,0,0,0.181788418566333,0,0.0449919552488373,0,0,0,0,0,0,0,0,0.112043552355088,0
X600926.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.132692705851904,0.0405424358126009,0,-0.0593616055589151,0,0,0.102793641359537,0,0,0,0,0,0,0,0,0,0,0.1155713485469,0,0,0,-0.181587349561595,0,0,0,0,0,-0.074595355150309,0.30353305046757,0,0.0463896931747817,0,0,0,0,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.161910127250856,0,0,0,0,0,0,0,0,0.631199457014663,0,0.0101592636166229,0,0,0,0,0,-0.0164537510077319,0,0,0,0,0,0,0.111548654216929,0,0.106926942632041,0,0,0,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.237071059942458,0,0,0,0,0,0.224285039743586,0,0.295506863997364,0,0,-0.119115082711383,0,0,-0.0814705048561847,0.153737322167632,0,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0,0,0,-0.0818134758480343,0,0,0,0,0,0.0703477578995745,0,0,0,0.31863170343594
X601077.CH.Equity,-0.124269096669356,0,0,0,0,0,0,0,0,0,0,0,0,-0.0746414576683304,0.941103316362018,0,0,0,0,0,0,0,0,-0.129078003160853,0,0,0,0,0,0,0,0,0.0799542804742431,0,0,0,0,0.00484369406349869,0,0,0,0,0,0.00696481852574613,0,0,0,0.00945538581359565,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.250248276932745,0.0417087164450262,0,0,0,0,0,0,0,0,0,0.0679601095871396,0,0,0,0,0,0,0,0,-0.265828928497205,0,0,0,0,0.0991613473234274,0,0,-0.114151924454492,0,0.00429165085534162,0,0,-0.0148998483527183,0,0.619693311678773,0.0135670110482581,0,0,0
X601336.CH.EQUITY,0,0,0,0,0,0,0,0.266700976537034,0,0.0451018675648782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0770254500873376,0,0,0,0,0,0,0.256570937424415,0,0.0636669107539157,0,0,0,0,-0.100768111509752,0,0,0,0,0,0,0,0,0,0
X5880.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,-0.0266204344651274,0,0,0,0,0,0,-0.0334050431542154,0,0,-0.055306160536944,0,0,0,0.0638978859638503,0,0,0,0,0.114528984721155,0,0,0,0,0,0.419955459991873,0,0.316849979520035,0,0.0177514283471761,0,0.129054800396599,0.0625727315090212,0.131749024662624,0,0,0,0,0,0
X2886.TT.EQUITY,0,0,0,0.0698639075929506,0,0,0.0188176530210377,0,0,0,0,0,-0.178694193267654,0,0,0,0,0,0,-0.0318004820254756,0,0,-0.265425172434004,0,0,-1.73472347597681e-18,0,0,0,0.0361341549068611,0,0,0,0,0,-0.0262562545759848,0,0,0,0.0621021852130019,0,0,0.158949003078069,0.234556006619311,0,0,0,0,0,0
X601838.CH.EQUITY,0,0.0829239808709497,0,0,0,0,0,0,0,0,0.0443647806252749,0,0,0.067639091311062,0,0,0,0.158965168661297,0,0.300479913164591,0,0,0,0.0351333923247774,0,0,-0.278897530183462,0,0,-0.183760912389832,0.624012248259335,0,0,0.0571904354130892,0,0,0,0,0,0,0,0.109400224835997,0,0,0,0,0,-0.17561505980937,0.18244524623734,0
X2892.TT.EQUITY,0,0,-0.125863785080607,0,0,0.0180623386989777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.387150375632447,0,-0.463295181777842,0,0,0,0,-0.303225511697832,-0.0903829054433001,0.0605500408120713,0,0,0,0,0,-0.190598578543906,0.309452874187931,0,0,0,0,0.0304358704026219,0.606981660934585,0,0,0,-0.0123923477088905,0,0,0
X601577.CH.EQUITY,0,0,0,0,-0.1654669022788,0,0,0,0,0,0,0,0,0,0,0,-0.0583653521617868,0,0,0,0.356096030902237,0,0.133334756626171,0,0,-0.092793202051083,0,0,0.966659358852694,0,0,-0.224975435992826,0,0,0.0730186278462051,0,0,0,0,0,0,0,0,0,0,0.276004681882633,0,0,0,0.021107031747968
X2888.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.444004461088389,0,0,-0.110294626492145,0.10869913413849,0,0,0,0,0.459232106092765,0,0.185611103296796,0,0,0,0,0,0,0.329382967825047,0,0.00849218816645257,0,0,-0.0471835736566773,0.210871141369685,0.0566314106886922,0,0,0.10782756908211,0
X2880.TT.EQUITY,0.00367241244741038,0,0.0575398691712346,0,0.144969159436964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191516726897216,0.0286497180038602,0,0,0,0,0,0,0,0,0.203721988053293,0.372435010533866,0,0,0,0,0,0,0.141247463567436,-0.0735672318196317,0,0,0,0
X2884.TT.EQUITY,0,-0.0522211701172566,0,0,0,0,0,0,0,0,0,0,0,0,-0.112890928968895,-0.234923478234557,0,0,-0.123740444559794,0.18647906836037,0,0,0,0.157437964694266,0,0.39960398167666,0,0,0,0,-0.158426876340369,-6.93889390390723e-18,-0.0261517672589759,0,0,0,0.464436965465458,0.35842939212441,0,0,0,0,0,0,0,0,0,0,0,0
X2883.TT.EQUITY,0,0,0,0,0.128000378461569,0,0.0378751277646506,0,0,0,0,0,0,0,0,0,0.120025619793112,0,0,0.132464196449409,0,0,0,0,0,0,0.310068529777502,0.0167025673529234,0,0.100852233789409,0.0437604709691677,0,0,0,0,0,0,0,0,0,0,0,0.248425831250416,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0.0953825276585383,0,0.100081356676473,0,0,0,0,0.0768592260371544,0,0,0,0,0.202626866220079,0,0,0,0,0,0,0,0,0,0,0.03671661170622,0,0.0243086645820132,0,-0.0219699305363699,0,0,0.238109445259911,0,0,0,0,0,0.0859423027274405,0,0.0555057163245257,0.0704269833753674,0,0,-0.0912013409759928,0,0,0,-0.198131381184188,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0243667156230321,0,0.160671900870107,0,0,0,0,-0.0407092878091495,0,0,0,0,0,0,0.140305040211589,0.144656260511505,0,0,0,0,0,0,0.0542968993522327,0,0.183615652904007,0,0,0,1.73472347597681e-18,-0.00497822189079444,0,0,0,0,0,0,0,0.119247971676764,0,0
X601211.CH.EQUITY,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544564004800519,0,0,0,0,-0.0159499738658052,0,0,0,0,0,0,0,0,0.0235900207663475,0.00581058960048646,0,0,0,0,0,0,0,0,0,0,0,0,0.522807116000076,0,0,0
X2885.TT.EQUITY,0,0,0,0,0,-0.1528974801057,0,0,0.0730565626924746,0,0,-0.1215046066572,0,0,0.0386276044809657,0.324141580715283,0,0,0,0.116443587108497,-0.35652000581488,0,0,0,0,0,0,0,0,0.178975504319649,0,0,0,0,0,0,0,-0.0725623478706859,0.462145526900824,0,-0.361066378280422,0.755181692104914,0,0,0,0,0,0,0,0
X601997.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.113014089438797,0,0,0,0,0,0,0,0.104831717969597,0.00888981116992834,0,0.0674448932676922,0,0,0.0648150068690362,0,0,-0.0366616918643174,0,0,0,0,0,0,0,0,0,0,0,0.0557666900808947,0,0.2868323315704,0,0,0,0,0,0,0.260514831954308,0,0
