,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X267.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X600919.CH.EQUITY,X601229.CH.EQUITY,X1299.HK.EQUITY,X002142.CH.EQUITY,X601916.CH.Equity,X601601.CH.EQUITY,X2882.TT.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X601838.CH.EQUITY,X601577.CH.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2884.TT.EQUITY,X2883.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X601997.CH.EQUITY
X600919.CH.EQUITY,0,0,0,0.0695993363585451,0,0.243619194325102,0,0,0.0279683277204897,0,0,-0.0191642171062458,0,0,0,0,0,0.0246094584939893,0.124233572413457,0,0,0,-0.0193243257724057,0,0,0,0,0.28522925008202,0,0.0648672633748466,-0.0342633988307871,-0.059435172072445,0,0,-2.16840434497101e-19,0,0,0,0,0.256410346676058,0,0.021186878795469,0,0,0,0,0,0,0,0
X601229.CH.EQUITY,0.21137396487557,0,0,0,0,0,0,0,0,0,0.221198650306079,0.034092853943713,-0.116606324738253,-1.38777878078145e-17,0,0,0.019117668623071,0,0,0,0,0,0,0,0,0.292754820116564,0,0,0,-0.0732576333512359,0,0,0,0,0,0,0,0,0,-0.0783014230087317,0,0,0,0,0,0,0,0,0,0.316828700955854
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000415795943749672,0,0,0.0346402551856091,0,0,0.276428231447908,0,0,0,0.0528895344807131,0,0,0.061666795915342,0,0,0,0,0,0,0,0,0.180286028600949,0,0,0,0,0,0.0066041455687943,0,0,0,0.255848463839925,0,0,0.188975449739684,0
X002142.CH.EQUITY,0,0,0,0,0,0.201373013557465,0,0,0.242169675867383,0,0,-0.0467023466345822,0,0,0,0,0,0,0,0,0,0,0.088238129111556,0,0.104696705856241,0,0,0,0,0,0,0,0,0,0,0,-0.0990892867643022,0,0,0.167183291273595,0,-0.0444263245426765,0,0,0,0,0,0,0,0
X601916.CH.Equity,0,0,0,0,0,0,0,0.0223811722563947,0,0,0,-0.172512464272349,0,0.0944994213314705,0.584085218567244,0,0,0,0,0,0.0105128186389177,0,-0.00939208012733624,0.0167872392681654,0,0,0,0,0,0,0,0,0.29349287464406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,0,0.257397112643139,0,0.0142761809420249,0,0.153652982158757,-0.253787935521532,0,0,0.0249808928854448,0,0,0,0,0,0,0,0,0,0,0,0.0175860468719612,0,0,0,0.121666736329286,0,0,0.0608082898773131,0.474477799451997,0,0,0,0,0,0,0,0,0,0,0.163279417046208,0,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00617947907543435,0,0,0,0,0,0,0,0,0,0,0.436135150220299,0,0,0.0327190020474391,0,0,0,0,0,0,0,0,0.176711568814143,0.0781316862468813,0,0,0.0128883739361896,0,0,0,0.175944716282021
X601009.CH.EQUITY,0,0,0,0.164026858381042,-0.111719968850692,0,0,0,0,0.403536763304236,0,0.102280541381285,0,0,0,0,0,0,0,0,0.125292722675886,0,0,0.191133379018139,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211346442009355,0,0,0,0,-0.132055516203028,0,0,0,0,0,0,0
X2891.TT.EQUITY,0,0,0,0.03613159021717,0.0865610666478213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0935087507087672,0,0,0,0.0882203013395396,0,0,0,0,0,0,0.0283290370465267,0,0,0,0.338360889602408,0,0,0,0,0.119493133921434,0.311393449255035,0,0,0,0,0
X2881.TT.EQUITY,0,0,0,0,0.138769052436887,0,-0.110883550257776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330822320913876,0,0,0.0901143261114581,0,0.232091415277843,0,0,0,0,-0.0148725695738095,0,0,0,0,0,0,0,0.0698047835731466,0.146554731878249,0,0,0,0,0,0,0
