,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X601319.CH.EQUITY,X600000.CH.EQUITY,X11.HK.EQUITY,X388.HK.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X601066.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X002736.CH.EQUITY,X600999.CH.EQUITY,X2881.TT.EQUITY,X2886.TT.EQUITY,X000776.CH.EQUITY,X2891.TT.EQUITY,X300059.CH.EQUITY,X601881.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X600958.CH.EQUITY,X2884.TT.EQUITY,X2892.TT.EQUITY,X601901.CH.EQUITY
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.0589363037272221,0,0,0.0264177789598294,0,0,0.0255558086981047,0,0,0,0,0,0.175405748647942,0.132886602351352,0,0.0834969863203078,0.285135793471506,0,0,0,0,0.223464472572767,0,0,0,0,0,0,0,0.0457697842629485,0,0,-0.0568373260758763,0,0.0587804571265772,0,0
X000001.CH.EQUITY,0,0.167862087309303,0,0,0,0.1182325191087,0.0286993968496494,0,0.0640022080127698,0,0,0,0,0,0.0233412699575723,0.0461080070344815,0,0,0.00268975563420326,0,0,0,0.062446225245045,0,0,0,0,0,0,0,0.178148558351034,0.0873064501101096,0,0,0,0.108734791255309,0,0,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0.00868715682397746,-0.00826882736254133,-6.93889390390723e-18,-3.46944695195361e-18,0,0,0,0,0,0.20321646449934,0,0,0,0,0,0,0,0,0.639547469779337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331508047049713,0,0,0,0,0.156757163605232,0,0.0638648035777828,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0101798075393039,0,0,0,0,0,0,0.318741771455297,0,0,0,0,0,0.0580518686772824,0.0145884263335199,0,0,0,0,0,0,0.0409708659986087,0,0,0,0.228854867960061,0,0.0102453497631765,-3.46944695195361e-18,0,0,0.190251901843334,0,0.0168413513981918,0.145875309905313
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.15238089272574,-0.0238359021699051,-0.0640701009215209,0,0,-0.000907921467470299,0,0,0,0.189993784759918,0,0,0,0,0.0355573064397116,0,0,0,0.0369865139537553,0,0.05239131212634,0,0,0.0482418960183455,0.316428881334943,0,0,0.0997216084125934,0,0,0.0155933721198596,0.0836370322491359,0,0.0847084516225538,0,0,0.046515803155331
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.136364764526094,0,0,-0.140681987219462,0,0,0.1453601888576,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0638523630444981,0,0,0,-0.0697931350351021,0,0,-0.00676897107400726,-0.157267911638929,0.0362606917574733,0.4091302538612,-0.19496531501083,0,0,0,0.13492318781239,0
X601336.CH.EQUITY,0,0,0,0,0,0,0.11144652624261,0.110621638968118,0,0,0,0.204282860826616,0,0,0.101139449715121,0.0845641786677265,0,0,0,0.00444523591695263,0,0.276900680581809,0,0,0,0,0,0,0,0,0.0813269507265526,0,0,0,0,0,0,0,0,0,0,0.145399883197913,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0454314565252203,0.108850860100198,0,0,0,0,0.296700465571856,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281353106387987,0.110592581028811,0,0,0,-0.0115169064881415,0,0,0,-0.00179650019856516,0.296710166938559,0,0,0
X601229.CH.EQUITY,0.0311526560961376,0.140993436046336,0,0,0,0,0,0,0,0,0,0,0.270819646085799,0,0,0,0,0.00840646904310376,0,0,0,0,0,0,0,0,0,0,0,0,0,0.440148962388502,0,0,0,0,0,0,0,0.0665141071022817,0,0.103705631140056,0,0,0,0,0,0
X601169.CH.EQUITY,0,0,0,0.341802449306899,0,0,0.108598513931841,0.0237296958726846,0.105345413012471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0362514093972547,0,0,0.346598787350223,0,-0.0315655256996953,0.119935218717059,0,0.0305006811850805,0,0,0,0.172999415211196,0,0,0,0,0,0,0,-0.0604055254161351,0,0
X002142.CH.EQUITY,0,0,0,0,0,0.0364125680417482,0,0.157844326349145,0.0679431435243736,0,0,0.156338761687099,0,0,0,0,0,0,0,0,0,0.0800478253687431,0,0,0,0,0.129195014870251,0,0,0,0,0,0,0,0,0,0,0,0.140178347698004,0,0,0,0,0.171834823047448,0.12471711468218,0,-0.110565877919117,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.349384033539257,0,0.0450413112215263,0,0,0,0,0,0,0,0,0,0,0,0,0.153076676345304,0,0.139860344114618,0,0.0215007005345857,0,0,0,0,0,0,0,0,0,0,0,-0.1928179025203,0,-0.380316552864852,0,0,0,0,0,0,0,0
X000166.CH.EQUITY,0,-0.157533419134867,0,0,0,0,0,0,0,0,0,0.0137229499801641,0,0.0610884219717008,-0.00187595307966105,0,0,0.00684744638646039,0,0,0,0,0,0.112891400998819,0.0665764411341521,0,0,0.0125761276841383,0,0,0,0.015830519102598,0,0,0.0643397457992451,0.10641140991292,0,0,0.431040248609247,0,0.282203141926202,0,0,0,0,0,0,0.0734165810983853
X2882.TT.EQUITY,0.276221475050357,0,0,0,0,0,0,-0.0587591221225828,0,0,0,0,0,-0.016707288636653,-0.0708327548733122,0,0,-0.223967180626462,0,0,0,-0.194418570380388,0,0,0,0,0,0,0,0.0749191122529476,0,0,0,0,0.127524315788284,0,0.968952164390331,0,0,-0.114394102402253,0,0,0,0,0,0,0.114858669858293,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.112229691534859,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0725328419348974,0,0.1997801499723,0,0,0,0,0,0,0,0,-0.00141762486267836,0,0,0,0.0518020865480775,0,0,0.0315731337026468,0.52355407822193,0,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560424477446435,0,0,0,1.73472347597681e-18,0,0,0,0.246441407454891,0,0,0.0825066564039168,0.0219755684000761,0,0.000306731988568653,0,0.480604890199576,0,0,0,0,0,0,0,0,0,0.0317455616670606,0,0.115944561425234,0,0,0
X2881.TT.EQUITY,0.0991722794004668,0,0,0,0.0519742694971582,-0.139364853736873,0.162721391780593,-0.00284051607354739,0,0,-0.343913260259904,0,0,0,-0.226612292567627,0,0,-0.0539878470458371,0,0,0,0,0,6.93889390390723e-18,0,0.00893411719800463,0,-0.202463554464902,0.029409145870481,0,0,0,0,0.959274188693469,0,0.230230336323379,0,0,0,0.170780397396733,0.00993085216210028,0,0.117573063773305,0,0,0.0704970216716613,0,0
X2886.TT.EQUITY,0,0,0,-0.383040940416253,0,0,0,-0.122715312731295,0,0,0,0,0,0.32370947872423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120936975330017,0,-0.107260944439765,0,0,0,0.142450927643186,-0.100187918997352,0,0.320929131279468,0,0,0.0211286486539987,0.433960288591161,-0.241224025198828
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020111460599701,0,0,0,0,0,0,0.408315057488738,0.0273874160392793,0,0.0805025624466369,0,0,0,0,0,0.380942016080161,0,0,0.0706687648937518,0,0,0,0,0,0,0,0.10407228386291,0,0,0,0
X2891.TT.EQUITY,-0.0980351603747895,-0.000492739186274748,0,0,0,0.0415437245108301,0,0,0,0,0,-0.105244580180077,0.267930218934874,0,0,0,0,0.306815031806435,0,0,0,0,0.039451566831433,0,0,-0.0848343754717368,-0.0335030000379068,0,0,0,0,0,0,0,0,-0.187588356730684,0.346053509173264,0,0,0,0,0,0,-0.154270964890971,0,0,0,0
X300059.CH.EQUITY,0,-0.0161324805594773,0,0,0,0,0,0,0,0,0,0.22387147497134,0,0,0,0,0,0,0,0,0,0,0,0.0758049544705947,0,0.161657748136504,0,0,0,0,0,0,0.175567430671524,0.0455556455779093,0.201160532458157,0,0,0,0,-0.0384465707389427,0,0.178793402405877,0,0,0,0,0,0.107105736088982
X601881.CH.EQUITY,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.028802623025124,0,-0.0765096668748817,0,0,0,0,0,0,0.0429537609014505,0,0,0,0,0,0,0.324552664329005,0,0,0,0,0.107293773496891,0,0,0,0,0,0,0.0276387912598353,0.189655655207266,0,0,-0.0231583068231256,0.00404477200128216,0,0,0.234012762513602
X600919.CH.EQUITY,0,0,0,0.0844970267844213,0,0,0,0,0,0,0,0,0,0,0.116385845007186,0,0,-0.0665140772615982,0,0,0,0,0.0659059778320552,0,0.0868738920897584,-0.172485283870596,0,0,0,0,0,0,0,0,0.127665949874119,0.217894474298549,0,0.015658060161898,0,-0.0270790781609953,0,0,0,0.414329865180589,0,0,0,0
X601009.CH.EQUITY,0,0.0397426594068542,0,0,0,0,0.184100166616303,0,0,0,0.274191806972809,0,0,-0.0517129140524075,0,0,0.248135580930464,0.218302438102273,0,0,0,0.11698410144575,0,0,0,-0.0673923881629015,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,-0.0596350066632434,0,0,0.118363691813742,0,0,-0.0661989016192942,0,0
X600958.CH.EQUITY,0,0,0,0,0,0.0292873842802608,0,0,0,0,0,0,0,-0.0658130907115118,0,0,0,0,0,0,0.62716531071703,0,0,0,0,0,0,0.101141949341557,0,0,0,0,0.0218163225593029,0.0147063729893185,0.0615528090563734,0.1406143562823,0,0,0.00309394352860381,0,0,0,0,0,0,0,-0.0295529733414677,0
X2884.TT.EQUITY,0.358225481897512,0,0,0.132622790450054,0.0555488803856019,0,-0.104044800137837,0,0,0,0,-0.136155371708405,-0.2800256487436,0,-0.0322041002683677,0,0,0,0,0,0,-0.0546780870669963,0,0,0,0.281078015364507,0,0,0,0,0.176478746114874,0,0,0,0,0,0,0.238614634379832,0,0,0,-0.298226184362198,0,0,0,0,0.505688786737188,0.0270401413432064
X2892.TT.EQUITY,0,0,0,0,0,0.249703615050689,0,0,0.0409324275349519,0,0,0,0.253632683178163,0,-0.193174798297695,0,0,0,0,0,0,0,0,0,0,0.0649208075065191,0,-0.0540875322069862,0,0.0115773752994111,0,0,0,0,0,0,0,0.219959963021389,0,0,0,-3.46944695195361e-18,-0.130484401818203,0,0,0.480485805463628,0,0
X601901.CH.EQUITY,0,0,0,0,-0.0392826959266626,0,0,0,0,0,0,0,0,0,0,-0.1479282844866,-0.0779248429952034,0.0367910680153561,0,0,0,0,0,0,0,0,0,0,0.29734627062308,-0.0493989424409719,-0.0951798027705938,0,0,0,0.110205053366452,0,0,0,0,-0.203282576983508,0.128466456848122,0.37359519381487,0,0.0879338569357022,0,0,-0.0099920929731066,0
