,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X1299.HK.EQUITY,X2388.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X2882.TT.EQUITY,X601601.CH.EQUITY,X002142.CH.EQUITY,X601009.CH.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X2891.TT.EQUITY,X601319.CH.EQUITY,X600926.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X2883.TT.EQUITY,X601577.CH.EQUITY,X601838.CH.EQUITY,X2884.TT.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X2885.TT.EQUITY,X601211.CH.EQUITY,X601997.CH.EQUITY
X601916.CH.Equity,0,0,0,0,0.0830107801290163,0,0,0,0,0,0,0,0,0.100129595506533,0,0,0.0800959563832251,0,0.344097689850762,0.0430032647849032,0,0,0.0600988959622389,0,0,0,0,0,0,0,0,0,0.0512465806633716,0.0643239024338133,0,0.00145354604549995,0,0,0.1757104919911,0,0,0,0.0952741790197027,0.0818928230977944,0,0,0,0,0,0.190230038908777
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0233022416157676,0,0,0,0,0,0.319328089085185,0,0,0,0,0,0,0,0.247474764474834,0,0.00763946478388566,0.264151956525115,0,0,-0.00995564722545322,0,0.110894132658163,0,0,0,0,0
X601601.CH.EQUITY,0,0,0,0,0,0,-0.110616857402599,0.349415485937734,0,0,0,0,0.165772564898892,0,0.09968140315895,0.364179112633824,-0.115885881717762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0922432736738771,0,0,0,0,0,0,0,0.15641275125794,0,-0.0240385304489604,0,0,0,0
X002142.CH.EQUITY,0,0,-0.0706058384495348,0,0,0,0,0.0574574115839583,0,0,0,0,0.142485789406061,0,0,0,0,0.0584144213278439,0.296274325136607,0,0,0.199437523462767,0,0,0,0,0,0,0,0,0,0,0.211903379766329,0,-0.0570970885413784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601009.CH.EQUITY,0,0,-0.0568837726564716,0.0559017381141168,-0.0783038462274409,0,0,0,0,0,0,0,0,0,0,0,0,-0.0550364589525962,0,0.0984423786784448,0,0.272900214002749,0,0,0,0,0.137203825219857,0,0,0,0,0,0,0,0,0,-0.0633146365177046,0,0,0,0,-0.110755704253945,0,0,0,0,0,0,0.075366056094507,0.401263191787861
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00704862192138081,0,0,0,0,0.0500992638422828,-0.0355717067747724,0,0,0,0.327358798485429,0,0,0,0,0,0,0,0,0,0,0.0238982687209753,0.144190196835049,0.0491967615482412,0,0,0,0.25184209426161,0,0,0.018066237351124,0,0,0,0,0
X11.HK.EQUITY,0,0,0,0,0.329910344093396,0,0,0,0,0,0,-0.0979714571053192,0,0,0,0,0.155762672348306,-0.00427346994049543,0,0.257990843799144,0,0,-0.0876616198801823,0,0,0,0,0,0,0,0,-0.0190432823035582,-0.00131508204528426,0,0,0,0,0.129113148133413,0.153512797059032,0,0,0,0,0,0.00860645124209015,0,0,0,0,-0.0550851218390848
X2891.TT.EQUITY,0,0,0,0,0,0.14254639949656,0,0,0,0,0,0,0,-0.119590019314911,0,0,0,0,-0.0838057527812956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0847997443446536,0,2.16840434497101e-19,0,0.452416872381886,0,0,0.294243922991013,0,0,0,0,0.165239899471663,-0.05330448094691,0,0,-0.0457240772039625,0
X601319.CH.EQUITY,0,0,0,0,0,0,-0.0524809890074727,0.222327935835315,0,0,0,0,0,0,0,0.0524645901727953,0,-0.0322522842232833,6.93889390390723e-18,0,0.00236163824129687,0,0,0,0,0,0,0,0,0,0,0,0.219721097975564,0,0,0.15708892382376,0,0,0,0,0,0,0,0,0,0.187612722799191,0.165252342052481,0,0,0
X600926.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0150691302126607,0.112877567438968,0,0,0,0,-0.0265946914480587,0,0,0.0478622537738802,0,0,0.21658115911861,0,0,0,0,0,0,0,0.00495399740584278,0,-0.0198050900972467,0,0,0,0,0,0,0.486031940030158,-0.116149080583477,0,0,0,-0.131819346573555,0
X601077.CH.Equity,0,0,0,0,0,0,-0.102522806678874,0,0,0,0,0,-0.0895990639276242,0.100172544083204,0,0.0859239535169426,0,0,0,0,0.201064974607891,0,0,0.649926170802928,0,0,0,0,0,0,-0.147303899413714,0,0,0,0.027771662818229,0,0,0,0,-0.0550947331524196,-0.0312649323961484,8.67361737988404e-19,0,0,0,0,0.277790599918853,0,0,0
