,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X000001.CH.EQUITY,X600030.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X002142.CH.EQUITY,X300059.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X601818.CH.EQUITY,X601688.CH.EQUITY,X600999.CH.EQUITY,X601336.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X000166.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,X600015.CH.EQUITY,X601881.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601901.CH.EQUITY,X601788.CH.EQUITY,X2884.TT.EQUITY,X600919.CH.EQUITY
X601336.CH.EQUITY,0,0,0,0,0.304169745096584,0,0,0,0,0,-0.00424185280350907,0,0,0,0,0,0.14218255266903,0,0.0398392628345134,0,0,0,0,0,0,0,0,0,0,0.250052226060778,0,0.245323659433555,0,0,0.0756311428130156,0,0,0,0,0,0,0,0,0,0,0,0.115771309582662,0,0,0
X600837.CH.EQUITY,0,0,0,0,0.0549025328674401,0,0.0135624231496765,0,0,0,0,0,-0.104197876438422,0.17555932738951,0,0,0.0661400031287789,0,0,0,0,0,0.113314137378238,0,-0.0237831304079827,0,0.3182132671874,0,0,0,0,0,0,0.0183997380686367,0,0,0,0.0808428230736575,0,0.0963990909031785,0,0,0,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0.174969241985196,0,0.123172812862387,0,0,0,0.0852093747819839,0,0,0,0,0,0,0,0,0,0,0,0,-0.184552104616162,0,0,0.103923060014818,0,0,0,0,0,0.183804239830475,0,0,0,0,0,0,0.02637387362154,0,0.353541606466948,0,0,0,0,0,0.107764286664028,0,0
X267.HK.EQUITY,0.0982819052793899,0,0,0,0,0,0,0.163652599115472,0.237056255237191,0.026667181121264,0,0,0,0,0,0,0,0.0347267036399224,0,0,0,0,0,0,0,0,0,-0.198884949689853,0.294961890318387,0,0,0,0,0,0,0,0,0,0.145851222468034,-0.164385752343751,0,0,0,0,0,0.21920128295565,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0.0354282747923299,0,0,0,0,0,0.161885292700471,0,0,0,0,0.164766424028266,0,0,0,0,0,0.00882934424229041,0,-0.017883306566349,0,0,0,0.0590399580309919,0,0,0,0,0,0,0.0234725267438248,0,0,0,0,0.150051452540024,0,0,0,0,0,0,0.216072434943018,0.0790679050341031,0.178992107644541,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0875620594913639,0,0,0,0.261087169631622,0,0,0,0,0,0,0,0,0,0,0,0,-0.103516210428654,0,0,0,0,-0.014654233808281,0,0,0,0,0,0.172881918579508,0.216676527711846,0,0,0,0,0.53974014598798,-0.0873825158018638,0,0.0258544646424613,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0.10956374088018,0.0995937756643882,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888267117283722,0,0,0,0,0.348043655664426,0,0.297688846162258,0.0669335413024051,0,0.0773509184554558,0,0,0,0,0,0,0.169923317833024,0,0,0,0,0,0,0.134412360927914,0,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,-0.0574823388628826,0,0.206934057021283,0,0,0,0,-0.0307935404592941,0,0,0,0,0,0,0,0,0.231286727895213,0,0,0,0,0,0,0,0,0,0,0,0.0407381230823489,0,0,0,0,0,0,0.151965231633256,0.0347899107350516,0,0.305415411331781,0,0.153209080881083
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0297070316666161,0.124768514929738,0,0.0996399014112925,0,0,0,0.0342448265783142,0,0,0,0,0,0,0,0,0,0.0351418076087213,0,0.288679206473831,0.03518186844394,0,0,0,0.154670742033173,0,0,0.130060407263387,0,0.0816651529173147,0,0.0271923169279279,0,0,0,0,0.0980313440255838,0,0,0
X601169.CH.EQUITY,0.0330477758275994,0,0,0,0,0,0,0,0,0,0.108635591736663,0,-0.0263816370884092,0,0.119546350750753,0,0,0,0,0,0.153444081969187,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115890736054612,0.277484535206883,0.115065126715518,0,-0.0158334967815588,0,0.0993423648823979,0,0,0,0,0,0,0,0,0
