,X601398.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601318.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X267.HK.EQUITY,X600000.CH.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X601818.CH.EQUITY,X601628.CH.EQUITY,X000001.CH.EQUITY,X600015.CH.EQUITY,X601169.CH.EQUITY,X2388.HK.EQUITY,X1299.HK.EQUITY,X601229.CH.EQUITY,X600919.CH.EQUITY,X601916.CH.Equity,X002142.CH.EQUITY,X2882.TT.EQUITY,X601601.CH.EQUITY,X601009.CH.EQUITY,X2891.TT.EQUITY,X2881.TT.EQUITY,X11.HK.EQUITY,X600926.CH.EQUITY,X601319.CH.EQUITY,X601077.CH.Equity,X600030.CH.EQUITY,X601336.CH.EQUITY,X5880.TT.EQUITY,X2886.TT.EQUITY,X2892.TT.EQUITY,X2888.TT.EQUITY,X2880.TT.EQUITY,X601577.CH.EQUITY,X2883.TT.EQUITY,X2884.TT.EQUITY,X601838.CH.EQUITY,X600837.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X2885.TT.EQUITY,X600999.CH.EQUITY
X2880.TT.EQUITY,0,0,0,0,0,-0.125939753375914,0,0,0,0,-0.0514968520568593,0,0,0,0,0,-0.023173867653056,0,0,0,0.247788490007104,0.092841794547764,0.121733928981019,0,0,0,-0.104028994676723,0,0.0563958693126618,0.141011314251357,-0.0895996058980771,0,0,0,0,0,0,0.0361065449879429,0.247946865888057,0.0931903070106665,0,0,0,0,0,0,-0.0940077002749022,0,0.254559464450805,0
X601577.CH.EQUITY,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.330037033448743,0,0,0,0.199919018110794,-0.180317980188296,0.191591917243376,0,0,0,0,0.146848302688579,0,0,0,0.265088651748518,0,0,0,-0.0585714389092259,0,0,0,0,0,0,-0.237996598524651,-0.112739452386767,0.200167369431633,0,0,0,0.226171064488152
X2883.TT.EQUITY,0,0,-0.0558065790991933,0.117769332984483,0.110857442632723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0855683693760562,0,0,0.36532440532433,0,0,0,-0.0617014116897023,0,0,0,0,-0.0755619022135505,0,0,0,0,0,0,0,0,0,0.0413371895492495,0,0,0,0,0
X2884.TT.EQUITY,0,0,0,0.0198969004722368,0,0.122745228506734,0,-0.045315777923603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290376554016335,0,0,0.133374040723247,0.0126146654617102,0,0,0,0,0,0,0,-0.0600536424487261,0.404585039088285,0,0,0,-0.281484026563181,0,0,0,0,0,0.0504148304054266,0.106447075358255
X601838.CH.EQUITY,0,0,0,0,0,0,-0.150246794801293,0,0,0,0,0,0,0,0,0,0.266655964400311,0,0,0,0,0,0.224255325629519,0,0,0,0,0,0,0,0,0,0.324582398053025,0.405330728350639,0,0.0185648900128343,0,0,0,0,-0.0790961175474987,0,0.0267049998348877,-0.0171798830016557,0,0,0,0,0,-0.26869900969516
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.102721691284417,0,0,0,0,0,0,0,0,0,0.0512665778937947,0.0257899890199373,0.163647319399453,0,0,0,0,0,0,0,0,0,0,0,0.0542457231988041,0.15362061697204,0,0,0,0,-0.151572830303295,0,0,0,0,0,0,0.108987060612656,0.117168716369758,0,0.133396819556192
X601688.CH.EQUITY,0,0,0,0,-0.0152611737631409,0,0,0,0,0,0,0,0,0,0,0,0,-0.186455583240559,0,0,0,0,0,0,-0.0145483648760436,0,0.0207066478793604,-0.0137771442568749,0,0,0,0,0,0,0.435280103002816,0.0966791291716137,0,0,0,0.0339003699637825,0,0,0,0,0.0172941236396292,0.274886169706161,0,0.207515139778327,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168342628171332,0,0,0,0,0,0,-0.101719552824221,0.229848569491068,0,0,0,0,0,0,0,0,0,0.139670546725767,0,0,0,0,-0.0127266939201135,0,0,0,0,0,0,0,0.243479981391673,0,0,0.616234352151908
X2885.TT.EQUITY,0,-0.491390766815792,0,0,0,0,0,0,0,0,0.170028613694288,0,0,0,0,0,0,0,0,0.15189368850294,0.00454319371204259,0,0,0,0,0,0,0,0,0,0.130264930589097,0,0.387019414207057,0,0,0,-0.00582031005768245,0,0,0,0.48693847088348,0,0,0.137186924355708,0,0,0,0,0,0
X600999.CH.EQUITY,0,0,0,0.126763395453627,0,0.0441704021264973,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.0308927282826822,0,-0.140710501382575,0,-0.472107946853172,0.0698808475003392,0,0,0,0,0.268599907264639,0,0,0.0139751138541855,0,0,0,0,0,0,0,0,0,0.310704044942195,0,-1.73472347597681e-18,0
