,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600919.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X2892.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600958.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601881.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000069.CH.EQUITY,X267.HK.EQUITY,macro_return_add
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0338169926676432,0,0,0,0,0,0,0,0,0,0.0448114573139669,0,0,-0.108056790555854,0,0,0,0,0.347812114357117,0,0,0,0.0574217506117302,0.0640366266117748,0,0.00803124391544642,0.205369887240213,0.29131399634385,0.0865454467190646,0,0,0,0,0,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0.155010724279027,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0607736820494708,0,0,0,0.659836491094687,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0,0.0583981323755719,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102016979366063,0,0,0,0,0,0,0.111156508709968,0.0791402161633175,0.228395143411107,0.155032854144866,0,0,0.289313013221289,0,0,0,0,0.14379216503107,0,0,0,-0.049325719595868,-0.0144061594226135,0,0,0.0212369953868717,-0.0887915353698995
X300059.CH.EQUITY,0,0,0,0,0,0,0,-0.00227920413158697,0,0,0,0,0,0,0,0,0,0,0.20014291076175,0,0,-0.053272549058257,0,-0.167179397749372,-0.0577828037033096,-6.93889390390723e-18,0,0,0,0.287662228232221,0,0,0,0,0,0.089357476872009,0.254756638716546,0.177605454149151,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,-0.0290110229407127,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555377453340857,0,0,0.0402893651435157,0.0817106940591983,0.0455360779998667,0,0.212453835563392,0,0,0,0.0314305066629308,0,0.105877791736361,0.412910921462817,0.0178064472752643,0,0,0.0725880912890132,0,0,0,0,0,0.00460217465564723,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120984199382882,0,0.0567577270306813,0,0.331718285015079,0.25470067547269,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0517705484495536,0,0
X600958.CH.EQUITY,0,0,0,0,0,0,0,0.0118865791247921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102292366722321,0,0,0.0190758079229251,0.0921703168757374,0,0,0,0,0,0.213107393336261,0,0.363501766394923,1.73472347597681e-18,0.227732694755631,0,0,0,0,-0.0111473974866515,0,0,0,0,0,0.0665967344354759,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00345138833856848,0,0,-0.0586529876380615,0,0,0,0.0784839853420881,0.0941068653104475,0,0,0.439411081137375,0.0289092327629695,0.0726996279488761,0,-0.0597293753553497,0.319983231716811,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0110501268993584
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.203457478793021,-0.151135045229644,-0.118304960046845,0,0,0.210789307797031,0,0.170328672819056,0,0.143499625977621,0,0,0,0,0,0,0,0,0.351566901162431,0,0.102066966101213,0,0,0.0621421548923936,0,0,0,0.229739801874242
X601211.CH.EQUITY,0,0,0,0.0626836635724813,0,0,0.0152800878694185,0,0,0,0,0.0734238464453526,0,0,0,0,0,0,0,0,0,0.029157503111602,0,-0.0220448468953755,0.0741684568217825,0.160128896175736,0,0.117889503566373,0,5.28893845933338e-05,0.236331635273425,-1.73472347597681e-18,0.364717272962122,0,0,0,0,0.00306449577251981,0,0,0,0.0398932113572021,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0.0178453843566149,0,0,0,0,0,0.0733985857186917,0.0305603152141623,0,0,0,0,0,0.11056719938261,0,0,0.067110526300497,0.518771151537848,0.0405426923702942,0,0.0688400943713153,0,0,0,0,0.00867225172827806,0,0,0.0648515615618861,0.0423906905341491,0,0,0,0,0,-0.0144634647314833,0
X601881.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0505007509750739,0,0,-0.0138356737374513,-0.0354354451412072,0,0.141844370637701,0.112156331264204,0,0.251676490947236,0,0.315635229852959,0.0305180207229896,0,0.00354115555071436,3.46944695195361e-18,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.107291961357082,-0.0624151141373479,0
X388.HK.EQUITY,0,0,0,0,0.0242577052076801,0.0365671621014348,0,0,0,0,0,0,0,0,0,0,0,0,0.18435450313271,0,0,0,0,0,0,0,0,0,0.0935906063667643,0,0,0,0,0,0,0,0,0,0,-0.0454446449992877,0,0.172565835059179,0.230616341842262,0,0,0,0.13706336508417,0,0
X601318.CH.EQUITY,0,0,0,0,0,0.064847753362523,0,0,0,0,0.261456501809139,0.0576944236785061,0.104913691404517,0,0.0981809614705423,0.0258732986126938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252915149697891,0,0,0,0.0936697680792547,0,0,0
X601319.CH.EQUITY,0,0,0,0,0,0,0.0402678473168054,0.240252771510492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0782146022457011,0,0,0.0575393219658411,0,0,0,0,0.344468815675668,0,0,0,0.504399433170553,0,0,0.0682294655420477,-0.105099194496297,0,0,0,0,0,-0.400975569577634,0,0,0,0,0
X601336.CH.EQUITY,0.316555775067796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824988590341928,0,0,0,0,0,0,0,0.222165072628299,0.157345672071157,0,0,0,0,0.0670109314768503,0.211451680322184,0,0.0301691782148416,0,0,0
X601601.CH.EQUITY,0.0492093175255061,0,0,0,0,0.16363653809146,0,0,0,0,0,0,0,0.208507880438936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0308435452734807,0,0.329943198741157,0,0,0,0,0.0913086904775894,0.127838090579436,0,0,0,0.00336220037156768,0,0,0.050132045933217,0,0,0
X601628.CH.EQUITY,0,0,0,0.230354724191263,0,0,0,0,0.133395811561241,0.106179595506473,0,0.0287445878056692,0,0,0,0,0,0,0,0,0,0,0,0,-0.0119037981380145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964985088303098,0,0.273771137928956,0,0,0,0,0,0,-0.0115601259880802,-0.012327305324877
X1299.HK.EQUITY,0,0,0,0,0,0.277780644447926,0,0,0,0,0,0,0,0,0,0,0,0,0.181708447400285,0.0130495601246819,0.102314631970056,0,-0.140333205313716,-0.0282302923917257,0,0,0,0,0,0,0,0,0,0,0,0,0.415358907824509,-0.12590482882701,0,0,-0.0963527642189742,-0.0470521835990851,0,0,0,0,0,0,0.0796526201404726
X2881.TT.EQUITY,0,0,0,0,0,0,0,-0.037185643049371,0,-0.0220572867075097,0,0,0,0,0,-0.0630149100107608,0,0,0,0,0,0.174834239616906,0.16938125050119,0,0.0224564008378659,0,0,0,0,0,0,0,0,0.102192104351958,0,0,0,0,0,0,0,-0.0360696019814735,0,0,0,0.501560234113639,0,0.181760607959379,0
X2882.TT.EQUITY,0,0,0,0,0,-0.183516119538387,0,-0.0227029350022031,0,0,0,0,0,0,-0.240800931412618,0,0,0,0.173832096783396,0,0,0,0.012718446257659,0.257793786433033,0.139103267839537,0,0.115321753479359,0,0,0,0,0,0,0.0855039685928685,0,0,0,0.15472210819615,0.000761394168111367,0,0,0.163110740137855,0.295791130898365,0,0.384059600574522,0,0,-0.312685475802615,0
X000069.CH.EQUITY,0,0.0735738066742303,0,0,0,0.509582235495825,0,0,0,0,0,0,0,0.0430828415174547,0,0,0.267437396877377,0,-0.0227366095132211,0,0,-0.177038233935902,0.329699025817936,0,0,0,-0.178676876668296,0,0,0,0,0,0,-0.0492507078522905,0,0,0.312841045293933,0,0,0,0,0,0,0,0,0,0,0,0.0669908216514813
X267.HK.EQUITY,0.914344121009678,0,0,0,0,0,0,0.201133745710608,0,0,0,0,0,0,0,-0.0695154614870176,0,0,0.264366437011266,0.36854204524384,0,0.224258596299258,-6.93889390390723e-18,0,-0.117710977177503,0,0.0843852867951055,0.0795090136878547,0,0,0,0,0,0,0,0,-0.0170608954229885,0.312688014961494,0,0.0369571465015356,-0.598899159928592,0,-0.546845253488323,-0.0605975814489559,0,0,0,0,0
macro_return_add,0,0.12462207132688,0,0,0.370113920048743,0,0,0,0,0,0,0,0,0,0,-0.0377196964879475,0,0,0,0,0,0.101967908805148,-0.218850331311445,0,0,0,0,0,0,0,0,0,0,0.0847891921122977,0,0,0,0,-0.367657304427879,0,0,0,0,0,0,0.0106976252075936,-0.098435887385366,0,0
