,X601398.CH.EQUITY,X601939.CH.EQUITY,X601318.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X600030.CH.EQUITY,X16.HK.EQUITY,X388.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X600016.CH.EQUITY,X11.HK.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X601601.CH.EQUITY,X2388.HK.EQUITY,X267.HK.EQUITY,X601066.CH.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X12.HK.EQUITY,X601211.CH.EQUITY,X823.HK.EQUITY,X002142.CH.EQUITY,X001979.CH.EQUITY,X600837.CH.EQUITY,X1113.HK.EQUITY,X601229.CH.EQUITY,X300059.CH.EQUITY,X2882.TT.EQUITY,X601336.CH.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X600999.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X2886.TT.EQUITY,FXI.US.EQUITY,VXFXI.INDEX
X601066.CH.EQUITY,0,0,0,0,0,0.0334467498958424,0,0,0,0,0,0,0,0,0,0,0,0,0.0238188767223135,0,0,0,0,0,0,0,0,0.083985181513804,0,0,0,0,0,0,0,0,-0.0878218125987417,0.314084245680686,0,0,0.200712066342674,0.0711642234839867,0,0,0,0,0,0.414277141223341,0,0.101770520967135,-0.137961208281039,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0845410113384048,0,0,0,0,0,0,0,0,0,0,0,0.290520583724992,0,0,0,0,0.217680898408754,0,0,0.0969448524773072,0,0,0.424056729836855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601818.CH.EQUITY,0,0,0,0,0,0,0.00804077167698923,0,0,0,0,0.434255955125092,0,0,-0.00871473961420311,0,0,0,0,0,0,0,0.608851477939831,0,0,0,-0.0264191289270276,0,0,0,0,0,0,0,-0.0266713246823723,0,0,0,-0.0400076901160051,0,0,0,-1.38777878078145e-17,0,0,0,-0.043794405822167,0,0,0.0245145575761,-0.0472089615459796,0
X600048.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284244490562415,0,0,0,0,0,0,0.0129628361779287,0.119240520580214,0,0,0,0,0,0,0,0,0,0,0,0,0.0250255706645786,0.100219173225128,0.0961044899335972,0,0,0.139055659339691,0,0.140958624874348,0,0,0,0,0,0,0,0,-0.0484346718532954,0
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606451193519117,0,0,0,0,0,0,0,0.310769498525559,0,0,0,0,0,0.102574487382404,0,0,0,0,0,0,0,0,0.0811079361884587,0,0.0373103282078196,0.182248253062389,0,0.17624557806627,0,0.031262881714252,0.000883032659545631,0,0,0,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0.130776859612929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133339661868319,0,0,0,0.0195049063922131,0,0.276283415654061,0.120843466349964,0,0.0234511279057429,0,0,0,0.178626194161628,0,0,0,0,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0.020902508100202,0,0.0158872149311099,0,0,0,0,0,0.100780541281224,0.111472916757252,0,0,0,0,0.0542828592460701,0,0,0,0,0,0,0,0,0.0482536868459985,0,0,0,0,0,-8.67361737988404e-19,0,0.617863130694397,0,-0.0133937863168183,0.0369295675288271,0,0,0,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.370686510831675,0,0,0,0.208746037515632,0,0,0,0,0.0291436361638828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0.136824443885622,0,0,0.19450510227724,0,0,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0.0539750915010634,0.183176272788455,0,0,0,0,0,0,-0.0631219991206108,0,0.216803340182058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0577034091212708,0,0.303785197638096,0,0,0.106663681168233,0,0,0,0,0,0,0,0,0.114815470792634,-0.0278321476891387
X002142.CH.EQUITY,0.103696728111599,0,0.136906564869922,0,0,0,0,0.0953825464867223,0,0.151614193771394,0,0,0,0,0,0,0,0.25541391053122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0923175827228339,0,0,0,0,0,0,0,0,0,0,0,-0.0816126038173427,0
