,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601628.CH.EQUITY,X601288.CH.EQUITY,X600036.CH.EQUITY,X601988.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X601166.CH.EQUITY,X600030.CH.EQUITY,X000001.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X601601.CH.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X300059.CH.EQUITY,X002142.CH.EQUITY,X11.HK.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X688.HK.EQUITY,X2007.HK.EQUITY,X601688.CH.EQUITY,X601336.CH.EQUITY,X600999.CH.EQUITY,X600837.CH.EQUITY,X601211.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X000166.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X001979.CH.EQUITY,X601229.CH.EQUITY,X000776.CH.EQUITY,X823.HK.EQUITY,X601169.CH.EQUITY,X2881.TT.EQUITY,X600918.CH.Equity,FXI.US.EQUITY,CN2YR
X267.HK.EQUITY,0.189735405099158,0,0,0,0,0.17965708403656,0,0,0,0,0.157442119324926,0,0,0,0,0.0250796242773207,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,-0.0598157092108786,0,0,0.113946358230533,0.172952789091286,0,0.025413296209869,0,0,0,0,0,0,0,0.216478113483165,0,0,0,0,0.0804165205018663,0,0.0921952105013916,-0.212308867701573,0,0
X002736.CH.EQUITY,0.12547515094585,0,0,0.133628011101261,0,0,0,0,0,0.0282062501166761,0.0544733755980009,0,-8.67361737988404e-19,0,0,-0.0433445876678406,0.10222681366432,0,0,0,-0.0375177675631372,0,0,0,0.0381985725165441,-0.0415749420486383,0,0,0,0,0,0,0,0,0.220109581740025,0,0,0,0,0.173547621899855,0,0,0,0,0,0,0,0,0.0323371035670208,0.106053696145261,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0.148929840021943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476835657942732,0,0,0,0,-0.0387089511684314,0,0,-0.00678093798869199,0.0715881459134722,0,0.358876678013203,0.284650051526966,0.178878946160018,0,0.015527671886848,0,0,0,0,0,0,0,0,0.0778983331167806,0,0.0952748557553426,0,0
X2882.TT.EQUITY,0,0,0,0,0,0,0,0,0,0.0667918229922887,0,0,0,0,0.114065918451574,0,0.196074127220724,-0.0854656594167761,0,0,-0.265628113448984,0,0,0,0,0,0,0,0.0554599299366198,0,0,0.0673656552734675,0,0,0,0,0,0,0,0,0,0,0.0977183291075572,0,0,0,0.17671979245125,0,0.729134673894077,0,0,0
X12.HK.EQUITY,0,0.0203818270597589,0,0,0,0,0,0.362814792133549,0,-0.172561402661506,0,0,0,0,-0.0622888050143092,0,0,0.221659322230873,0,0,0.553035783773498,0,0,-0.0473681183446981,0,0,0,-0.0275462896595307,0,0,0,0,0,0,0,0,0,-0.0337753876541964,0,0,0,0,0.0158364318193445,0,0,0,-0.148526780826355,0,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.33260063574805,0,0,0,0,0,0,0,0,0,0.0883687815300596,0,-3.46944695195361e-18,0,0.295283044374999,0,0.956138399798638,0,0,0,0,0,-0.655176160314744,0,0.351725734972454,0.0616390399342635,0,0,0,0,0,0,0,0,0,-0.00879753993177092
X001979.CH.EQUITY,0,0,0,0,0,0,0.0876911651281078,0,0,0,0,0.124383812569973,0,0,0.154482942085982,0,0.0915260999474599,0.178025922661467,0,0,0.0565562197761759,0,0,0.0643031363384197,0.172589386830015,0,0,3.46944695195361e-18,0.0790591635185338,0,0,0.0382854139566906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.371200932262755,0.23540517234787,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0.0451052187463739,-0.191868783852324,0,0.344286392473732,0,0,0,0,0.169276463986581,-0.157305504850888,0,0.135338240828621,0.0104498934727887,0,0,0,0.0491990026687271,0,0,0,0,0.306265108317616,0,0,0,0,0,0,0,-0.194445582367275,0,0,-0.144042595430385,0,0,0,0,0,0,0.331531859444942,0,0,0,0
X000776.CH.EQUITY,0,0,0,0.0673137405942244,0.0323784475443165,0,0,0,0,0,0.209573719298124,0.0261340692642785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0332766534354706,0,0,0,0,0,0,0,0.30979451458837,0,0,0,0.198877881600206,0,0,0,0.0384920649084405,0,0,0,0.111355651117818,0,0.124314368320765,0,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0,-0.152646149201989,0,0,0,-0.159417689706108,0,0,0,0,0,0,0,0.285206225655097,0,0,-0.126933335814113,-0.114306972736827,0,-0.0665188932353116,0,0,0,-0.226332342923562,0,1.38777878078145e-17,0,0,0,0,0.13303447467028,0,0,0.211327379698538,0,0.266649305316359,0,0.464662597214171,0,0,0,0,0,0,-0.224788595462308
