,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601328.CH.EQUITY,X601166.CH.EQUITY,X11.HK.EQUITY,X16.HK.EQUITY,X600000.CH.EQUITY,X601319.CH.EQUITY,X000002.CH.EQUITY,X2388.HK.EQUITY,X601601.CH.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X388.HK.EQUITY,X601998.CH.EQUITY,X600016.CH.EQUITY,X600030.CH.EQUITY,X2007.HK.EQUITY,X000001.CH.EQUITY,X1113.HK.EQUITY,X1109.HK.EQUITY,X601818.CH.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1997.HK.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601336.CH.EQUITY,X601688.CH.EQUITY,X600837.CH.EQUITY,X601229.CH.EQUITY,X601169.CH.EQUITY,X002142.CH.EQUITY,X600015.CH.EQUITY,X000166.CH.EQUITY,X17.HK.EQUITY,X2882.TT.EQUITY,X600999.CH.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,FXI.US.EQUITY,CN2YR
X2007.HK.EQUITY,0,0,0,0.0507041057052969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0627503448053207,0,0,0,0,0,0.0238455616604276,0.180301436209065,0,0,0,0,0,0,0,0,0,0.474563058105737,0,0,0,0,0,0,0.160537661255547,-0.0934777421057159,0,-0.0365851227349975,0,0,0
X000001.CH.EQUITY,0,0.121943531147351,0,0,0,0.104930813385533,0,0,0.0520624486114375,0,0,0,0,0,0,0,0,0.150582440677452,0,0,0.0157618058373755,0,3.85146581638749e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188223465915299,0,0,0,0,0.213118376156514,0.0536669987114879,0,0.00303223429100456,0,0,0,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,-0.132082881711299,0,-0.389764329715352,0.217487899229773,0.301166038243339,0,0,0,0,0,0.0873643178986188,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.0555505341456384,0,0,0,-0.0218454416135718,0,0,0,0,0,0,0,0,0,0.269272068341841,0.0139863949842426,0,0,0,0,0,0.0588975343688445
X1109.HK.EQUITY,0,-0.112690286413156,0,0,0.138328735404186,0,0,-0.0513481375604252,0,0,0,0,0,0,0,0,0.163729492437576,0,0,0.127629845699462,0.0146576299282352,0,0,0,0,0,0.104738830698827,0,0,-0.0904402523888897,0,0.149198021384887,0,0,0,0,6.93889390390723e-18,0,0,-0.0302856140635556,0,0,0,0,0.0122455151226818,0,0,0,0,0,-0.0683141768717917
X601818.CH.EQUITY,0,0,0,0,0,0,0.279720801649296,0,0,0.143793795916756,0,0,0,0,0,0.0396409001828199,0,0,0,0,0,0,0.267013688843242,0,0.0646926511639227,0,0,0.119420383103369,0,0,0,0,0,0,0,0,0,0,0,0.0673301324916477,0,0,0,0.020289954505022,0,0,0,0,0,0,0
X12.HK.EQUITY,-0.417257549272614,0,0,0,0.0840523004190012,0,0.0714166984365007,0,0,0,0,0,-0.0566427994655494,0,0,0,-0.157907446338831,0,0.0983938985774425,-0.211410008941213,0,-0.204402482900742,0,0,0.161378595624639,0,0.404814937898648,0,0.465036368495658,0,0,0.168340471845343,0,0.159122269632888,0,0,0,0,0,0,0,0.186236687872662,0,0,0.12660563628772,0,0,0,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0.130126042274444,0,0,-0.0423452443784187,0.168691824456973,-0.261332912957083,0,0,0,0,0.080099713658877,0,0.191769176078724,0,0,0,0.151004213392712,0,0.150235721681967,0,0,0,0,0,0,0,0.117855232413424,0,0,0,-0.00350199991507813,0,0,0,0.00336607002898617,0,0,-0.159406171551401,0,0,0,0,0
X001979.CH.EQUITY,0,0,0,0.240766503098275,0,0,0,0,0,0,0,0,0,0,0.0416971671639332,0.401754769155159,0,0,0,0,0,0,0,0,0,0.0791031004551297,0,0,0,0.0342135500391374,-0.0201296418289295,0,0,0,0,0.0102625142724966,0,0,0,0,0,0.0650786011289846,0,0,0,0,0,0.0610432729897382,0,0,0
X600048.CH.EQUITY,0.22975211355132,0,4.33680868994202e-19,0,0,0,0,0,0,0.110289201124984,0,0.0197390228702424,0,0,0,0.589011375264552,0,0,0,0.131795706667753,0,0,0,0,0.121447213428855,0,0,0.0117126527042732,0,0,-0.0314260000358329,0,0,0.0188928743308555,0,0,0,0,0,0,0,0,0,0,-0.0206094632966407,0,0,0,0,0,0
X1997.HK.EQUITY,0,0,0,0.697158515236308,0.0835750891959691,0,-0.102860305134983,0,0,0,-0.382229071874135,0,0.29013521861778,0,-0.0323586892158187,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0.0168757432549262,0,0,0.0398978041782436,0.223846987183651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0450513723526878,0,0,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0.0110928550060773,0,0,0,0,0,-0.0978653169747262,0.734641330221757,0,0.0270269056550191,0,0,-0.0328396410880736,0,0,0,0,0,0,0,-0.137902628859855,0,0,0,0,0,0.145604842561138,0,0,0,0,0,0,0,0,0.167983737795875,0.124484291903714,0,-0.0852809297128181,0,0,0,0,0
X601211.CH.EQUITY,0,0,0,0.0447245142904034,0,0,0,0,0,0,0,0,0.0719732626388283,0,0,0,0,0,0,0,0,0,0,0.0345828271725113,0,0,-0.0611994254092297,0,0,0.0876896978610381,0.0124746269520925,0,0,0,0,0,0,0,0.0862703870951086,0,0.0498638773783198,0,0,0.0732851214619177,0,0,0.293160468999952,0.108824116540849,0.231778019836052,0,0
X601336.CH.EQUITY,0,0,0,0,0,0,0,0.0950918320160319,0.0637578798726779,0,0,0,0,0,0,0.0832817785366089,0,0,0,0,0.0496843129663456,0,0,0,0,0.343734810661671,0,0,0,0,0,0,0,0,0,0,0,0.286733126087076,0,0,0,0,0,0,0,0,0,0.0795186745135487,0,0,0
X601688.CH.EQUITY,0,0,0,0.0821802631169278,0,0,0,0.0141315721157394,0,0,0,0.0295262638999278,0,0,0,0,0,0,0,0,0,0,0,0.528161832769873,0,0,0.02121929926259,0,0,0,0,0,0,0,3.88151817224541e-05,0,0.0642779331492059,0,0.146987368338124,0,0,0,0,0.175702763780891,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547459632534733,0,0,0,0,0,0,0,0.115195605673764,0,0,0,0,0,0,-0.0329206610950117,-6.93889390390723e-18,0,0,0,0.133454338577926,0,0,0,0,0,0,0,0.0196107133508448,0,0,0.0807349594074928,0.0827133550892496,0.266113725313683,0,0
X601229.CH.EQUITY,0.104823099608914,-3.46944695195361e-18,0,0,0,0,0.055101948608383,0,0,0,0,0,0.0209748505392699,0.418208961447163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203292479360051,0,0,0,0,0,0,0.31134223823439,0,0,0,0,0,0,0,0.0260458290829204
X601169.CH.EQUITY,0,0,0,0.0877331067917006,0,0.117024454050052,0.0492651846068837,0,0,0.100006788254666,0,0,0,0,0,0,0,0,0,0,0,0.0534833747045216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00320375339504865,0,0,0.320958023791928,0,0,0.0937274067951673,0,0,0.134657844191309,0,0,0,0,0
X002142.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,-0.0890763036105256,0,0,0,0,0,0,0,0,0,0,0.111050135302462,0,0,0.334788020765665,0,0,0,0,0,0.051062101711172,0,0,0,0,0,0,0.231973849632196,0.0162135151253308,0,0,0.090581095530006,0,0,0,0.0725984177314401,0,0,0,0
X600015.CH.EQUITY,0,0,0,0,0,0,0.254642358144861,0,0,0,0,0,0,-0.0599111588588665,0,0,0.118610845248655,0,0,0,0,0.312249340551223,0,0,0.0980954518003,0,0,0.0828086210785766,0,0.00740635477153253,0.0228590025382622,0,0,0,0.223253296898103,0,0.104563982704079,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1071688597037
X000166.CH.EQUITY,0,-0.00928383002021057,0,0,-0.021746102523459,0,0,0,-0.0624198586825884,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145978237948746,0,0,0,0,0,0,-0.0247367223014357,-0.0023506087184844,0,0,0,0,0.0945102642554983,0,0.438699276049489,0.0880558982217314,0,0,0,0,0,0,0,0,0.0949205271166358,0.461798222264984,0,0
X17.HK.EQUITY,0,0.12889279105166,0,0,0,0,0,0,0,0,0,0,0,0,-0.0818713105510554,0,0.0835415528527901,0,0,0.246603025764572,0.0689285604024082,-0.0384840620364143,-0.0960714826694893,0,0.0127237247618516,0,0.00457814001211992,0.0400048607934404,0,0,0,0,0,0,0,0,-0.0566802967619468,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0.0668726323906669,0,0,0,0
X2882.TT.EQUITY,0,0,-0.191372421553994,0,0.208615274668588,0,0,0,0,0,0,0.0964481983626819,-0.208229375294974,-0.112426628498468,0,0,0,0,-0.329158500017512,0,0,-0.27251418539925,0,0,0,0,0,0,0,0,0,-0.112728333432,0,0,0,0,0,0,0,0,1.0943643159688,-0.380071013601082,0,0,0,0,0,0.116721778100388,0.121402078045442,0,0
X600999.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.345314940300525,0,0,0,0,0,0,0.0256255910424471,0,0,0,0,0.197671403129984,0,0,0.128565902751298,0,0,0,0,0.0543677982392833,0.00151219067848135,0,0,0,0.252531127937204,0,0
X002736.CH.EQUITY,0,-0.0496749726990282,0,0,0,0,0,0,0,0,0,0,0,0,0.178341854870996,0,0,0,0,0,0,0,0,0.0825833817337654,0,0,0,0,0,0.120708884622011,0,0,0,0.0125089085503213,0,0.0929478704917193,0,0,0.518637926507842,0,0,0,0,0.0517992509207411,0,-0.012779618884849,0,0,0,0,0
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415330036138593,0,0,0,0,0,0.373970331130372,0,0,0.104031502108245,0,0,0,0
FXI.US.EQUITY,0,0,0,0,0.03121262643679,0,0.294019768357165,0,0,0,0,0,0,0,0,0.653050455852315,0,0,0,0,-0.574431653644685,0,0,0,0,0,0,0,0,0,-0.134406568593149,0,0.284939067364065,0,-0.375415784562469,0,0,0,0,0,0,0.140397518497697,0,0,-0.11020637050762,0,0,0,0,0,0
CN2YR,0,0,0,0,-0.0635064556336745,0,0.0562447491414218,0,0,0,0,0,0,0,0.0186521212875093,0,0,0,0,0,-0.181803819719319,0,0,0,0,0,0,0,0,0.0696528714042983,0,0,0,-0.201720422439625,0,0,0,0,0,0.144299155791455,0,-0.234554682378385,0.38831811227689,0,0,0,0,0,0,0.185686745914846,0
