,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X601988.CH.EQUITY,X601628.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601658.CH.Equity,X600030.CH.EQUITY,X601166.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X601319.CH.EQUITY,X000001.CH.EQUITY,X601601.CH.EQUITY,X16.HK.EQUITY,X600016.CH.EQUITY,X688.HK.EQUITY,X601998.CH.EQUITY,X11.HK.EQUITY,X300059.CH.EQUITY,X2388.HK.EQUITY,X1109.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X600048.CH.EQUITY,X601818.CH.EQUITY,X002142.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X1113.HK.EQUITY,X601336.CH.EQUITY,X000166.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X600999.CH.EQUITY,X12.HK.EQUITY,X2882.TT.EQUITY,X600918.CH.Equity,X601229.CH.EQUITY,X823.HK.EQUITY,X002736.CH.EQUITY,X000776.CH.EQUITY,X2886.TT.EQUITY,X2881.TT.EQUITY,FXI.US.EQUITY,CN2YR
X600837.CH.EQUITY,0,0,0,0,0,0.00562519358794736,0,0,0,-0.0219401381593036,0,0.159813220569162,0,0,0.0890055872556762,0,0,0,0,0,0,0,0,0,0.126466349098322,0,0,0,0,0,0,0,0,0.521755801061225,0,0.0389439658196554,0.0706187685241439,0,0,0,0.039063689563318,0,0,0,0,0,0,0.0200330563828044,0,0,0,0
X001979.CH.EQUITY,0,0,0,0,0.0857568740212091,0,0,0,0,0,0,0,0,0.0159973817297273,0,0.763342939977028,0.117549792146735,0,0.00170491864604245,0,0,0,0,0,0,-0.0477896040165416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0732791610672515,0,-0.0409401514870899,0,0,0.0795130479863148,0.0492707090743677,0,0.0366431231149831,0,-0.0386323636873896,0
X600999.CH.EQUITY,0,0,0,0,0,-0.280054731474095,0,0,0,-0.0486338115597892,0,0,0,0.0130502355574051,0.350546429306994,0.754540505856048,0,0,0,-0.0427617961214572,0,0,0,0.117958728657088,0,0,0,0,0,0.0563804630133614,0.192523855026967,0,0,0,0,0,0,1.38777878078145e-17,-2.77555756156289e-17,-0.942654304936538,0,0,0,0,0,0,0,0,0,0,0,0
X12.HK.EQUITY,-0.178971194740328,0,-0.136162406319904,0,0,0,0,0.125634226621959,0,0,0.535057254230651,0,0,0,0,-0.0652802814192286,0,0,0,0,0.538844095908932,0.0190304242623735,0.139394326588588,0,0.158179121264544,0,0,0,0,0,0,0,0,0,0,0,0,-0.0501197016118387,0,0,0,0,0,0,-0.0622973298996673,0,0,0,0,0,0.0391934143246631,0
X2882.TT.EQUITY,0,0,0,0,0.0198448276834517,0.0977848286644422,0,0,0.198105585219638,0,0.152584761106198,0,0,0,0,0,-0.350610261112732,0,0,0.147920803419716,0,0,0.302057285606898,0,0,0,0,0,0,-0.0929164249547029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115963364325647,0,0.552998230687961,0,-0.0935377586859947
X600918.CH.Equity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359475347898046,0,0,-0.0774028925919498,0.0464853164609337,-0.139153191829809,0.140823655581177,0,0,0.167419978667213,0.103567469476326,0,0,0,0,0,0,0,0,0,0.236389718383906,0.0804349858337539,0,0,0.092345159371454
X601229.CH.EQUITY,0.768611824612213,0,0,0,0,0,0,0,0.469730065299701,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,-0.241829573432989,0,-0.171781142067659,0,0,0,0.143569132583185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0745451895434511,-0.0196818340787227
X823.HK.EQUITY,-0.000874259931934333,0,0,-0.0476297745693628,0,0,0,0,-0.135285847860942,0,0,0,0,0,0,0,0,0,0,0,0.519729843435739,0,0,0,0,-0.042725265870231,0.257595920496103,0,0.0182728056257591,0,0,-0.057528802914662,0,0,0,0.163103941966336,0.135840089655516,0,0,0,0,0,0,0,0,0,0,0,0.2351970017218,-0.0493052724105499,0.117833276716065,-0.187809313494486
X002736.CH.EQUITY,0,0,0,0,0.149090176429317,0,0,0,0,0,-0.0852190553666884,0.473858326023474,0,0.111960398899772,0.0319556997210265,0,0,0,0,0,0,0,0,0,0,0,0,0.0274961436243421,0,0,0,0,0,0.342416677211201,0,0,0,0,0,0,0,0,1.73472347597681e-18,-0.0178967452683021,0,0,0,0,-0.108053502332801,-0.0254847316173568,0,0.117225254989662
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.471252480311276,0,0,0.0232924873536316,0.245027631574374,0,0,0,0.0279464827968094,0,0,0,0,0,0,-0.114691106955618,0.28294059600717,0.0378271259942698,0,0,0.0626892547227632,0,0,0.0305756642808325,0,0,0,0,0,0,0,0,0,-0.0223672306120273,0
X2886.TT.EQUITY,0,0,0,0,0,0,0,0,0.0908585250774858,0.0292515171882612,0,0,0,0,-0.313101219899457,0,0,0,0,0,0,0,0,0,0,0.0427562257302612,0,0,0,0,0,0,0.317111368504921,0,0,0,0,-0.0291595569129199,0,0.166319226962091,0,0,0.300974110432229,0.0842943258720006,0,0,0,0,0,0.229150881702498,0.108024562994018,0.0421941369314957
X2881.TT.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.213211631267375,0,0,0,-0.0186065635175204,0.108446808958451,0,0,0,0,0,0,0,-0.127288126418127,0,0,0,0,0,0,0.809024456172346,-0.0179198275864992,0,-0.000894402850180387,0,0,0.0429191666525349,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0,0,0,-0.157626626043147,0,0,0,0,0,0,0,0,0,0,0,0.0114758751553235,0,0,0.0645522816544723,-0.0127665470569575,0,0,0,0,0,0,-0.08449300257984,0,0,-0.136489093348316,0,0,0,0,0,0,0,-8.67361737988404e-19,0.141897564921395,0.200557713166674,0,0,0.175072013528137,0,0,0
CN2YR,-0.0150203661963614,0,0,0,0.0737885868457124,0,0,0.512470050364151,0,-0.0838546847507198,0,0,0,0,0,0,0,0,0,0,0,0,-0.0648279388452623,-0.0563081724391682,0,0,0,0,0,-0.20388722846622,0,0,0,0,0,0,0,0,0,0.0849460677244176,-0.103452818295536,0,-0.139747994842495,0.179540305031812,0,0,0,0,0.0857722572176819,0,0,0
