,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X600036.CH.EQUITY,X601288.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601988.CH.EQUITY,X5.HK.EQUITY,X388.HK.EQUITY,X601166.CH.EQUITY,X601658.CH.Equity,X000001.CH.EQUITY,X600030.CH.EQUITY,X601601.CH.EQUITY,X000002.CH.EQUITY,X601328.CH.EQUITY,X601066.CH.EQUITY,X300059.CH.EQUITY,X600000.CH.EQUITY,X16.HK.EQUITY,X601319.CH.EQUITY,X11.HK.EQUITY,X002142.CH.EQUITY,X2388.HK.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X601818.CH.EQUITY,X600999.CH.EQUITY,X2007.HK.EQUITY,X1109.HK.EQUITY,X600048.CH.EQUITY,X601688.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X688.HK.EQUITY,X601336.CH.EQUITY,X267.HK.EQUITY,X002736.CH.EQUITY,X2882.TT.EQUITY,X12.HK.EQUITY,X1113.HK.EQUITY,X000166.CH.EQUITY,X823.HK.EQUITY,X600918.CH.Equity,X000776.CH.EQUITY,X2881.TT.EQUITY,X601229.CH.EQUITY,X1997.HK.EQUITY,X001979.CH.EQUITY,FXI.US.EQUITY,CN2YR
X16.HK.EQUITY,0,0,0,0,0,0.0381436399771573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769914249455183,0.070001286668704,0,-0.0433511162444779,0,0,0.0417410224314424,0,0.0463449779719877,0,0,0,0,0,0,0,0.223458994964488,0.522425848167212,0,0.0521462616342806,0,-0.492882968687495,-0.0876781417684347,0,0.0908978873944146,0,0,0
X601319.CH.EQUITY,0,0.0575820718906395,0.153715552923287,0,0,0,0,0,0,0,0,0,0,0.205736116615057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0660288304308024,0,0.040076690407609,0,0,0.100026195673666,0,0,-0.0523573696531281,0.00181284557941074,0,0.00165848743557209,0.0733520802348764,0,0,0,0,0,-4.33680868994202e-19,0,0
X11.HK.EQUITY,0,0,-0.0798729874739813,0,0,0.0638664847627993,0.103837737439827,0,0.586972324928926,0,0,0,0,0,0,0,0,0,0,0,0.0462530074291146,0,0,-0.035411469597787,0.0455027752365129,0,0,-0.0240607979115061,-0.0609338486350666,0,0.0375584153724494,0,0,0,0,0.140476205006226,0,0.128531970999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002142.CH.EQUITY,0.0259245211297986,0,0,0.0631502431506515,0,0,0,0,0,0,0.0172028178696792,0,0.348194069087961,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000387348059465503,0.0857611722883901,0.0187563282619696,0,0,0,0,0,0,0,0.270076902848207,0,0.0381978610621117,-0.00460583950222076,0,0,0,0,0,0,-0.0788576296999722,0.0200577658770629,-0.013240834603897,0,0,-0.189617164454474
X2388.HK.EQUITY,0,0,0,0.0902571929301655,0,0,0,0,0.127815396317088,0,0,0,0,0,0,0,0,-0.213160206157871,0,0,0.191706665754789,0,0.455605861549463,0,0,0.0866829472355028,0,0,-0.0286783201379772,0,0.0665698524423576,0,0,0,0,0,0,0,0,0,0,0,0,0.0411076336873398,-0.0494042649232741,0,0,0,0,0.0780502105524897,0,0
X600016.CH.EQUITY,0,0.2140690067049,0.147419413882775,0.00654634538588647,0,0,0,0,0,0,0,-0.158809031366265,0,0,0,0,0.209003571703535,0,0,0,0,0.145740746919977,0,0,0.0219696822608041,0,0,0.181276456122713,0,0,0,0,0.472273184932565,0,0,0,0,0,0,0,0,0,-0.130778092682059,0,0,0,-0.0895990671137504,0,0,0,0,0.115216251800786
X601998.CH.EQUITY,0,0,0,0,0.136208415866962,0.176505156779454,0,0.279766020880383,0,0,-0.114263715963868,0,0,0,0,0.166766335512358,0,0.129617632983326,0,0.110031314951339,0,0,0,0,0,0,0,0.274481549813958,0,0,0,0,0,0,0,0,0,0,0,0,-0.134251005880143,0.109456311211939,0,0,0,0,0.0485027005414875,0,0,-0.100176682124606,-0.0182143883985777,0
X601818.CH.EQUITY,0,0.304239284244724,0,0,0,0,0,0,0,0,0.0873535867355035,0,0,0,0,0,0,0,0,0,0,0,0,0.167801412516838,0,0,0.264172389650193,0,0,0.0298208581619884,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048559047636094,0,0,0,0,0.0863473412349902,0,0,-0.121968509415211
X600999.CH.EQUITY,0,0,0,0.116444908208607,0,0.0818918567511751,0,0,0,0,0,-0.094393751951136,0,0,0,0,0,0.0774548553872016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376058344006028,3.46944695195361e-18,0,0,0,0.0927292266702685,0.184246986710506,0,0,0,0,0,0,0,0,0.0206449144876005,0,0.0331813756341601,0,-0.0519786134012068
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.0320662953656686,0.0553636718305816,0.15317663268219,0.100801451011581,0,0,0.25020044321541,0,0,-0.167311785312115,-0.11818279132337,0,0,0,0,-0.097387777767926,0,0,0,0,0,0,0.0569740411337986,0,0,-0.0517146079316714,0.239521201219931,0,0,0,0,0,0,0,0,0,0,0.147203424646721,0,0,0,0,0
X1109.HK.EQUITY,0,-0.177128326826574,0,0,0,-0.00113517559559698,0,0,0,0,0.095151071762572,0,0.146831247840335,0,0,0,0,0,0,0,0,0,0,0.116185718432874,0.163043486814496,0,0,0,0,0.00546530685437194,0,0,0,0,0,0.226489617525624,0,0.0651656927428665,0,0,0,0,0,0,0,0,0,0,0.0648083370652701,0.120051428190388,0,0
X600048.CH.EQUITY,0,0,0,0,0,-0.0257706295164462,0,0,0,0,0.0745406858750744,0.182792045118308,0,0,0,0.329417444033366,0,-0.181257407377266,0,0.231315880150126,0,0.185203024930857,0,0,0,0,0,-0.211483846285533,0,0.0617383049938526,0,0,0,0,0,0,0.195697460950967,0.117153643305266,0,0,0,0,0,0,0,0,0,0,0,0.219967506028528,0.0498403019828204,0.0123217209665724
X601688.CH.EQUITY,0,0,0,-0.0312474041471902,0,-0.0575697589923101,0.0675199278551503,0,0,0,0,-0.131509667662569,0,0.316917139490016,0,0,0,0,0,0,0.0229605646884214,0,0,0,0,0.335170045575,0,0,0,0,0,0,0,0.456447720646774,0,0,0.0540976802663611,0,0,0,0,0,0,0,0,0,0,0,0,0.00456237119195411,0,0
X601211.CH.EQUITY,0,0,0,0.0289155068128911,0,0,0,0,0,0,0,0,0,0,0,0,0.250362290670011,0,0.0489330438036649,0,0,0.00614075464386691,0,0,0,0,0,0,0,0,0,0,0.319974602090933,0,0,0,0.00543963780647016,0,0.0658404001845391,0.0246770510612049,0,0,0,0,0.0291065520177043,0.0558249495696975,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,-0.124945059954832,0,0,0,0,0,0,0,0,0.254775249487844,0,0,0.102227353181558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143333885535398,0,0,0,0,0,0.0556371439757193,0,0.198574355991552,0,0.124520656416011,0,0,0.0430231167894095,0
X688.HK.EQUITY,0.58194958953616,0,0,0,0,0,0,0,0,-0.0216946071340215,0,0,0,0,0,0,0,-0.432907455689179,-0.004420695950717,-0.0201071204105759,3.46944695195361e-18,0,0,0,0,0,0,0,0,0.140704708611899,0.404144775206097,0,0,0,0,0,0,-0.138050635491227,0,-0.0611154381066638,0,0,0,-0.0687921845013465,0,0,0,-0.066192245857161,0,-0.211449438942854,0,-0.243064006108226
X601336.CH.EQUITY,0,0,0,0,0,0.0995168046554322,0.479057956990588,0,0,0,0.0610845506981785,0,0.018944696902805,0,0.115374867328076,-0.0974049293887406,0,0,0,0,-0.00720126456266681,0.272104745669222,0,0.000879983888430433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0855951406293455,0,-8.67361737988404e-19,0,0,0,0,0.069026221550151,0,0
X267.HK.EQUITY,0.148127771176798,0,0,0,0,0.183463760308792,0.195587968113801,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035220467924755,-0.114411278271272,0,0,0,0,0,0,0.16458116129068,0,0.0703439022457474,0,0,0,0.0670108990541802,0,0,0,0,0,0.499497280486929,0,0,-0.441214467227793,0,0,0,0,0,0,0,-0.0446450331835768
X002736.CH.EQUITY,0,0,0,0,0,0,0,0,0,0.210591798661594,0,0,-0.0655756208501862,0,0,0,0,6.93889390390723e-18,-6.93889390390723e-18,0,0,0,-0.158046701640515,0,-0.0167238680701367,0,0.0676367804026597,0,0.185624685452449,0,0,0,0,0.217721139704326,0,0,0,0,0,0,0,0,0.104174687051671,0,0.263304470416971,0,0,0,-0.249210610079051,0,0,0
X2882.TT.EQUITY,0,0,0,8.67361737988404e-19,0,0.311814379365455,0,0,0,-0.0574910385344361,0,0,0,0,0,0,0.0852568628130632,0,0,0,0,0,0.031632098746424,0,0,0,0,0.0225723075882221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00859487728256786,0,0,0.519047515282339,0,0,0,-0.00226705662095501,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0.138602364310735,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0463689339465188,0,0,-0.108239106790693,0,0.0104304931545746,0.0152177461172436,0,0,0,0,0,0.0801307159046463,0,-0.0328616550633436,0,0.414892995552675,0,0,0.0514394850591907,0,0,-0.0253335315448666,0,0,0.225757761058143,0
X1113.HK.EQUITY,0.063273063848923,0,0,0.0453612573140165,0,0.0462178697467229,0,0,0,0.0749545568020244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132232924712298,0,0,0.012423230951521,0,0.0260509382346131,0,0,0,0,0,0,0,0,0,0.245839207167606,0.0563651042246605,0,0,0.0935393315229795,-0.0352013504334406,0,0.0542207178302795,0,0,0,0,0
X000166.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0819318655100694,-2.77555756156289e-17,0,0,0,0,0.280601058977197,0,0,0,0,0,0,0,0,0,0,0,0,0.00423625792326763,0,0.338061104803738,0.104465908675488,0,0.0639628516095095,0,0,0,0,0,0,0,0.313468241662122,0.0433432347899409,0,0,0,0,0,0
X823.HK.EQUITY,0,0,0,0,0,0,-2.71050543121376e-20,0,0.0885868475065808,0.023537371162191,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,-0.138248514256869,0.0955923997920792,0,0,0,0,3.46944695195361e-18,0,0.00314348934460526,0,-0.300706315260439,0,0.0455478080126892,0,0,0,0,0,0.149668720754777,0.350913731821037,-6.93889390390723e-18,0,0,0,0,0,0,0,0,-0.125922318622792
X600918.CH.Equity,0.0461182128533794,0,0,0.0250794441164825,0,0,0,0,0,0,0,0,0,0.0411863045786175,0,0,0,0.0373797672499927,0,0,-0.169747788335043,0,0,0,0,0,0,0,0,0,0,0,0,0.393000876329609,0,0,0,0,0,0,0,0,0.115279156970766,-0.045798909538305,0,0,0,0,0,0,0,0.034648577494514
X000776.CH.EQUITY,0,0,0,0,0,0,0,0,-0.0392466713901015,0.0398772235150731,0,0,0,0.0220423239501357,0,0,0,0,0.368191258596277,0,-0.137377463876008,0,0,0,-0.0309114587237249,0,0,0,0,0,0,0,0,0.209119112739916,0,0,0,0,0.0965300645723349,0,0,0,0.0714919942216282,0,0,0,-0.0487039978221378,0,0.0932879906885913,0,0,0
X2881.TT.EQUITY,0,0,0.158176799949684,0,0.0227972134229343,0,0,0,0.110188470906841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151740917218061,0,0.202523693280746,0,0.542986142827383,0,0,0,0,0,0,0,0,0.00367035735899844,-0.0741872789390989,0,0
X601229.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186962132321717,0.131388450434602,0,0,0.657798758154085,0.17160288829643,0,0,0,0,-0.0280585991068892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1997.HK.EQUITY,0,0,0,0,0,0.0621054142993231,0,0,0,0.224467775486877,0,0,0,0,0,0.0308507811411168,-0.00955049616062148,0,0.0983113600697249,0,0,0,0,0,0,0,0.0409811582920674,0.132421183361113,0,0.135930067752304,0,0,0,0,0,0,-0.191477408085523,0,0,0,0.110353319568656,0,0,0,-0.289447779545153,0.271699124437314,0.0254475020874432,0,0,0,0,-0.213148093706885
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351231776750647,0,0,0.402328546664251,0.216906136458483,0,0,0,0,0,0.0139324434310245,0,0,0,0,0,0,0,0,0,0.172880228565644,0,0,0
FXI.US.EQUITY,0,0,0,0,0,0,0.016195623182861,-0.203295576821768,0,0,0,0,0.184175699494865,0,0.0785914704310944,0,0,0,0,0,-0.183312503141621,0,0,0,0.038867282074264,0,0,0,0,0,-0.214117133868125,0,0,-0.16557836666968,0,-0.192059007656899,0,-0.0389692113392404,0,0,0.450080301871477,0,0,0,0,0,0,0,0.0624678467940648,0,0,0
CN2YR,0,0,0,1.38777878078145e-17,0,-0.303782892576748,0,0,0,-0.233631106576169,0,0,-0.0158941869828619,0,0,0,0,0,0,0,0,0,0,-0.365336711272067,0,0,-0.00462923311967172,0,0,-0.0353920608419657,0,0,-0.0782333577910743,0.208457606800396,-1.38777878078145e-17,0,0,0,0,0,0.203504821853193,0,0,0,0.0160046928712044,0,-0.0510596649589131,0,0,0,0,0
