,X601398.CH.EQUITY,X601318.CH.EQUITY,X601939.CH.EQUITY,X601288.CH.EQUITY,X5.HK.EQUITY,X601988.CH.EQUITY,X600036.CH.EQUITY,X1299.HK.EQUITY,X601628.CH.EQUITY,X601658.CH.Equity,X601328.CH.EQUITY,X601166.CH.EQUITY,X600000.CH.EQUITY,X000002.CH.EQUITY,X388.HK.EQUITY,X16.HK.EQUITY,X601601.CH.EQUITY,X11.HK.EQUITY,X000001.CH.EQUITY,X601319.CH.EQUITY,X688.HK.EQUITY,X2388.HK.EQUITY,X600030.CH.EQUITY,X600016.CH.EQUITY,X601998.CH.EQUITY,X267.HK.EQUITY,X1109.HK.EQUITY,X601066.CH.EQUITY,X2007.HK.EQUITY,X601818.CH.EQUITY,X600048.CH.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X823.HK.EQUITY,X601688.CH.EQUITY,X002142.CH.EQUITY,X601211.CH.EQUITY,X600837.CH.EQUITY,X001979.CH.EQUITY,X2882.TT.EQUITY,X601229.CH.EQUITY,X601336.CH.EQUITY,X1997.HK.EQUITY,X601169.CH.EQUITY,X600015.CH.EQUITY,X2881.TT.EQUITY,X600999.CH.EQUITY,X000166.CH.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,FXI.US.EQUITY,CN2YR
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0.130695349079371,0,0,0,0,0.272347904997871,0.0413009677941472,0.0102123770307786,0,0,0,0,0,0,0,0,0,0,0,0,0.273805042379908,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.260033049571343,0,0,0,0,0,0,0,0,-0.183291145409723,0,0,0
X2388.HK.EQUITY,0,0,0.144329135560033,0.06114886200892,0,0,0,0,0,0,0,0,0,0,0,0.0672458485012121,0,0.341905837825051,0,0,0,0,0,0.0256151535583924,0,0.0583510120630529,0,0,0.0221679778740482,0,0,0.0994028655913157,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.104399386423564,0,0,0,0,0,0,0.0434269379515504,0,0
X600030.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135253922914391,0,0,0.133201641800529,0.0327840590990111,0.33573944282934,0.0993576756230685,0,0,0,0.0474217624398797,0,0,0,0,0,0.235138507330669,0,0,0,0
X600016.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.529937584940205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112614225879642,0,0,0,0,0,0,0,0,0.05845617545222,0,0.225652365567788,0,0,0,0,0,0,0.087274097845644,0,0,0,0,0,0,0,0
X601998.CH.EQUITY,0,0,0,0,0,0.100886332028999,0,0,0,0,0.166071306497711,0,0,0,0,0,0,0,0,0,-0.083300510313235,0,0,0.202420463264079,0,0,0,0,0,0.0138437179160316,0,-0.0353234644311934,0,0,0,0,0,0,0.125101045325659,0,0,0.124447070065281,-0.0833264039274147,0,0.3898646754161,0,0,0,-0.0135638053743202,0,0,0
X267.HK.EQUITY,0,0,0,0,0,0,0.0289221204984636,0,0,0,0,0,0.055765610412316,0,0,0,0,0,0,0,0.109515890538022,0.163148788216939,0,0.0215169929452865,0,0,0,0,0.275118182606219,0,0,0.114493483474314,0,0.215681612604733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X1109.HK.EQUITY,0,0,0,0,0,0,0,0,0,-0.284022474368115,0,0,0,0,0.0664995905668253,0,0.231355762061915,0,0,0,0.0105887968026487,0,0,0,0,0,0,0.0612636587280339,0.716539094816599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0999259103996064,0,0,0,-0.0506116971751581,0,0,0
X601066.CH.EQUITY,0,0,0,0,0,0,0.129305357117057,0,0.183421653836633,-0.162364831338316,0,0,0,0.0936231891440794,0,0,0,-0.00655202697077296,0,0.0314113761196166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0757460778332177,0,0.497371117427672,0,0,0,0,0,0,0,0,0.261090287633331,0,0,0,-0.225931904339174,0
X2007.HK.EQUITY,0,0,0,0,0,0.15374998566832,0,0,0,0,0.0641658785551675,0,0,0,0,0,0,0,0,0,0.0682823121849426,0.073687906047792,0,0,0,0.177085106430326,0.289095117850511,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144452395168711,0,0,0,0,0,0,0,0,0,0.0238242205771968,0
X601818.CH.EQUITY,0,0,0,0,0,0,0,-0.159839933698855,-0.062184848561595,0,0,0,0,0,0,0,0,0,0.547092965346323,0,0,0,0,0,0.1432167811796,0,0,0,0,0,0.142262229684224,0,-0.0594486111696477,0,0,0,0,0,0.102050184427263,-0.0976829413648648,0,0,0,0,0.186103333026564,0,0,0,0,0,0,-0.0890855769987054
