,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X600918.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X388.HK.EQUITY,0,0,0,0,-0.135769733951386,0,0,0,0,0,0,0,0,0,0,-0.0538234352021718,0,0,0,0,0,0.157235767125562,0.358851109454039,0,0,0,0,0,0,0,0,0,0,0,-0.00547434330197325,0,0.350287968042344,0,0.0937878988424928,0,0,0.0393107137455064,0,0,0,-0.163702921070416,0,0,-0.153649836432639,0,0.137621260101948,0
X601318.CH.EQUITY,0.139800509084552,0,0.0868641711118937,0,0,0,0,0,0,0,0,0,0.148284166628826,0,0,0,0,0,0.191109578084641,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113427870138008,0,0.0611171377085738,0,0,0,0,0,0,0,0,0,0,0,0.11469553849417,0.0190846047296243,0.0713033688745761,-0.0290096073842043,0,-0.0106236757409122
X601319.CH.EQUITY,0.166653658673959,0,0,0,0.127716947256087,0,0,0.269586044230316,0,0,0,0,0.0423750141794567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304256537875735,0,0,0,0.202188981373153,0,0,0,0,-0.00751652983724742,0,0,0,0,0,0,-0.0248747961125593,0,0,0.103128890296461,0,0.0513164193457423,0
X601336.CH.EQUITY,0,0,0,0,0,0,0,-0.0153634598582359,0,0,0,0,0,0,0,-0.111580893329545,0,0,0,0,0,0,0,0.00837539985097677,0,0,0,0,0,0,0.0386945859882535,0,0.202850187599921,0,0.0375302429650489,0.499122773691918,0,0,0,0,0.20560539370145,0.0525085020853858,0,0,0,0,-0.0597771648452595,0.0875820964863904,0,0,-0.143131953287094,0
X601601.CH.EQUITY,0.404543089568087,0,0.104442098924793,0,0,0,0,0.0108001762546982,0,0,0,0,0,0,0,0,0,0,0.158580713696803,0,0,0,0,0,0,0,0,0,0,0,-0.0859655351201983,3.46944695195361e-18,0.167069894498479,0,0,0,0,0,0,0,0.17107863341055,0,0,0,0.0264633037144571,0,-0.0466034092151075,0,0,0,0,0
X601628.CH.EQUITY,-0.072075653923062,-0.102187005541797,0,0.0626597467954575,0,0,0,0.153433771810762,0,0,0.0787702292522133,0,0,0,0,0,0,0,0,0,0,0,0.240992608203658,0,0,0,0,0,0.0259227404100709,-0.0565209814578582,0,0,-0.0697951730303633,0.621094398790523,0,0,0,0,0.0302125791135298,-0.268830088042084,0,0,0,0,0,0,0,0,0,-0.0354162052547634,0.0143673730366781,0
X1299.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.0796761421176846,0,0,0,0.178709832823674,0,0,0,0.143455848452346,0,0,0,0,0,0,0.0183943657685644,0,0,0.12059416549124,0,0,0,0,0,0,0,0.0808014847795241,0,0,0,0,0.183911852252564,0,0.175502709745088,0,-5.42101086242752e-20,0,0.17865175400579,0,0
X2881.TT.EQUITY,-0.103282969131273,-0.0640139435970255,0,0,0,-0.0103757318012425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00607344450285893,0,0,0.289593876402848,0,0,0,0,0.785676301709722,-0.0423701696743089,-0.185713678222293,0,0,0,0.0535803751745136,0,0,0,0.0268824060848049,-0.00436254029616254,0.188025603705417,0
X2882.TT.EQUITY,-1.73472347597681e-18,0.122859341180481,0,0,0.0189126121965829,0,0,0,0,0.0230138266752807,0,0,0,0,0,0,0.188051323742887,0,0,0,0,0,0,0,0,0.00341599778922076,0,0,0,0,0.025371838203508,0,0,0,0,0,0.152851179173746,0.722282012473427,0,0,0,0,0,0,0,0.0180882162651361,0,0.0218178336019394,-0.0343035463525711,0.0555901134961725,0,0
X000002.CH.EQUITY,0,0,0,-0.158165742620156,0.0908517003930646,0,0,0,0,0,0,0,0,0,0.287678433763233,0.104484642915788,0.0280896311102549,0,0,0.0361134811894492,0,0,0,0,0,0,0,0,0,0,-0.0449426600107961,-0.118203544145416,0,0,0,0,0,0.00384565238409215,0,0,0,0.58423006214172,0,0,0,0,0.0434958161957545,0,0,0,0,-8.67361737988404e-19
X001979.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102197952073862,0,0,0,0,0,0.176730523910555,0,0,0.0251299481174624,0,0.0953210246010631,0,0,0,0,0,0,0,0,0,0,0,0,0.308093853884206,0,0,0.180604780848511,0,0,0,0,0,0,0
X600048.CH.EQUITY,0,0.0664615129045274,0.0419031034250777,0.0315354491357332,0,0,0,0,0,0,0,-0.087614319884218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1832127044184,0,0,0,0.0765240912179785,0,0,0.176690592761879,0,0,0,0.0700232041199821,0,0.638151528433248,0.252242425640938,0,0,0,0,-0.0254183513810691,0,0.169275664090875,0,0,0,-0.0703720860908966
X1109.HK.EQUITY,0.0667441520604241,0.0186815027816596,0,0,0,0,0.13379917919125,0,0,0,0,0,0,0.0559687940014064,0,0,0,0.0170446065078728,0,0,0,0,0,0,0,0,0,0,0,-0.0368031379479596,0.00657595152170033,-0.15421591584177,0,0,0,0,0,0,0,0,0,0,0,0.198377829042429,0,0,0,0.103917205294755,0.240633987982097,0,0,0.101325599245739
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0.0474766627928747,0,0,0,0,0,0,0.13422183085324,0.0668201597003347,0,0,0,0,-0.00301354182958234,0,0,0,0,0,-0.0337637141293513,0,0,0,0,0,-0.0896242487388597,0.0580138493310738,0.170844515030109,0.154769247262489,0,0,0,0,0,0,0,0,0.0773481155562673,0,0.252710272833097,0,0
X12.HK.EQUITY,0,0,0,3.46944695195361e-18,0,0,0,-0.0276355006788994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.197323904852964,0,0,0,0,0,0.0718335556634318,0,0,0,0,0,0,0,0,0.115345106153006,0,0.239953225390993,0.345937189561353,0,0,0,0.0183131488848601,0,0,0.235606861061634,-0.0766964376915362
X16.HK.EQUITY,0,0,0,0.159894433164636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566807699644374,0,-3.46944695195361e-18,-0.478839355162917,0,0,0,0,0,0,0,0,-0.196818501820556,0,0,0,0,0,0,0.0393018977109979,-0.0267120211448549,0,0,0.0329376005909741,0,0.254978436075856,0,0.295418969394759,0,0,0,0.0303062065178698,0.136324692928877,0,0.0501985036600066
X2007.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092100354057409,0,0,0,0,0,0,0,0,0,-0.0411689915095617,0,0,0,0,-0.0855452041703482,0,0,0,0,-0.0530836161711208,0,0,0,0,0.0806455052795172,0.216777068408164,0,0,0.219385421631995,0,0,0,0,0.280321502615414,-0.0755632201661346,0,-0.247953636218679
X267.HK.EQUITY,0,0.0291958160940079,0,0,0,0,0,0,0,0,0.164904915276908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00449130004234526,0,0,0,0,0,0.103985181855624,0,0.189766254434659,0,0.0232628482312001,0,0.427293539752175,0,0,0,0,-0.408340530931208,0,0
X688.HK.EQUITY,0,0,0,-0.227091307738213,0,0.027894429209474,0.313012061385243,0,0,0,0,0,0.0754598197168195,0,0,0,0.129614840074458,0.162916472555256,0,-0.00722162984679576,0,0,0,-0.105826822926632,0.0202519254249741,0,0,0,0,0,-0.127702688438814,0,0,0,0,0,0,0,-0.133477846065186,0,-0.196865214317128,0,0.505064450850833,0,0,0,0.266591750168934,0,0,0,0,0.138614870112095
X823.HK.EQUITY,0,0,0,0,0.0379075736708053,0,0,0,0,0,0.0974615514270001,0,0,0,0,0,0,-0.0477910818644344,0.0384027520495979,0,0,0,0,-0.255342055177446,0.0607847951288675,0,0,0,-0.260300645051086,0,0,0,0,0,0,-0.0346909538834866,0,0,0,0,0.550538589259122,0,0,0,0,0.190076815063381,-0.0677879782202818,0,0,0,0,0
MKRturn,0.177256183321265,0,-0.117059586160159,0,0,0,0,0,0,0,0,0,0,0,-0.0114618753122912,0,0,0,0,0,0,0,0,0,0,-0.317689425753285,0,0,0,0,0.0499540690335121,0,0.154104299962397,0,0,0,0,0,0,0,0,0,-0.0022357345170054,0,0.230624059654527,-0.429160468217317,0,0,0,0,0,0
TED,0,0,0,0,0,-0.0731989902679376,0,0,0,0,-0.0491104504651752,0,0,0,0,-0.114907695953852,0,0,-0.151846382399841,0,0,0,-0.0267064237929485,0,-0.243693695861674,0,0.00275250873656346,0,0,0,-0.0809556042262227,0,0,0,0,0,0,0,0,0,0,0,0.173598921016512,0,0,0,0.318197255761923,0,0,0,0,0
