,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601916.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X000002.CH.EQUITY,X001979.CH.EQUITY,X600048.CH.EQUITY,X1109.HK.EQUITY,X1113.HK.EQUITY,X12.HK.EQUITY,X16.HK.EQUITY,X1997.HK.EQUITY,X2007.HK.EQUITY,X267.HK.EQUITY,X688.HK.EQUITY,X823.HK.EQUITY,MKRturn,TED
X2881.TT.EQUITY,-0.145886434354164,-0.0294061730310724,0,0,0,0,0,0,-0.0459880029356192,0,0,0.0414694426075435,0,0,0,0,0,0.129681731053364,0,0,0.21995755851281,0,0,0,0,0,0,-0.105924964334535,0,0,0,0.292246500617557,-0.231280674750852,-0.0901440558814298,0,0,0.672825973271108,0,0.118339961419732,0,0,0,0,0,0,0,0,0,0.0115942128762874,0,0
X2882.TT.EQUITY,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,-0.0791141782528585,0,0,0,0,0,0,0,0,0,0,0,0.0155050001870687,0.0210758196616521,0.0446050831847583,0,0,0,0,0,0.0202872016529158,0,0,0.0571703289527795,0.43623978402488,0,0.0558419523979446,0,0,0,0.0569297726803127,0,0,0,-0.0747162925116235,0,0.0799881824359819,0,0,-0.160294020656593
X000002.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132281462012672,0,0,0,0,0,0.063751047984335,0.118669904698983,0.00233381809502464,0,0,0.229968537765088,0,0.0186891062438264,0.274023947384833,0,0.0597714250331612,0,0,0,0,0,0,0,0,0.36556941042746,0.0331814668166981,0,0,0,0.0321859204084837,0.0474250443472543,0,0,0,0,0.0238875991670684
X001979.CH.EQUITY,0.170209296814809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101027426767719,0,0,0,-0.0371209567579694,0,0,0,0,0.16142728559792,0,0.0526408070227124,0,-0.0416770011843884,0.0996991708671294,0.13068229449388,0,-0.0276904889964426,0,0.196668106169992,0,0.0383694297791289,0,0.486305966090948,0,0,0,0,0,0,0,0,0,0,0.134313390113683
X600048.CH.EQUITY,-0.124530913402038,0.108178427832276,0.050115953503336,0,0,0,0,0,-0.179450501616569,0,0,0,0,0,0.0656290781030979,0,0,0,0,0.257510414685832,0,0,0,0,0,-0.0407552879595511,0,0,0,0,0,0.0070015291612473,0,-0.356080636702905,-0.0107374508974755,0,0,0.419788231982794,0.322432195452756,0,0,0,0,0,0,0,0,0,0,0,0
X1109.HK.EQUITY,0.132631363266683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0637244350995757,0,0,-0.149935314840929,0,0,0,0,0,0,0,0,-0.0264694556460272,6.93889390390723e-18,0,0,-0.117321174650424,-6.93889390390723e-18,0,0.214949794309323,0,0,0.184460576863679,0,0,0,0,0.153494582488698,0,0,0.0550249966809315,0,0.453008865787234,0,0,0
X1113.HK.EQUITY,0,0,0,0,0,0,0,0,-0.0889829195455252,-0.00849374687762044,0,0,0,0,-0.106912182321184,0,0,0.184442721351273,0,0,-0.0229592932836322,0,0,0,0,0,0,0,0.00912435904766399,0,0,0,0,-0.00701542919228111,0,0,-8.67361737988404e-19,0.100975700826651,0,0.0315664769001897,0,0,0,0,0.292352315839945,0,0,0,0.306198627930888,0.0512176968915732,0
X12.HK.EQUITY,0,0,0,0,0,0,0,0,0,0.167352016365963,0,0,0,0,0,0,0,0.224449893138028,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0545315982334106,-0.104313508777704,0,0.163628079816707,0,0,0,0,0,0,0.190860211035667,0,0.303995025630941,0,0,0,0.0341882493143543,0.130680665160804,0,0
X16.HK.EQUITY,0,-0.106454297796235,0,0,0,0,-0.0608312452803164,0,0,0.419312551898919,0,0,0,0,0,0,0,0.182446371370482,0.0686815858315391,0,0.0346850862684145,0,0,0,-0.0622502513289738,-1.73472347597681e-18,0,0,0.0781486723485852,0,0,0,0,0,0.31472206514293,0,0,0,0,0.00870581641116114,0,0,0.206283613138025,0,0.125223154344362,0.0291775023435447,0,0,0,0,0
X1997.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00841540389227921,0,-0.00919195787853323,0,0,0,0,0.0979438180671564,0.0481807274328385,0,0,0,0,0,-0.00797073980659118,0.0366565000165803,0,0,0,0,-0.120353988984959,0,0,0,0.167551341415761,0.0898396504195642,0,0.00784566539136494,0.105209399550361,0,0.460870137928039,0,0.0822146636012753
X2007.HK.EQUITY,0,0,-0.0631662729197127,0,0,-0.0263823691744948,0.0137999211691916,0,0,0,0,0,0,0,0.311184726902296,0,0,0,0,0,0,0,0,0,0,0.225702254486058,0,0,0,-0.186306710241182,0,0,0,0,0,0,0,0,0,0,0.044437788518362,0,0,0.0444631727681521,0.49587170307071,0,0,0,0,0.12767813338243,0.0187975026209156
X267.HK.EQUITY,0,0.0732231179377524,0,0,0,0,0,0,0,0,0,0.205458513217494,0,0,0,0,0,0.476904882951256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537994774154752,0.112360732869874,0,0,0,0,0,0,0,0,0,0,0.0455376269383345,0,0.0979068416751995,0,0.0822696021586151,0
X688.HK.EQUITY,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0.17670976420905,0,0,0,0,0,0,0,0,0.0860763515212498,0.251883246000874,0,0,0,0,0,0,-0.153733204313288,0,0.258352480517563,0,0,0,0,0,0,0,0,0,0,-0.0265400080423033,0.0436112671583838,0.0127616564268796
X823.HK.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,-0.084479193357312,0,0,-0.0812429556692893,0,0.312532725262048,0,0,0.0949699977338411,0,0,0,0,0,0,0,0,0.0679654593956455,0,0,0,0,0,0,0,0,0,0,0,0.0664746834030975,0.134456548798704,0.0253721543517836,0.135501793715093,-0.113272540003336,0,0,0,0,0
MKRturn,0,0,0,0,0,0.351318741302291,0,0,0,0,0,0,0,0,0,0,2.05284745367177,0,0,0,0,0,0,0,0,0,-0.20956262849152,0,0,0,0,-0.323950528015126,-0.126135394998454,0.0960368487797564,0,0.180443169976431,0,0,0,0,0,0.41528253480084,0,0,0,0.131961795093476,0,0.0405884755104381,0,0,-0.0373305915477899
TED,0,1.73472347597681e-18,0,0,0,0,0.025336118101723,0,-0.0875975912940369,0,0,0.114601102343549,0,0,0,0,0,0,0,0,0,0.0689178959794913,0,0,0.067972202637971,0,0,0,0,0,-0.349854872888858,0.0581504149441357,0,0,0,0,0,0,0,0.0883851268570781,0,0,0,0,0,-0.0093622600748839,0,0,0,0,0
