,X000001.CH.EQUITY,X002142.CH.EQUITY,X600000.CH.EQUITY,X600015.CH.EQUITY,X600016.CH.EQUITY,X600036.CH.EQUITY,X600926.CH.EQUITY,X601009.CH.EQUITY,X601166.CH.EQUITY,X601169.CH.EQUITY,X601229.CH.EQUITY,X601288.CH.EQUITY,X601328.CH.EQUITY,X601398.CH.EQUITY,X601818.CH.EQUITY,X601939.CH.EQUITY,X601988.CH.EQUITY,X601998.CH.EQUITY,X601658.CH.Equity,X11.HK.EQUITY,X2388.HK.EQUITY,X5.HK.EQUITY,X2884.TT.EQUITY,X2886.TT.EQUITY,X2891.TT.EQUITY,X000166.CH.EQUITY,X000776.CH.EQUITY,X002736.CH.EQUITY,X300059.CH.EQUITY,X600030.CH.EQUITY,X600837.CH.EQUITY,X600999.CH.EQUITY,X601066.CH.EQUITY,X601211.CH.EQUITY,X601688.CH.EQUITY,X601788.CH.EQUITY,X601881.CH.EQUITY,X601901.CH.EQUITY,X600918.CH.Equity,X601696.CH.Equity,X388.HK.EQUITY,X601318.CH.EQUITY,X601319.CH.EQUITY,X601336.CH.EQUITY,X601601.CH.EQUITY,X601628.CH.EQUITY,X1299.HK.EQUITY,X2881.TT.EQUITY,X2882.TT.EQUITY,X267.HK.EQUITY,MKRturn,TED,RealEstateDiff
X2886.TT.EQUITY,0.0831552477779544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0818310757939101,0.0318762657339259,0,0,0,0,0.423282566701884,0.0210854429246906,0,0.0599994706392724,0,0,0,0,0,0,0,0,0,0.0220436076811197,0,0.0643484000106747,-0.157316655900387,0.0885490175764682,0,0,0,0,0.109611498077475,0,0.205789512944766,0,0,0,0
X2891.TT.EQUITY,0,0,0,0,0,0,-0.282845965549505,0,0,0,0,0,0,0,0,0,0,0.220269839924972,0,0,0,0.18054817773498,0,0,0,0,0,0,-0.0793741975136696,0,0.0433400493221943,0,0,0,0,0,0,0,-0.09318323637935,8.67361737988404e-19,0,0,0,0,0,-0.0794365566669527,0,0.478243748809562,0.0811723202269587,0,0,0,0
X000166.CH.EQUITY,0,0.0234465693807217,0,0,0,0,0,0.0322833612834678,0,0,0,0,0.0541635133678144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270242245858845,0.187941962764411,0.11966931706762,0.111288058009476,0,0,0.230373354839933,0,0.0526548683745479,0.266667917346934,0,0,0,0,0,0,0,0,0.0198925158736572,0,0,0,0,0,0,0
X000776.CH.EQUITY,0,-0.0154469126644852,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375983880164393,0,0,0,0,-0.046585741749956,0,0,0,0,0,0,0,0.451933661527738,0,0,0,0.0862844289657415,0.293681213721005,0,0,-1.38777878078145e-17,0,0,0,0.0647665560611134,0,0,0,0,0,0,-0.0606404212868343,-0.0200808444652269,-0.0085877596764603,0,0,0
X002736.CH.EQUITY,0,0,0,0,0,0,0.0807774414663774,0,0,0,0,0,0,0,0,0,0,0,0,-0.131874685324309,-0.158669186690912,-0.0181711153371774,0,0,0,0.143104186201602,0,0,0,0,0,0.218255714344096,0,0.0719400973491867,0,0,0,0.115853358949965,0.160752577099608,0,0.202032290494336,0,0,0,0,0,0,0,-0.115120441475238,0,0,0,0
X300059.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284998626237674,-0.0919486139743921,0,0,-0.0192282033298194,0,0,0.454003604548045,0.211779675060927,0,0,0,0,0,0.22464323708138,0,0,0,0,-0.00913965095565222,0,0,0.0566389956662597,0,0,0,0.0908674806042261,0,0,0,0,0,0,0.0480855079937368,0.0243387667192364
X600030.CH.EQUITY,0,0,0,0,0.0184141024928827,0,0,0,0,0.0203801235480618,0.0172007650755665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165617766787206,-3.46944695195361e-18,0,0,0,0,0.0881443384767317,0.0131517249718601,0,0.227111319336551,0.0122394802804875,0,0,0,0.334295234565511,0,0,0,0.0588005883463198,0,0,0,0,0,0,0,0,0
X600837.CH.EQUITY,0,0,0,0,0,0.0706392553241516,-0.0939348948951065,0,0,0.0764056929562364,0,0,0.105748017539808,0,0,0,0,0,0,0,0,0,0,0,0.0672855121515938,0,0,0,0,0,0,0,0,0,0,0.169595610265456,0.177304076578098,0,0,0,0,0,0,0.071245176436345,0,0,0.0974247915161159,0,0,0,0.143849987710612,0,0
X600999.CH.EQUITY,-0.0549319315394127,0,0,0,0,0.0573930724902464,0,0,0,0.0690112655084255,0.0321145997875806,0,0,0,0,0,0.0676143341682745,0,0,0,0,0,0,0,0,0,0,0.0737063672394734,0,0,0,0,0,0,0.488568153342936,0,0,0,0.100050968689517,0,0,0,0,0,0,0,0,0,0,0.0499510757491095,0,0.179227255362989,0
X601066.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0963691893961395,0,0.0924055774573347,0,-0.139569949386389,0,0,0,0,0,0.0730399173122444,0,0,0,0.235253432862775,0,0,0,0,0,0.250274221658921,0,0.244614550546847,0.0508103011703092,0,0,0,0,0,0,0.00354042384974625,0,0,0,0,0,0,0
X601211.CH.EQUITY,0,0,0.0398431726345464,0,0,0.0930542361634788,0,0,0,0,0,0,0.151356738911722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0698843762097866,0,0,0,0,0.0246415976632068,0,0,0.411312364189639,0,0.0867324970354937,-3.46944695195361e-18,0.0600750293150382,0.0309264239067485,0,0,0,0,0,0,0.00963441911486587,0,0.0253667385645009,0,0,0,0
X601688.CH.EQUITY,0,0,0,0,0.283170042642761,-0.0289927850420093,-0.0674660711262902,0,0,0,0,0,0,0,0,0,0,0,-0.0585786541363776,0,0,0,-0.0138609722667481,-0.109463152465956,0,0,0,0,0,0.358127510431166,0,0,0,0.41223909919386,0,0,0,0,0,0,0,0,0,0.0140119235168849,0,0.1094352791943,-0.00589350397376859,0,0,0,0,0,0
X601788.CH.EQUITY,0,0,0,0,0,0,0,0,0,0,0.286486108917271,0,0,0,0,0,-0.077820528500674,0,0,0,0,0,0,0,0,0,0,0,0,0.480765874033738,0.00916954658107062,0.0128622169765766,0.295881035821553,0,0,0,0,0,0,0.124173041942891,0,0,0,0,-0.0364061923283902,0,0,0,0,0,0,0,0
X601881.CH.EQUITY,0,0.0443371542914982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.386524532313937,0,0,0,0,0,0,0,0.0997941494383054,0.139901840197029,0.0010707725047329,0,0.17711153865814,0.250955347135641,0,0,0,0,0.068785802817149,0,0,0,0,0,0,0.0223691681689171,0,0
X601901.CH.EQUITY,-0.0318576390086715,0,0,0,0,-0.170874663081592,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.112134850122407,0.0260640546694737,0,-0.0124781120863404,0,0,0,0,0.2286358228037,0,0.130620175271181,0,0,0,0,0,0.138875321846552,0,0.114804800805409,0.000808613324887501,0,0,0,0,0,0,0,0,0.0669466145348717,0,0,0,0,0,0,0
